,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,98,0.786,0.724,0.936,0.918,0.948,2.814
1,fulloracle,2,10,3,0.500,0.000,0.867,0.867,0.803,11.996
2,fulloracle,2,01,48,0.969,0.958,0.963,0.954,0.945,3.069
3,fulloracle,2,11,39,0.667,0.615,0.779,0.713,0.854,8.843
4,fulloracle,2,aa,188,0.803,0.750,0.909,0.884,0.925,4.276
0,fulloracle,5,00,75,0.701,0.613,0.901,0.856,0.918,4.321
1,fulloracle,5,10,3,0.467,0.333,0.707,0.667,0.720,20.132
2,fulloracle,5,01,59,0.861,0.780,0.944,0.915,0.927,4.007
3,fulloracle,5,11,48,0.546,0.354,0.677,0.525,0.767,17.737
4,fulloracle,5,aa,185,0.708,0.595,0.853,0.786,0.879,7.958
0,fulloracle,10,00,35,0.446,0.200,0.702,0.571,0.794,13.981
1,fulloracle,10,10,3,0.167,0.000,0.407,0.200,0.591,33.696
2,fulloracle,10,01,69,0.687,0.406,0.850,0.704,0.858,10.053
3,fulloracle,10,11,63,0.449,0.175,0.617,0.419,0.694,27.365
4,fulloracle,10,aa,170,0.540,0.271,0.725,0.562,0.779,17.695
0,notracklap,2,00,98,0.745,0.684,0.900,0.876,0.923,5.698
1,notracklap,2,10,3,0.167,0.000,0.500,0.267,0.606,33.475
2,notracklap,2,01,48,0.969,0.958,0.958,0.946,0.945,3.054
3,notracklap,2,11,39,0.654,0.641,0.833,0.795,0.879,7.063
4,notracklap,2,aa,188,0.774,0.734,0.895,0.867,0.914,5.749
0,notracklap,5,00,75,0.651,0.573,0.828,0.779,0.870,10.583
1,notracklap,5,10,3,0.133,0.000,0.240,0.133,0.506,44.836
2,notracklap,5,01,59,0.871,0.797,0.940,0.902,0.928,3.993
3,notracklap,5,11,48,0.621,0.500,0.804,0.733,0.845,9.700
4,notracklap,5,aa,185,0.705,0.616,0.848,0.796,0.876,8.808
0,notracklap,10,00,35,0.431,0.229,0.589,0.474,0.679,29.961
1,notracklap,10,10,3,0.067,0.000,0.113,0.067,0.424,56.233
2,notracklap,10,01,69,0.672,0.362,0.848,0.704,0.854,10.244
3,notracklap,10,11,63,0.540,0.317,0.742,0.603,0.790,14.835
4,notracklap,10,aa,170,0.563,0.312,0.742,0.608,0.787,16.816
0,laponly,2,00,98,0.750,0.694,0.903,0.878,0.923,5.655
1,laponly,2,10,3,0.167,0.000,0.500,0.267,0.608,33.250
2,laponly,2,01,48,0.958,0.938,0.960,0.950,0.946,3.030
3,laponly,2,11,39,0.679,0.641,0.831,0.795,0.877,7.214
4,laponly,2,aa,188,0.779,0.734,0.896,0.869,0.914,5.749
0,laponly,5,00,75,0.645,0.573,0.834,0.784,0.871,10.536
1,laponly,5,10,3,0.133,0.000,0.253,0.133,0.512,44.308
2,laponly,5,01,59,0.888,0.831,0.943,0.908,0.927,4.051
3,laponly,5,11,48,0.617,0.479,0.799,0.733,0.844,9.721
4,laponly,5,aa,185,0.707,0.622,0.850,0.800,0.876,8.804
0,laponly,10,00,35,0.417,0.200,0.592,0.486,0.679,29.860
1,laponly,10,10,3,0.067,0.000,0.107,0.067,0.425,56.134
2,laponly,10,01,69,0.686,0.362,0.849,0.704,0.855,10.256
3,laponly,10,11,63,0.530,0.286,0.734,0.600,0.787,15.039
4,laponly,10,aa,170,0.562,0.294,0.740,0.609,0.786,16.874
0,trackonly,2,00,98,0.791,0.735,0.938,0.920,0.948,2.766
1,trackonly,2,10,3,0.500,0.000,0.867,0.800,0.804,12.011
2,trackonly,2,01,48,0.958,0.938,0.963,0.954,0.946,2.985
3,trackonly,2,11,39,0.641,0.538,0.792,0.713,0.858,8.415
4,trackonly,2,aa,188,0.798,0.734,0.913,0.884,0.927,4.141
0,trackonly,5,00,75,0.709,0.613,0.899,0.845,0.919,4.290
1,trackonly,5,10,3,0.467,0.333,0.640,0.600,0.719,20.484
2,trackonly,5,01,59,0.868,0.763,0.942,0.898,0.927,4.009
3,trackonly,5,11,48,0.567,0.354,0.684,0.529,0.769,17.663
4,trackonly,5,aa,185,0.719,0.589,0.853,0.776,0.879,7.932
0,trackonly,10,00,35,0.451,0.200,0.710,0.583,0.790,14.235
1,trackonly,10,10,3,0.300,0.000,0.353,0.200,0.610,32.713
2,trackonly,10,01,69,0.672,0.348,0.853,0.716,0.857,10.097
3,trackonly,10,11,63,0.460,0.190,0.613,0.394,0.696,27.002
4,trackonly,10,aa,170,0.542,0.253,0.726,0.560,0.779,17.613
0,fullpred,2,00,98,0.791,0.735,0.933,0.914,0.947,2.944
1,fullpred,2,10,3,0.167,0.000,0.833,0.800,0.748,15.673
2,fullpred,2,01,48,0.583,0.438,0.802,0.729,0.843,15.035
3,fullpred,2,11,39,0.449,0.359,0.718,0.631,0.810,13.811
4,fullpred,2,aa,188,0.657,0.569,0.853,0.806,0.889,8.489
0,fullpred,5,00,75,0.683,0.600,0.881,0.808,0.911,4.925
1,fullpred,5,10,3,0.333,0.333,0.693,0.600,0.728,19.198
2,fullpred,5,01,59,0.485,0.220,0.733,0.566,0.772,23.432
3,fullpred,5,11,48,0.292,0.146,0.563,0.396,0.686,27.395
4,fullpred,5,aa,185,0.512,0.357,0.748,0.621,0.805,16.889
0,fullpred,10,00,35,0.411,0.114,0.686,0.509,0.757,17.881
1,fullpred,10,10,3,0.200,0.000,0.527,0.200,0.662,24.804
2,fullpred,10,01,69,0.358,0.043,0.641,0.409,0.700,30.210
3,fullpred,10,11,63,0.171,0.016,0.525,0.422,0.631,32.967
4,fullpred,10,aa,170,0.297,0.047,0.605,0.431,0.686,28.598
0,predtrack,2,00,98,0.786,0.735,0.933,0.918,0.948,2.809
1,predtrack,2,10,3,0.333,0.333,0.833,0.800,0.761,14.558
2,predtrack,2,01,48,0.969,0.958,0.965,0.954,0.946,3.026
3,predtrack,2,11,39,0.654,0.615,0.828,0.779,0.871,7.598
4,predtrack,2,aa,188,0.798,0.761,0.918,0.897,0.928,4.045
0,predtrack,5,00,75,0.683,0.613,0.893,0.843,0.918,4.270
1,predtrack,5,10,3,0.333,0.333,0.640,0.600,0.710,21.890
2,predtrack,5,01,59,0.868,0.780,0.943,0.902,0.928,3.989
3,predtrack,5,11,48,0.617,0.479,0.762,0.683,0.821,12.481
4,predtrack,5,aa,185,0.719,0.627,0.871,0.816,0.893,6.596
0,predtrack,10,00,35,0.457,0.229,0.708,0.589,0.793,14.036
1,predtrack,10,10,3,0.300,0.000,0.613,0.467,0.684,22.480
2,predtrack,10,01,69,0.674,0.362,0.847,0.704,0.856,10.210
3,predtrack,10,11,63,0.508,0.286,0.728,0.603,0.784,15.763
4,predtrack,10,aa,170,0.561,0.300,0.770,0.639,0.813,13.272
0,predpit,2,00,98,0.745,0.684,0.898,0.873,0.921,5.746
1,predpit,2,10,3,0.167,0.000,0.533,0.333,0.611,33.081
2,predpit,2,01,48,0.510,0.354,0.792,0.713,0.841,15.246
3,predpit,2,11,39,0.474,0.385,0.705,0.610,0.819,13.426
4,predpit,2,aa,188,0.620,0.527,0.825,0.769,0.875,10.201
0,predpit,5,00,75,0.661,0.587,0.826,0.771,0.867,10.748
1,predpit,5,10,3,0.067,0.000,0.293,0.200,0.509,42.590
2,predpit,5,01,59,0.471,0.203,0.739,0.563,0.774,23.231
3,predpit,5,11,48,0.300,0.104,0.585,0.421,0.712,24.305
4,predpit,5,aa,185,0.497,0.330,0.727,0.604,0.791,18.763
0,predpit,10,00,35,0.400,0.143,0.592,0.469,0.660,31.679
1,predpit,10,10,3,0.067,0.000,0.180,0.133,0.438,53.173
2,predpit,10,01,69,0.375,0.014,0.639,0.400,0.698,30.470
3,predpit,10,11,63,0.181,0.032,0.502,0.410,0.632,32.306
4,predpit,10,aa,170,0.303,0.047,0.570,0.413,0.661,31.800
0,curtrack,2,00,98,0.791,0.735,0.928,0.898,0.939,4.247
1,curtrack,2,10,3,0.667,0.333,0.833,0.733,0.795,11.268
2,curtrack,2,01,48,0.573,0.417,0.808,0.738,0.852,14.006
3,curtrack,2,11,39,0.500,0.385,0.708,0.610,0.815,13.789
4,curtrack,2,aa,188,0.673,0.574,0.850,0.795,0.889,8.830
0,curtrack,5,00,75,0.685,0.613,0.876,0.829,0.889,9.273
1,curtrack,5,10,3,0.333,0.000,0.507,0.200,0.503,53.566
2,curtrack,5,01,59,0.461,0.220,0.748,0.583,0.791,21.625
3,curtrack,5,11,48,0.287,0.104,0.517,0.317,0.675,28.541
4,curtrack,5,aa,185,0.505,0.346,0.736,0.608,0.796,18.930
0,curtrack,10,00,35,0.446,0.229,0.673,0.554,0.724,26.790
1,curtrack,10,10,3,0.100,0.000,0.207,0.000,0.212,101.426
2,curtrack,10,01,69,0.387,0.087,0.654,0.423,0.719,28.789
3,curtrack,10,11,63,0.175,0.016,0.454,0.302,0.602,37.407
4,curtrack,10,aa,170,0.315,0.088,0.576,0.398,0.667,32.853
0,zerotrack,2,00,98,0.781,0.714,0.937,0.918,0.947,2.825
1,zerotrack,2,10,3,0.167,0.000,0.867,0.867,0.752,15.287
2,zerotrack,2,01,48,0.573,0.438,0.804,0.729,0.852,14.019
3,zerotrack,2,11,39,0.449,0.410,0.713,0.636,0.809,13.857
4,zerotrack,2,aa,188,0.649,0.569,0.855,0.811,0.891,8.170
0,zerotrack,5,00,75,0.688,0.600,0.902,0.859,0.918,4.353
1,zerotrack,5,10,3,0.333,0.333,0.720,0.667,0.711,20.947
2,zerotrack,5,01,59,0.434,0.169,0.749,0.580,0.791,21.595
3,zerotrack,5,11,48,0.346,0.167,0.573,0.400,0.721,23.479
4,zerotrack,5,aa,185,0.512,0.346,0.765,0.648,0.823,15.083
0,zerotrack,10,00,35,0.451,0.200,0.699,0.566,0.793,14.088
1,zerotrack,10,10,3,0.233,0.000,0.587,0.467,0.673,23.539
2,zerotrack,10,01,69,0.386,0.087,0.652,0.420,0.718,28.788
3,zerotrack,10,11,63,0.173,0.016,0.518,0.406,0.663,28.806
4,zerotrack,10,aa,170,0.318,0.082,0.611,0.446,0.712,25.675
0,deepAR,2,00,98,0.423,0.296,0.792,0.714,0.857,11.730
1,deepAR,2,10,3,0.000,0.000,0.600,0.533,0.687,24.819
2,deepAR,2,01,48,0.396,0.250,0.690,0.571,0.763,22.328
3,deepAR,2,11,39,0.410,0.385,0.633,0.554,0.741,20.353
4,deepAR,2,aa,188,0.407,0.298,0.730,0.641,0.806,16.433
0,deepAR,5,00,75,0.304,0.120,0.687,0.560,0.770,22.833
1,deepAR,5,10,3,0.067,0.000,0.600,0.467,0.615,29.018
2,deepAR,5,01,59,0.292,0.051,0.633,0.424,0.690,31.948
3,deepAR,5,11,48,0.292,0.104,0.499,0.296,0.619,34.998
4,deepAR,5,aa,185,0.293,0.092,0.620,0.446,0.703,28.997
0,deepAR,10,00,35,0.434,0.314,0.673,0.531,0.714,27.674
1,deepAR,10,10,3,0.100,0.000,0.587,0.400,0.664,23.099
2,deepAR,10,01,69,0.367,0.145,0.623,0.438,0.658,35.794
3,deepAR,10,11,63,0.176,0.016,0.474,0.368,0.587,37.908
