,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,98,0.918,0.888,0.986,0.982,0.985,0.609
1,fulloracle,2,10,3,0.833,0.667,1.000,1.000,0.951,2.196
2,fulloracle,2,01,48,0.771,0.729,0.831,0.783,0.851,13.904
3,fulloracle,2,11,39,0.756,0.821,0.836,0.785,0.880,8.655
4,fulloracle,2,aa,188,0.846,0.830,0.915,0.890,0.929,5.698
0,fulloracle,5,00,75,0.904,0.867,0.972,0.957,0.978,0.630
1,fulloracle,5,10,3,0.667,0.333,0.960,0.933,0.904,4.110
2,fulloracle,5,01,59,0.692,0.508,0.817,0.708,0.826,16.478
3,fulloracle,5,11,48,0.650,0.417,0.740,0.633,0.800,14.897
4,fulloracle,5,aa,185,0.766,0.627,0.862,0.794,0.882,9.442
0,fulloracle,10,00,35,0.826,0.657,0.945,0.903,0.960,1.225
1,fulloracle,10,10,3,0.500,0.333,0.947,0.933,0.884,4.944
2,fulloracle,10,01,69,0.665,0.449,0.793,0.678,0.815,17.360
3,fulloracle,10,11,63,0.508,0.206,0.698,0.622,0.746,19.033
4,fulloracle,10,aa,170,0.637,0.400,0.792,0.708,0.820,14.439
0,notracklap,2,00,98,0.918,0.908,0.984,0.980,0.985,0.687
1,notracklap,2,10,3,0.833,0.667,1.000,1.000,0.949,2.223
2,notracklap,2,01,48,0.573,0.438,0.787,0.717,0.836,16.349
3,notracklap,2,11,39,0.667,0.590,0.797,0.744,0.875,9.910
4,notracklap,2,aa,188,0.777,0.718,0.895,0.864,0.924,6.624
0,notracklap,5,00,75,0.899,0.827,0.972,0.957,0.978,0.643
1,notracklap,5,10,3,0.667,0.333,0.960,0.933,0.903,4.144
2,notracklap,5,01,59,0.498,0.288,0.749,0.614,0.796,21.498
3,notracklap,5,11,48,0.458,0.250,0.652,0.500,0.773,18.948
4,notracklap,5,aa,185,0.653,0.497,0.818,0.729,0.866,12.100
0,notracklap,10,00,35,0.834,0.771,0.945,0.903,0.960,1.223
1,notracklap,10,10,3,0.500,0.333,0.947,0.933,0.884,4.983
2,notracklap,10,01,69,0.514,0.290,0.727,0.586,0.782,22.913
3,notracklap,10,11,63,0.321,0.143,0.602,0.521,0.713,23.907
4,notracklap,10,aa,170,0.508,0.335,0.729,0.633,0.795,18.499
0,laponly,2,00,98,0.913,0.898,0.986,0.984,0.985,0.628
1,laponly,2,10,3,0.833,0.667,1.000,1.000,0.953,2.159
2,laponly,2,01,48,0.802,0.729,0.835,0.775,0.853,13.508
3,laponly,2,11,39,0.769,0.769,0.844,0.805,0.881,8.363
4,laponly,2,aa,188,0.854,0.824,0.918,0.894,0.929,5.545
0,laponly,5,00,75,0.907,0.853,0.972,0.957,0.979,0.591
1,laponly,5,10,3,0.667,0.333,0.960,0.933,0.903,4.201
2,laponly,5,01,59,0.729,0.610,0.819,0.719,0.827,16.345
3,laponly,5,11,48,0.646,0.417,0.756,0.646,0.808,13.807
4,laponly,5,aa,185,0.778,0.654,0.867,0.800,0.885,9.103
0,laponly,10,00,35,0.806,0.714,0.945,0.903,0.961,1.113
1,laponly,10,10,3,0.500,0.333,0.947,0.933,0.884,4.965
2,laponly,10,01,69,0.648,0.449,0.795,0.672,0.814,17.503
3,laponly,10,11,63,0.514,0.254,0.710,0.644,0.754,17.774
4,laponly,10,aa,170,0.628,0.429,0.797,0.714,0.823,14.008
0,trackonly,2,00,98,0.918,0.888,0.984,0.980,0.985,0.683
1,trackonly,2,10,3,0.833,0.667,1.000,1.000,0.951,2.197
2,trackonly,2,01,48,0.573,0.438,0.787,0.717,0.836,16.399
3,trackonly,2,11,39,0.667,0.590,0.797,0.744,0.875,9.911
4,trackonly,2,aa,188,0.777,0.707,0.895,0.864,0.924,6.634
0,trackonly,5,00,75,0.885,0.813,0.972,0.957,0.979,0.638
1,trackonly,5,10,3,0.667,0.333,0.960,0.933,0.907,4.004
2,trackonly,5,01,59,0.492,0.254,0.751,0.617,0.795,21.543
3,trackonly,5,11,48,0.458,0.250,0.652,0.500,0.772,18.993
4,trackonly,5,aa,185,0.645,0.481,0.818,0.730,0.866,12.122
0,trackonly,10,00,35,0.814,0.686,0.945,0.903,0.959,1.280
1,trackonly,10,10,3,0.500,0.333,0.947,0.933,0.883,4.973
2,trackonly,10,01,69,0.488,0.232,0.726,0.586,0.782,22.896
3,trackonly,10,11,63,0.330,0.127,0.603,0.521,0.711,23.945
4,trackonly,10,aa,170,0.497,0.288,0.729,0.633,0.794,18.518
0,fullpred,2,00,98,0.923,0.898,0.985,0.982,0.985,0.593
1,fullpred,2,10,3,0.833,0.667,1.000,1.000,0.948,2.274
2,fullpred,2,01,48,0.573,0.458,0.779,0.708,0.834,16.389
3,fullpred,2,11,39,0.692,0.692,0.803,0.754,0.876,9.693
