,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,98,0.923,0.908,0.982,0.978,0.984,0.710
1,fulloracle,2,10,3,0.833,0.667,1.000,1.000,0.946,2.477
2,fulloracle,2,01,48,0.656,0.604,0.815,0.754,0.842,14.567
3,fulloracle,2,11,39,0.756,0.744,0.805,0.749,0.870,8.691
4,fulloracle,2,aa,188,0.819,0.793,0.903,0.873,0.923,5.932
0,fulloracle,5,00,75,0.912,0.867,0.971,0.955,0.983,0.424
1,fulloracle,5,10,3,0.667,0.333,0.960,0.933,0.910,3.990
2,fulloracle,5,01,59,0.580,0.356,0.784,0.658,0.814,18.377
3,fulloracle,5,11,48,0.567,0.354,0.690,0.579,0.789,16.071
4,fulloracle,5,aa,185,0.712,0.562,0.838,0.762,0.878,10.267
0,fulloracle,10,00,35,0.714,0.629,0.944,0.903,0.965,0.910
1,fulloracle,10,10,3,0.500,0.333,0.947,0.933,0.885,4.941
2,fulloracle,10,01,69,0.581,0.304,0.787,0.664,0.811,17.894
3,fulloracle,10,11,63,0.459,0.206,0.689,0.635,0.746,19.030
4,fulloracle,10,aa,170,0.562,0.335,0.786,0.707,0.820,14.590
0,notracklap,2,00,98,0.918,0.898,0.980,0.973,0.984,0.740
1,notracklap,2,10,3,0.833,0.667,1.000,1.000,0.943,2.721
2,notracklap,2,01,48,0.583,0.458,0.785,0.717,0.832,16.722
3,notracklap,2,11,39,0.667,0.590,0.795,0.738,0.870,10.084
4,notracklap,2,aa,188,0.779,0.718,0.892,0.860,0.921,6.790
0,notracklap,5,00,75,0.904,0.853,0.969,0.952,0.982,0.456
1,notracklap,5,10,3,0.667,0.333,0.960,0.933,0.905,4.259
2,notracklap,5,01,59,0.508,0.271,0.744,0.610,0.792,22.222
3,notracklap,5,11,48,0.454,0.229,0.633,0.487,0.768,19.330
4,notracklap,5,aa,185,0.657,0.497,0.810,0.722,0.865,12.356
0,notracklap,10,00,35,0.751,0.600,0.945,0.903,0.965,0.953
1,notracklap,10,10,3,0.467,0.333,0.947,0.933,0.884,5.045
2,notracklap,10,01,69,0.458,0.203,0.721,0.583,0.779,23.436
3,notracklap,10,11,63,0.325,0.127,0.609,0.543,0.714,23.594
4,notracklap,10,aa,170,0.469,0.259,0.730,0.640,0.795,18.541
0,laponly,2,00,98,0.923,0.908,0.983,0.980,0.984,0.720
1,laponly,2,10,3,0.833,0.667,1.000,1.000,0.940,2.828
2,laponly,2,01,48,0.667,0.583,0.815,0.742,0.842,14.717
3,laponly,2,11,39,0.744,0.744,0.805,0.738,0.870,8.511
4,laponly,2,aa,188,0.819,0.787,0.903,0.869,0.923,5.944
0,laponly,5,00,75,0.896,0.840,0.971,0.955,0.983,0.436
1,laponly,5,10,3,0.667,0.333,0.960,0.933,0.910,3.957
2,laponly,5,01,59,0.600,0.339,0.784,0.661,0.815,18.214
3,laponly,5,11,48,0.558,0.333,0.687,0.554,0.789,15.887
4,laponly,5,aa,185,0.710,0.541,0.837,0.757,0.878,10.172
0,laponly,10,00,35,0.731,0.571,0.944,0.903,0.965,0.952
1,laponly,10,10,3,0.500,0.333,0.947,0.933,0.888,4.833
2,laponly,10,01,69,0.574,0.319,0.786,0.661,0.810,18.115
3,laponly,10,11,63,0.425,0.206,0.697,0.641,0.749,18.406
4,laponly,10,aa,170,0.550,0.329,0.788,0.708,0.821,14.455
0,trackonly,2,00,98,0.918,0.898,0.982,0.978,0.984,0.756
1,trackonly,2,10,3,0.833,0.667,1.000,1.000,0.945,2.436
2,trackonly,2,01,48,0.573,0.438,0.783,0.713,0.831,16.752
3,trackonly,2,11,39,0.667,0.590,0.792,0.733,0.870,10.178
4,trackonly,2,aa,188,0.777,0.713,0.892,0.860,0.921,6.822
0,trackonly,5,00,75,0.899,0.840,0.971,0.955,0.982,0.456
1,trackonly,5,10,3,0.667,0.333,0.960,0.933,0.907,4.180
2,trackonly,5,01,59,0.502,0.288,0.740,0.610,0.791,22.321
