,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,64,0.906,0.891,0.989,0.981,0.979,0.611
1,fulloracle,2,10,24,0.896,0.833,0.971,0.967,0.962,1.751
2,fulloracle,2,01,57,0.860,0.807,0.847,0.807,0.850,10.278
3,fulloracle,2,11,43,0.953,0.930,0.970,0.963,0.947,2.713
4,fulloracle,2,aa,188,0.902,0.867,0.939,0.922,0.930,4.168
0,fulloracle,5,00,40,0.975,0.975,0.997,0.990,0.971,1.015
1,fulloracle,5,10,13,0.662,0.615,0.938,0.923,0.956,1.766
2,fulloracle,5,01,65,0.782,0.631,0.800,0.686,0.792,14.830
3,fulloracle,5,11,67,0.830,0.716,0.921,0.872,0.903,4.730
4,fulloracle,5,aa,185,0.832,0.735,0.896,0.836,0.882,7.267
0,fulloracle,10,00,9,0.889,0.889,0.991,0.956,0.910,3.917
1,fulloracle,10,10,6,0.717,0.667,1.000,1.000,0.931,4.137
2,fulloracle,10,01,67,0.710,0.493,0.758,0.567,0.741,20.755
3,fulloracle,10,11,88,0.713,0.659,0.840,0.766,0.838,8.451
4,fulloracle,10,aa,170,0.721,0.606,0.821,0.706,0.807,12.908
0,notracklap,2,00,64,0.906,0.891,0.991,0.984,0.979,0.652
1,notracklap,2,10,24,0.896,0.833,0.971,0.967,0.965,1.372
2,notracklap,2,01,57,0.825,0.789,0.812,0.761,0.824,13.046
3,notracklap,2,11,43,0.953,0.930,0.963,0.949,0.940,3.374
4,notracklap,2,aa,188,0.891,0.862,0.928,0.906,0.921,5.125
0,notracklap,5,00,40,0.975,0.975,0.997,0.995,0.971,1.049
1,notracklap,5,10,13,0.662,0.615,0.938,0.923,0.955,1.832
2,notracklap,5,01,65,0.723,0.600,0.778,0.655,0.766,17.733
3,notracklap,5,11,67,0.824,0.716,0.919,0.878,0.895,5.413
4,notracklap,5,aa,185,0.810,0.724,0.888,0.828,0.870,8.547
0,notracklap,10,00,9,0.878,0.889,0.996,0.956,0.910,3.982
1,notracklap,10,10,6,0.717,0.667,1.000,1.000,0.934,4.070
2,notracklap,10,01,67,0.690,0.493,0.741,0.540,0.695,26.296
3,notracklap,10,11,88,0.699,0.625,0.828,0.755,0.817,10.355
4,notracklap,10,aa,170,0.705,0.588,0.809,0.689,0.778,16.078
0,laponly,2,00,64,0.914,0.906,0.989,0.984,0.979,0.635
1,laponly,2,10,24,0.917,0.875,0.971,0.967,0.967,1.233
2,laponly,2,01,57,0.816,0.772,0.854,0.807,0.848,10.511
3,laponly,2,11,43,0.953,0.930,0.967,0.958,0.947,2.631
4,laponly,2,aa,188,0.894,0.867,0.941,0.922,0.930,4.162
0,laponly,5,00,40,0.975,0.975,0.997,0.995,0.971,1.029
1,laponly,5,10,13,0.662,0.615,0.938,0.923,0.956,1.722
2,laponly,5,01,65,0.757,0.585,0.798,0.677,0.790,15.040
3,laponly,5,11,67,0.824,0.731,0.921,0.875,0.906,4.388
4,laponly,5,aa,185,0.822,0.724,0.895,0.835,0.883,7.217
0,laponly,10,00,9,0.889,0.889,1.000,1.000,0.911,3.852
1,laponly,10,10,6,0.717,0.667,1.000,1.000,0.930,4.240
2,laponly,10,01,67,0.716,0.507,0.756,0.567,0.742,20.831
3,laponly,10,11,88,0.714,0.636,0.840,0.759,0.844,7.890
4,laponly,10,aa,170,0.724,0.600,0.821,0.705,0.810,12.648
0,trackonly,2,00,64,0.922,0.906,0.988,0.978,0.980,0.630
1,trackonly,2,10,24,0.917,0.875,0.971,0.967,0.964,1.444
2,trackonly,2,01,57,0.816,0.754,0.835,0.789,0.828,12.664
3,trackonly,2,11,43,0.942,0.930,0.953,0.940,0.939,3.521
4,trackonly,2,aa,188,0.894,0.862,0.931,0.911,0.922,5.044
0,trackonly,5,00,40,0.970,0.950,0.998,0.995,0.971,1.029
1,trackonly,5,10,13,0.662,0.615,0.938,0.923,0.955,1.819
2,trackonly,5,01,65,0.745,0.646,0.785,0.662,0.764,17.792
3,trackonly,5,11,67,0.824,0.716,0.919,0.872,0.894,5.623
4,trackonly,5,aa,185,0.816,0.735,0.891,0.828,0.869,8.638
0,trackonly,10,00,9,0.889,0.889,0.996,0.978,0.908,4.108
1,trackonly,10,10,6,0.717,0.667,1.000,1.000,0.935,3.995
2,trackonly,10,01,67,0.694,0.507,0.739,0.543,0.696,26.071
3,trackonly,10,11,88,0.708,0.625,0.823,0.734,0.813,10.766
4,trackonly,10,aa,170,0.712,0.594,0.805,0.681,0.776,16.206
0,fullpred,2,00,64,0.898,0.875,0.984,0.972,0.976,0.725
1,fullpred,2,10,24,0.896,0.833,0.971,0.967,0.966,1.277
2,fullpred,2,01,57,0.623,0.509,0.777,0.712,0.791,17.910
3,fullpred,2,11,43,0.779,0.698,0.928,0.902,0.926,5.091
4,fullpred,2,aa,188,0.787,0.718,0.907,0.877,0.908,7.005
0,fullpred,5,00,40,0.925,0.875,0.974,0.960,0.960,1.457
1,fullpred,5,10,13,0.662,0.615,0.951,0.938,0.953,1.925
2,fullpred,5,01,65,0.465,0.308,0.681,0.498,0.685,29.040
3,fullpred,5,11,67,0.648,0.493,0.847,0.749,0.858,10.130
4,fullpred,5,aa,185,0.644,0.519,0.823,0.720,0.826,14.322
0,fullpred,10,00,9,0.733,0.444,0.984,0.956,0.887,5.254
1,fullpred,10,10,6,0.717,0.667,0.987,0.933,0.928,4.318
2,fullpred,10,01,67,0.539,0.313,0.641,0.415,0.624,37.105
3,fullpred,10,11,88,0.565,0.477,0.742,0.630,0.773,15.904
4,fullpred,10,aa,170,0.569,0.418,0.724,0.573,0.726,23.287
0,predtrack,2,00,64,0.922,0.906,0.988,0.978,0.979,0.674
1,predtrack,2,10,24,0.917,0.875,0.971,0.967,0.966,1.369
2,predtrack,2,01,57,0.825,0.789,0.814,0.761,0.825,13.050
3,predtrack,2,11,43,0.953,0.930,0.958,0.953,0.939,3.517
4,predtrack,2,aa,188,0.899,0.872,0.926,0.905,0.922,5.165
0,predtrack,5,00,40,0.970,0.950,0.998,0.995,0.971,1.018
1,predtrack,5,10,13,0.662,0.615,0.938,0.923,0.956,1.764
2,predtrack,5,01,65,0.754,0.646,0.780,0.658,0.763,17.808
3,predtrack,5,11,67,0.824,0.716,0.918,0.875,0.894,5.532
4,predtrack,5,aa,185,0.819,0.735,0.888,0.828,0.869,8.604
0,predtrack,10,00,9,0.878,0.778,0.998,0.978,0.908,4.161
1,predtrack,10,10,6,0.717,0.667,1.000,1.000,0.937,3.810
2,predtrack,10,01,67,0.688,0.493,0.738,0.549,0.696,26.215
3,predtrack,10,11,88,0.700,0.625,0.827,0.750,0.815,10.557
4,predtrack,10,aa,170,0.705,0.582,0.807,0.692,0.777,16.151
0,predpit,2,00,64,0.836,0.797,0.970,0.956,0.973,0.886
1,predpit,2,10,24,0.917,0.875,0.971,0.967,0.967,1.224
2,predpit,2,01,57,0.544,0.474,0.772,0.712,0.789,18.233
3,predpit,2,11,43,0.767,0.698,0.930,0.907,0.925,5.275
4,predpit,2,aa,188,0.742,0.686,0.901,0.872,0.905,7.193
0,predpit,5,00,40,0.940,0.875,0.968,0.945,0.960,1.531
1,predpit,5,10,13,0.662,0.615,0.938,0.923,0.953,1.925
2,predpit,5,01,65,0.465,0.292,0.671,0.489,0.684,28.992
3,predpit,5,11,67,0.648,0.493,0.848,0.758,0.858,10.234
4,predpit,5,aa,185,0.648,0.514,0.818,0.716,0.825,14.359
0,predpit,10,00,9,0.778,0.444,0.991,1.000,0.887,5.046
1,predpit,10,10,6,0.717,0.667,0.993,0.933,0.929,4.208
2,predpit,10,01,67,0.548,0.358,0.641,0.418,0.622,37.151
3,predpit,10,11,88,0.575,0.477,0.743,0.634,0.773,15.951
