,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,64,0.906,0.891,0.989,0.981,0.976,0.729
1,fulloracle,2,10,24,0.896,0.875,0.971,0.967,0.959,1.696
2,fulloracle,2,01,57,0.719,0.614,0.816,0.765,0.814,14.062
3,fulloracle,2,11,43,0.953,0.930,0.949,0.935,0.923,4.597
4,fulloracle,2,aa,188,0.859,0.814,0.925,0.903,0.913,5.779
0,fulloracle,5,00,40,0.975,0.975,0.997,0.995,0.969,1.213
1,fulloracle,5,10,13,0.662,0.615,0.935,0.908,0.955,1.912
2,fulloracle,5,01,65,0.634,0.477,0.746,0.597,0.737,21.157
3,fulloracle,5,11,67,0.800,0.716,0.882,0.818,0.879,7.263
4,fulloracle,5,aa,185,0.770,0.681,0.863,0.785,0.854,10.461
0,fulloracle,10,00,9,0.878,0.778,0.998,0.978,0.915,3.486
1,fulloracle,10,10,6,0.717,0.667,1.000,1.000,0.932,3.959
2,fulloracle,10,01,67,0.716,0.567,0.765,0.573,0.726,22.592
3,fulloracle,10,11,88,0.693,0.625,0.826,0.745,0.827,9.548
4,fulloracle,10,aa,170,0.713,0.612,0.817,0.699,0.795,14.171
0,notracklap,2,00,64,0.906,0.891,0.989,0.981,0.975,0.777
1,notracklap,2,10,24,0.917,0.875,0.971,0.967,0.959,1.728
2,notracklap,2,01,57,0.684,0.579,0.804,0.754,0.803,15.197
3,notracklap,2,11,43,0.942,0.907,0.947,0.935,0.922,4.725
4,notracklap,2,aa,188,0.848,0.798,0.921,0.900,0.909,6.173
0,notracklap,5,00,40,0.975,0.975,0.999,0.995,0.969,1.235
1,notracklap,5,10,13,0.662,0.615,0.938,0.923,0.955,1.863
2,notracklap,5,01,65,0.600,0.477,0.735,0.591,0.728,22.522
3,notracklap,5,11,67,0.788,0.716,0.875,0.815,0.872,7.869
4,notracklap,5,aa,185,0.754,0.681,0.857,0.783,0.848,11.161
0,notracklap,10,00,9,0.889,0.889,0.998,0.978,0.913,3.688
1,notracklap,10,10,6,0.717,0.667,1.000,1.000,0.931,4.179
2,notracklap,10,01,67,0.710,0.567,0.758,0.564,0.712,24.077
3,notracklap,10,11,88,0.702,0.659,0.817,0.725,0.818,10.345
4,notracklap,10,aa,170,0.716,0.635,0.810,0.685,0.785,15.187
0,laponly,2,00,64,0.906,0.891,0.991,0.984,0.975,0.736
1,laponly,2,10,24,0.875,0.833,0.971,0.967,0.960,1.629
2,laponly,2,01,57,0.702,0.614,0.811,0.754,0.812,14.219
3,laponly,2,11,43,0.942,0.907,0.949,0.935,0.926,4.295
