,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,64,0.906,0.891,0.989,0.981,0.970,0.953
1,fulloracle,2,10,24,0.917,0.875,0.971,0.967,0.953,2.097
2,fulloracle,2,01,57,0.728,0.632,0.800,0.740,0.796,15.327
3,fulloracle,2,11,43,0.942,0.930,0.951,0.935,0.924,4.242
4,fulloracle,2,aa,188,0.862,0.819,0.921,0.896,0.905,6.210
0,fulloracle,5,00,40,0.970,0.950,0.996,0.985,0.966,1.479
1,fulloracle,5,10,13,0.662,0.615,0.938,0.923,0.954,1.928
2,fulloracle,5,01,65,0.662,0.492,0.743,0.588,0.737,20.902
3,fulloracle,5,11,67,0.785,0.657,0.887,0.827,0.880,6.998
4,fulloracle,5,aa,185,0.773,0.659,0.864,0.784,0.854,10.334
0,fulloracle,10,00,9,0.878,0.778,0.998,0.978,0.909,3.671
1,fulloracle,10,10,6,0.717,0.667,1.000,1.000,0.930,4.102
2,fulloracle,10,01,67,0.721,0.552,0.766,0.585,0.725,22.407
3,fulloracle,10,11,88,0.688,0.614,0.815,0.736,0.822,9.873
4,fulloracle,10,aa,170,0.712,0.600,0.812,0.699,0.792,14.281
0,notracklap,2,00,64,0.914,0.891,0.988,0.978,0.968,1.091
1,notracklap,2,10,24,0.896,0.833,0.971,0.967,0.954,1.872
2,notracklap,2,01,57,0.658,0.561,0.774,0.702,0.793,15.850
3,notracklap,2,11,43,0.919,0.884,0.947,0.930,0.921,4.600
4,notracklap,2,aa,188,0.835,0.782,0.911,0.882,0.903,6.468
0,notracklap,5,00,40,0.975,0.975,1.000,1.000,0.968,1.295
1,notracklap,5,10,13,0.662,0.615,0.938,0.923,0.951,2.251
2,notracklap,5,01,65,0.622,0.492,0.732,0.563,0.728,22.496
3,notracklap,5,11,67,0.779,0.642,0.885,0.812,0.873,7.590
4,notracklap,5,aa,185,0.758,0.659,0.860,0.773,0.848,11.091
