,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,98,0.949,0.939,0.984,0.980,0.986,0.535
1,fulloracle,2,10,3,0.833,0.667,1.000,1.000,0.944,2.535
2,fulloracle,2,01,48,0.719,0.625,0.835,0.783,0.856,12.405
3,fulloracle,2,11,39,0.821,0.821,0.851,0.800,0.872,7.475
4,fulloracle,2,aa,188,0.862,0.830,0.919,0.893,0.928,5.037
0,fulloracle,5,00,75,0.915,0.893,0.971,0.955,0.982,0.468
1,fulloracle,5,10,3,0.667,0.333,0.960,0.933,0.908,4.138
2,fulloracle,5,01,59,0.614,0.373,0.810,0.688,0.827,15.770
3,fulloracle,5,11,48,0.571,0.354,0.723,0.613,0.784,15.521
4,fulloracle,5,aa,185,0.725,0.578,0.855,0.781,0.880,9.313
0,fulloracle,10,00,35,0.866,0.829,0.946,0.903,0.969,0.730
1,fulloracle,10,10,3,0.500,0.333,0.947,0.933,0.891,4.745
2,fulloracle,10,01,69,0.667,0.420,0.811,0.701,0.826,15.105
3,fulloracle,10,11,63,0.443,0.190,0.728,0.679,0.750,17.907
4,fulloracle,10,aa,170,0.622,0.418,0.810,0.739,0.829,13.001
0,notracklap,2,00,98,0.954,0.949,0.986,0.982,0.985,0.539
1,notracklap,2,10,3,0.833,0.667,1.000,1.000,0.942,2.610
2,notracklap,2,01,48,0.781,0.688,0.854,0.804,0.859,12.001
3,notracklap,2,11,39,0.808,0.744,0.844,0.795,0.875,7.127
4,notracklap,2,aa,188,0.878,0.835,0.923,0.898,0.929,4.865
0,notracklap,5,00,75,0.917,0.880,0.970,0.955,0.982,0.470
1,notracklap,5,10,3,0.667,0.333,0.960,0.933,0.901,4.443
2,notracklap,5,01,59,0.610,0.373,0.808,0.688,0.825,15.944
3,notracklap,5,11,48,0.575,0.354,0.725,0.617,0.786,15.121
4,notracklap,5,aa,185,0.726,0.573,0.855,0.782,0.880,9.271
0,notracklap,10,00,35,0.866,0.829,0.946,0.903,0.970,0.709
1,notracklap,10,10,3,0.500,0.333,0.947,0.933,0.891,4.730
2,notracklap,10,01,69,0.665,0.435,0.808,0.690,0.827,15.118
3,notracklap,10,11,63,0.440,0.206,0.721,0.663,0.750,17.674
4,notracklap,10,aa,170,0.620,0.429,0.807,0.728,0.829,12.915
0,laponly,2,00,98,0.949,0.939,0.986,0.982,0.985,0.558
1,laponly,2,10,3,0.833,0.667,1.000,1.000,0.947,2.475
2,laponly,2,01,48,0.760,0.667,0.846,0.792,0.856,12.123
3,laponly,2,11,39,0.756,0.744,0.849,0.805,0.871,7.469
4,laponly,2,aa,188,0.859,0.824,0.922,0.897,0.928,4.975
0,laponly,5,00,75,0.912,0.867,0.970,0.955,0.983,0.452
1,laponly,5,10,3,0.667,0.333,0.960,0.933,0.905,4.238
2,laponly,5,01,59,0.647,0.407,0.811,0.695,0.828,15.647
3,laponly,5,11,48,0.546,0.312,0.727,0.621,0.783,15.397
4,laponly,5,aa,185,0.729,0.568,0.856,0.785,0.880,9.237
0,laponly,10,00,35,0.863,0.829,0.946,0.903,0.970,0.719
1,laponly,10,10,3,0.500,0.333,0.947,0.933,0.891,4.727
2,laponly,10,01,69,0.668,0.435,0.809,0.678,0.825,15.322
3,laponly,10,11,63,0.427,0.190,0.720,0.670,0.749,17.846
4,laponly,10,aa,170,0.616,0.424,0.807,0.726,0.828,13.064
0,trackonly,2,00,98,0.954,0.949,0.985,0.982,0.985,0.586
1,trackonly,2,10,3,0.833,0.667,1.000,1.000,0.941,2.644
2,trackonly,2,01,48,0.698,0.604,0.856,0.808,0.857,12.116
3,trackonly,2,11,39,0.756,0.718,0.851,0.805,0.874,7.148
4,trackonly,2,aa,188,0.846,0.809,0.924,0.901,0.929,4.924
0,trackonly,5,00,75,0.920,0.880,0.970,0.955,0.982,0.494
1,trackonly,5,10,3,0.667,0.333,0.960,0.933,0.904,4.318
2,trackonly,5,01,59,0.631,0.424,0.801,0.681,0.825,15.953
3,trackonly,5,11,48,0.583,0.333,0.720,0.604,0.783,15.541
4,trackonly,5,aa,185,0.736,0.584,0.851,0.776,0.879,9.390
0,trackonly,10,00,35,0.866,0.829,0.946,0.903,0.970,0.717
1,trackonly,10,10,3,0.500,0.333,0.947,0.933,0.891,4.746
2,trackonly,10,01,69,0.670,0.406,0.813,0.687,0.827,15.116
3,trackonly,10,11,63,0.456,0.175,0.728,0.670,0.750,17.704
4,trackonly,10,aa,170,0.628,0.406,0.811,0.729,0.829,12.928
0,fullpred,2,00,98,0.954,0.949,0.986,0.982,0.985,0.570
1,fullpred,2,10,3,0.833,0.667,1.000,1.000,0.946,2.488
2,fullpred,2,01,48,0.594,0.458,0.781,0.713,0.822,17.077
3,fullpred,2,11,39,0.744,0.692,0.808,0.744,0.857,9.930
