,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,64,0.906,0.906,0.991,0.984,0.978,0.671
1,fulloracle,2,10,24,0.958,0.917,0.971,0.967,0.963,1.487
2,fulloracle,2,01,57,0.658,0.544,0.789,0.733,0.801,16.316
3,fulloracle,2,11,43,0.919,0.860,0.942,0.930,0.924,4.855
4,fulloracle,2,aa,188,0.840,0.787,0.916,0.894,0.910,6.475
0,fulloracle,5,00,40,0.975,0.975,1.000,1.000,0.970,1.242
1,fulloracle,5,10,13,0.662,0.615,0.938,0.923,0.955,1.833
2,fulloracle,5,01,65,0.554,0.431,0.722,0.566,0.716,24.753
3,fulloracle,5,11,67,0.803,0.761,0.866,0.803,0.871,8.539
4,fulloracle,5,aa,185,0.743,0.681,0.850,0.771,0.844,12.187
0,fulloracle,10,00,9,0.889,0.889,1.000,1.000,0.912,3.860
1,fulloracle,10,10,6,0.717,0.667,1.000,1.000,0.928,4.062
2,fulloracle,10,01,67,0.675,0.478,0.733,0.525,0.680,29.228
3,fulloracle,10,11,88,0.649,0.568,0.795,0.725,0.801,12.673
4,fulloracle,10,aa,170,0.674,0.553,0.789,0.671,0.764,18.427
0,notracklap,2,00,64,0.906,0.906,0.991,0.984,0.978,0.690
1,notracklap,2,10,24,0.938,0.875,0.971,0.967,0.964,1.415
2,notracklap,2,01,57,0.553,0.439,0.753,0.688,0.786,18.824
3,notracklap,2,11,43,0.767,0.698,0.916,0.893,0.920,5.611
4,notracklap,2,aa,188,0.771,0.713,0.899,0.871,0.905,7.406
0,notracklap,5,00,40,0.975,0.975,1.000,1.000,0.970,1.234
1,notracklap,5,10,13,0.677,0.692,0.938,0.923,0.953,1.901
2,notracklap,5,01,65,0.489,0.308,0.683,0.514,0.695,28.554
3,notracklap,5,11,67,0.663,0.582,0.844,0.761,0.859,10.273
4,notracklap,5,aa,185,0.670,0.578,0.828,0.737,0.832,14.154
0,notracklap,10,00,9,0.889,0.889,1.000,1.000,0.913,4.045
1,notracklap,10,10,6,0.717,0.667,1.000,1.000,0.933,3.877
2,notracklap,10,01,67,0.510,0.269,0.654,0.400,0.635,36.850
3,notracklap,10,11,88,0.561,0.477,0.740,0.636,0.778,15.988
4,notracklap,10,aa,170,0.564,0.424,0.729,0.575,0.734,23.150
0,laponly,2,00,64,0.891,0.875,0.991,0.984,0.978,0.671
1,laponly,2,10,24,0.938,0.875,0.971,0.967,0.962,1.567
2,laponly,2,01,57,0.649,0.526,0.788,0.737,0.799,16.577
3,laponly,2,11,43,0.895,0.860,0.935,0.916,0.925,4.652
4,laponly,2,aa,188,0.824,0.766,0.914,0.891,0.910,6.518
0,laponly,5,00,40,0.975,0.975,0.998,0.995,0.971,1.232
1,laponly,5,10,13,0.692,0.692,0.932,0.908,0.950,2.250
2,laponly,5,01,65,0.554,0.385,0.719,0.572,0.716,24.717
3,laponly,5,11,67,0.800,0.731,0.872,0.809,0.874,8.118
4,laponly,5,aa,185,0.744,0.659,0.850,0.773,0.845,12.049
0,laponly,10,00,9,0.889,0.889,1.000,1.000,0.908,4.345
1,laponly,10,10,6,0.717,0.667,0.980,0.967,0.921,5.256
2,laponly,10,01,67,0.673,0.478,0.730,0.528,0.679,29.318
3,laponly,10,11,88,0.644,0.545,0.793,0.707,0.810,11.565
4,laponly,10,aa,170,0.671,0.541,0.786,0.661,0.767,17.957
0,trackonly,2,00,64,0.906,0.906,0.989,0.981,0.978,0.695
1,trackonly,2,10,24,0.958,0.917,0.971,0.967,0.964,1.472
2,trackonly,2,01,57,0.553,0.439,0.751,0.684,0.785,18.850
3,trackonly,2,11,43,0.779,0.698,0.919,0.893,0.919,5.693
4,trackonly,2,aa,188,0.777,0.718,0.898,0.869,0.904,7.442
0,trackonly,5,00,40,0.975,0.975,1.000,1.000,0.970,1.229
1,trackonly,5,10,13,0.692,0.692,0.938,0.923,0.956,1.758
2,trackonly,5,01,65,0.486,0.308,0.683,0.514,0.695,28.467
3,trackonly,5,11,67,0.663,0.567,0.844,0.761,0.860,10.263
4,trackonly,5,aa,185,0.670,0.573,0.828,0.737,0.832,14.108
0,trackonly,10,00,9,0.889,0.889,1.000,1.000,0.915,3.890
1,trackonly,10,10,6,0.717,0.667,1.000,1.000,0.934,3.732
2,trackonly,10,01,67,0.507,0.254,0.653,0.400,0.635,36.879
3,trackonly,10,11,88,0.574,0.523,0.745,0.648,0.778,16.010
4,trackonly,10,aa,170,0.569,0.441,0.731,0.581,0.734,23.160
0,fullpred,2,00,64,0.906,0.906,0.989,0.981,0.976,0.717
1,fullpred,2,10,24,0.917,0.833,0.971,0.967,0.965,1.412
2,fullpred,2,01,57,0.561,0.456,0.756,0.684,0.784,18.780
3,fullpred,2,11,43,0.767,0.698,0.921,0.893,0.919,5.657
4,fullpred,2,aa,188,0.771,0.713,0.901,0.869,0.903,7.412
0,fullpred,5,00,40,0.970,0.975,0.994,0.990,0.968,1.245
1,fullpred,5,10,13,0.692,0.692,0.945,0.923,0.953,1.956
2,fullpred,5,01,65,0.489,0.323,0.683,0.520,0.692,28.669
3,fullpred,5,11,67,0.669,0.537,0.842,0.755,0.859,10.309
4,fullpred,5,aa,185,0.672,0.568,0.826,0.735,0.831,14.213
0,fullpred,10,00,9,0.878,0.889,0.991,0.978,0.903,4.142
1,fullpred,10,10,6,0.717,0.667,1.000,1.000,0.927,4.241
2,fullpred,10,01,67,0.519,0.299,0.659,0.421,0.634,36.335
3,fullpred,10,11,88,0.566,0.511,0.739,0.645,0.777,15.727
4,fullpred,10,aa,170,0.569,0.453,0.730,0.587,0.733,22.830
0,predtrack,2,00,64,0.906,0.906,0.991,0.984,0.978,0.674
1,predtrack,2,10,24,0.938,0.875,0.971,0.967,0.963,1.521
2,predtrack,2,01,57,0.561,0.456,0.753,0.688,0.786,18.859
3,predtrack,2,11,43,0.779,0.698,0.919,0.893,0.920,5.660
4,predtrack,2,aa,188,0.777,0.718,0.899,0.871,0.905,7.436
0,predtrack,5,00,40,0.975,0.975,1.000,1.000,0.971,1.201
1,predtrack,5,10,13,0.692,0.692,0.938,0.923,0.956,1.766
2,predtrack,5,01,65,0.486,0.292,0.682,0.514,0.695,28.495
3,predtrack,5,11,67,0.666,0.582,0.844,0.761,0.859,10.263
4,predtrack,5,aa,185,0.671,0.573,0.828,0.737,0.832,14.112
0,predtrack,10,00,9,0.889,0.889,1.000,1.000,0.914,3.915
1,predtrack,10,10,6,0.717,0.667,1.000,1.000,0.935,3.626
2,predtrack,10,01,67,0.513,0.254,0.653,0.397,0.635,36.873
3,predtrack,10,11,88,0.575,0.500,0.741,0.632,0.778,15.907
4,predtrack,10,aa,170,0.572,0.429,0.729,0.572,0.735,23.101
0,predpit,2,00,64,0.906,0.906,0.984,0.972,0.977,0.673
1,predpit,2,10,24,0.958,0.917,0.971,0.967,0.961,1.659
2,predpit,2,01,57,0.561,0.456,0.756,0.691,0.782,19.059
3,predpit,2,11,43,0.767,0.674,0.921,0.893,0.918,5.711
4,predpit,2,aa,188,0.777,0.718,0.899,0.868,0.902,7.526
0,predpit,5,00,40,0.960,0.950,0.998,0.995,0.969,1.266
1,predpit,5,10,13,0.692,0.692,0.926,0.908,0.951,2.281
2,predpit,5,01,65,0.492,0.308,0.688,0.532,0.691,28.659
