,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,64,0.906,0.891,0.991,0.984,0.978,0.630
1,fulloracle,2,10,24,0.917,0.875,0.971,0.967,0.965,1.395
2,fulloracle,2,01,57,0.833,0.772,0.846,0.811,0.845,10.751
3,fulloracle,2,11,43,0.953,0.930,0.963,0.953,0.948,2.651
4,fulloracle,2,aa,188,0.896,0.862,0.938,0.922,0.929,4.258
0,fulloracle,5,00,40,0.975,0.975,1.000,1.000,0.972,0.954
1,fulloracle,5,10,13,0.662,0.615,0.938,0.923,0.956,1.706
2,fulloracle,5,01,65,0.760,0.615,0.801,0.692,0.784,15.470
3,fulloracle,5,11,67,0.839,0.746,0.925,0.881,0.904,4.552
4,fulloracle,5,aa,185,0.828,0.741,0.898,0.843,0.880,7.410
0,fulloracle,10,00,9,0.878,0.778,0.996,0.956,0.921,3.133
1,fulloracle,10,10,6,0.717,0.667,1.000,1.000,0.936,3.736
2,fulloracle,10,01,67,0.740,0.537,0.760,0.567,0.749,20.018
3,fulloracle,10,11,88,0.713,0.625,0.838,0.755,0.838,8.408
4,fulloracle,10,aa,170,0.732,0.600,0.821,0.700,0.811,12.540
0,notracklap,2,00,64,0.906,0.891,0.989,0.981,0.977,0.690
1,notracklap,2,10,24,0.917,0.875,0.971,0.967,0.968,1.164
2,notracklap,2,01,57,0.860,0.807,0.832,0.789,0.847,10.616
3,notracklap,2,11,43,0.953,0.930,0.967,0.963,0.946,2.679
4,notracklap,2,aa,188,0.904,0.872,0.934,0.917,0.929,4.215
0,notracklap,5,00,40,0.975,0.975,1.000,1.000,0.971,0.978
1,notracklap,5,10,13,0.662,0.615,0.938,0.923,0.956,1.689
2,notracklap,5,01,65,0.738,0.600,0.797,0.686,0.786,15.445
3,notracklap,5,11,67,0.833,0.731,0.924,0.887,0.907,4.261
4,notracklap,5,aa,185,0.818,0.730,0.897,0.843,0.881,7.300
0,notracklap,10,00,9,0.889,0.889,0.996,0.978,0.920,3.184
1,notracklap,10,10,6,0.717,0.667,1.000,1.000,0.935,3.752
2,notracklap,10,01,67,0.731,0.537,0.764,0.564,0.749,20.100
3,notracklap,10,11,88,0.719,0.648,0.835,0.759,0.841,8.068
4,notracklap,10,aa,170,0.733,0.618,0.821,0.702,0.812,12.399
0,laponly,2,00,64,0.906,0.891,0.989,0.981,0.979,0.626
1,laponly,2,10,24,0.917,0.875,0.971,0.967,0.966,1.234
2,laponly,2,01,57,0.851,0.807,0.849,0.807,0.850,10.399
3,laponly,2,11,43,0.953,0.930,0.977,0.972,0.946,2.609
4,laponly,2,aa,188,0.902,0.872,0.941,0.924,0.930,4.121
0,laponly,5,00,40,0.975,0.975,0.999,1.000,0.971,0.975
1,laponly,5,10,13,0.662,0.615,0.938,0.923,0.956,1.686
2,laponly,5,01,65,0.745,0.615,0.802,0.692,0.785,15.352
3,laponly,5,11,67,0.827,0.746,0.923,0.881,0.907,4.212
4,laponly,5,aa,185,0.818,0.741,0.898,0.843,0.881,7.249
0,laponly,10,00,9,0.889,0.889,0.998,1.000,0.922,3.080
1,laponly,10,10,6,0.717,0.667,1.000,1.000,0.934,3.769
2,laponly,10,01,67,0.733,0.567,0.764,0.582,0.752,19.884
3,laponly,10,11,88,0.717,0.614,0.836,0.748,0.840,8.064
4,laponly,10,aa,170,0.732,0.612,0.822,0.705,0.813,12.307
0,trackonly,2,00,64,0.906,0.891,0.986,0.978,0.978,0.647
1,trackonly,2,10,24,0.917,0.875,0.971,0.967,0.966,1.296
2,trackonly,2,01,57,0.816,0.754,0.847,0.804,0.849,10.484
3,trackonly,2,11,43,0.953,0.930,0.963,0.958,0.949,2.567
4,trackonly,2,aa,188,0.891,0.856,0.937,0.919,0.931,4.151
0,trackonly,5,00,40,0.975,0.975,1.000,1.000,0.972,0.967
1,trackonly,5,10,13,0.662,0.615,0.938,0.923,0.956,1.771
2,trackonly,5,01,65,0.745,0.615,0.797,0.683,0.784,15.467
3,trackonly,5,11,67,0.830,0.746,0.926,0.887,0.904,4.587
4,trackonly,5,aa,185,0.819,0.741,0.898,0.842,0.880,7.429
0,trackonly,10,00,9,0.889,0.889,0.996,0.978,0.922,3.109
1,trackonly,10,10,6,0.717,0.667,1.000,1.000,0.935,3.754
2,trackonly,10,01,67,0.743,0.567,0.763,0.573,0.751,19.836
3,trackonly,10,11,88,0.714,0.636,0.839,0.757,0.838,8.380
4,trackonly,10,aa,170,0.735,0.624,0.823,0.705,0.812,12.452
0,fullpred,2,00,64,0.883,0.859,0.973,0.966,0.972,0.946
1,fullpred,2,10,24,0.917,0.875,0.971,0.967,0.966,1.343
2,fullpred,2,01,57,0.579,0.491,0.768,0.709,0.790,18.086
3,fullpred,2,11,43,0.791,0.721,0.928,0.902,0.926,5.058
4,fullpred,2,aa,188,0.774,0.718,0.901,0.873,0.906,7.134
0,fullpred,5,00,40,0.895,0.775,0.970,0.940,0.959,1.519
1,fullpred,5,10,13,0.662,0.615,0.938,0.923,0.955,1.815
2,fullpred,5,01,65,0.514,0.400,0.679,0.511,0.678,29.420
3,fullpred,5,11,67,0.666,0.537,0.845,0.752,0.858,10.134
4,fullpred,5,aa,185,0.662,0.546,0.820,0.720,0.824,14.463
0,fullpred,10,00,9,0.767,0.444,0.962,0.956,0.890,4.909
1,fullpred,10,10,6,0.717,0.667,0.990,0.967,0.930,3.934
2,fullpred,10,01,67,0.488,0.299,0.619,0.397,0.614,38.596
3,fullpred,10,11,88,0.548,0.420,0.738,0.618,0.767,16.642
4,fullpred,10,aa,170,0.542,0.382,0.712,0.561,0.719,24.225
0,predtrack,2,00,64,0.914,0.906,0.986,0.981,0.979,0.622
1,predtrack,2,10,24,0.917,0.875,0.971,0.967,0.968,1.218
2,predtrack,2,01,57,0.877,0.877,0.853,0.821,0.849,10.452
3,predtrack,2,11,43,0.942,0.907,0.963,0.953,0.948,2.638
4,predtrack,2,aa,188,0.910,0.894,0.938,0.924,0.931,4.139
0,predtrack,5,00,40,0.975,0.975,0.999,1.000,0.970,1.015
1,predtrack,5,10,13,0.662,0.615,0.938,0.923,0.956,1.736
2,predtrack,5,01,65,0.757,0.615,0.802,0.680,0.785,15.371
3,predtrack,5,11,67,0.824,0.731,0.923,0.884,0.904,4.506
4,predtrack,5,aa,185,0.822,0.735,0.898,0.840,0.880,7.374
0,predtrack,10,00,9,0.889,0.889,0.996,0.978,0.921,3.121
1,predtrack,10,10,6,0.717,0.667,1.000,1.000,0.935,3.753
2,predtrack,10,01,67,0.739,0.522,0.763,0.573,0.752,19.811
3,predtrack,10,11,88,0.715,0.625,0.836,0.745,0.840,8.094
4,predtrack,10,aa,170,0.734,0.600,0.821,0.699,0.813,12.296
0,predpit,2,00,64,0.875,0.844,0.978,0.963,0.973,0.896
1,predpit,2,10,24,0.917,0.875,0.971,0.967,0.968,1.192
2,predpit,2,01,57,0.570,0.456,0.760,0.688,0.790,18.210
3,predpit,2,11,43,0.779,0.698,0.933,0.907,0.925,5.152
4,predpit,2,aa,188,0.766,0.697,0.901,0.867,0.906,7.156
0,predpit,5,00,40,0.880,0.800,0.978,0.955,0.960,1.461
1,predpit,5,10,13,0.662,0.615,0.938,0.923,0.955,1.741
2,predpit,5,01,65,0.508,0.338,0.686,0.517,0.680,29.153
3,predpit,5,11,67,0.657,0.537,0.847,0.755,0.855,10.402
4,predpit,5,aa,185,0.653,0.530,0.825,0.726,0.823,14.448
0,predpit,10,00,9,0.722,0.444,0.964,0.933,0.890,4.835
1,predpit,10,10,6,0.717,0.667,1.000,1.000,0.932,3.849
2,predpit,10,01,67,0.497,0.269,0.627,0.385,0.615,38.504
3,predpit,10,11,88,0.547,0.443,0.740,0.620,0.765,16.768
4,predpit,10,aa,170,0.542,0.382,0.717,0.558,0.718,24.247
