,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,64,0.914,0.906,0.991,0.984,0.975,0.756
1,fulloracle,2,10,24,0.917,0.875,0.971,0.967,0.955,1.838
2,fulloracle,2,01,57,0.711,0.632,0.800,0.737,0.807,14.659
3,fulloracle,2,11,43,0.930,0.884,0.951,0.935,0.925,4.440
4,fulloracle,2,aa,188,0.856,0.814,0.921,0.896,0.910,5.952
0,fulloracle,5,00,40,0.975,0.975,0.999,1.000,0.969,1.246
1,fulloracle,5,10,13,0.662,0.615,0.932,0.908,0.955,1.920
2,fulloracle,5,01,65,0.615,0.462,0.743,0.591,0.737,21.452
3,fulloracle,5,11,67,0.788,0.672,0.882,0.812,0.880,7.239
4,fulloracle,5,aa,185,0.759,0.659,0.862,0.782,0.854,10.563
0,fulloracle,10,00,9,0.889,0.889,0.991,0.956,0.916,3.521
1,fulloracle,10,10,6,0.717,0.667,1.000,1.000,0.932,3.914
2,fulloracle,10,01,67,0.697,0.507,0.752,0.555,0.724,22.766
3,fulloracle,10,11,88,0.680,0.614,0.817,0.732,0.825,9.953
4,fulloracle,10,aa,170,0.699,0.588,0.807,0.684,0.794,14.449
0,notracklap,2,00,64,0.906,0.891,0.986,0.975,0.971,1.020
1,notracklap,2,10,24,0.917,0.875,0.971,0.967,0.959,1.711
2,notracklap,2,01,57,0.675,0.596,0.798,0.740,0.804,14.803
3,notracklap,2,11,43,0.942,0.907,0.944,0.930,0.924,4.425
4,notracklap,2,aa,188,0.846,0.803,0.918,0.893,0.908,6.066
0,notracklap,5,00,40,0.975,0.975,0.999,1.000,0.968,1.274
1,notracklap,5,10,13,0.662,0.615,0.932,0.908,0.952,2.167
2,notracklap,5,01,65,0.606,0.462,0.739,0.582,0.736,21.558
3,notracklap,5,11,67,0.809,0.716,0.885,0.818,0.880,7.158
4,notracklap,5,aa,185,0.763,0.676,0.862,0.781,0.854,10.595
0,notracklap,10,00,9,0.889,0.889,0.996,0.956,0.915,3.622
1,notracklap,10,10,6,0.717,0.667,1.000,1.000,0.928,4.549
2,notracklap,10,01,67,0.697,0.507,0.752,0.561,0.722,23.132
3,notracklap,10,11,88,0.673,0.614,0.819,0.739,0.832,9.277
4,notracklap,10,aa,170,0.695,0.588,0.808,0.689,0.796,14.271
0,laponly,2,00,64,0.906,0.891,0.991,0.984,0.972,0.855
1,laponly,2,10,24,0.917,0.875,0.971,0.967,0.960,1.662
2,laponly,2,01,57,0.658,0.596,0.804,0.754,0.807,14.750
3,laponly,2,11,43,0.930,0.884,0.944,0.930,0.925,4.461
4,laponly,2,aa,188,0.838,0.798,0.921,0.900,0.910,5.996
0,laponly,5,00,40,0.975,0.975,1.000,1.000,0.969,1.284
1,laponly,5,10,13,0.662,0.615,0.935,0.908,0.953,1.956
2,laponly,5,01,65,0.591,0.385,0.743,0.588,0.737,21.341
3,laponly,5,11,67,0.806,0.716,0.885,0.818,0.880,7.091
4,laponly,5,aa,185,0.757,0.649,0.864,0.783,0.854,10.481
0,laponly,10,00,9,0.889,0.889,1.000,1.000,0.915,3.647
1,laponly,10,10,6,0.717,0.667,1.000,1.000,0.929,4.475
2,laponly,10,01,67,0.701,0.507,0.754,0.570,0.725,22.808
3,laponly,10,11,88,0.670,0.591,0.817,0.727,0.831,9.315
4,laponly,10,aa,170,0.696,0.576,0.808,0.689,0.797,14.162
0,trackonly,2,00,64,0.906,0.891,0.991,0.984,0.973,0.869
1,trackonly,2,10,24,0.917,0.875,0.971,0.967,0.959,1.691
2,trackonly,2,01,57,0.711,0.649,0.804,0.758,0.806,14.529
3,trackonly,2,11,43,0.953,0.930,0.947,0.930,0.924,4.561
4,trackonly,2,aa,188,0.859,0.824,0.921,0.901,0.909,5.960
0,trackonly,5,00,40,0.975,0.975,1.000,1.000,0.969,1.205
1,trackonly,5,10,13,0.662,0.615,0.938,0.923,0.955,1.862
2,trackonly,5,01,65,0.585,0.415,0.739,0.585,0.735,21.744
3,trackonly,5,11,67,0.812,0.701,0.887,0.821,0.878,7.358
4,trackonly,5,aa,185,0.757,0.654,0.863,0.784,0.853,10.696
0,trackonly,10,00,9,0.889,0.889,0.996,0.978,0.915,3.528
1,trackonly,10,10,6,0.717,0.667,1.000,1.000,0.931,4.115
2,trackonly,10,01,67,0.699,0.522,0.755,0.561,0.724,22.677
3,trackonly,10,11,88,0.677,0.602,0.820,0.732,0.826,9.870
4,trackonly,10,aa,170,0.698,0.588,0.810,0.687,0.794,14.379
0,fullpred,2,00,64,0.898,0.891,0.988,0.981,0.972,0.836
1,fullpred,2,10,24,0.917,0.875,0.971,0.967,0.958,1.711
2,fullpred,2,01,57,0.561,0.456,0.746,0.674,0.773,19.375
3,fullpred,2,11,43,0.779,0.698,0.921,0.893,0.916,5.697
4,fullpred,2,aa,188,0.771,0.713,0.897,0.866,0.897,7.680
0,fullpred,5,00,40,0.950,0.950,0.992,0.990,0.964,1.385
1,fullpred,5,10,13,0.662,0.615,0.938,0.923,0.952,2.075
2,fullpred,5,01,65,0.498,0.369,0.674,0.492,0.682,29.463
3,fullpred,5,11,67,0.642,0.493,0.847,0.761,0.854,10.505
4,fullpred,5,aa,185,0.659,0.557,0.824,0.728,0.824,14.602
0,fullpred,10,00,9,0.789,0.889,0.989,1.000,0.897,4.327
1,fullpred,10,10,6,0.717,0.667,1.000,1.000,0.927,4.544
2,fullpred,10,01,67,0.534,0.313,0.646,0.424,0.629,36.594
3,fullpred,10,11,88,0.551,0.477,0.748,0.643,0.776,15.788
4,fullpred,10,aa,170,0.563,0.441,0.729,0.588,0.730,22.985
0,predtrack,2,00,64,0.906,0.891,0.989,0.981,0.975,0.773
1,predtrack,2,10,24,0.917,0.875,0.971,0.967,0.960,1.655
