,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,64,0.914,0.906,0.989,0.984,0.974,0.788
1,fulloracle,2,10,24,0.917,0.875,0.971,0.967,0.958,1.747
2,fulloracle,2,01,57,0.763,0.684,0.826,0.772,0.813,13.772
3,fulloracle,2,11,43,0.930,0.907,0.951,0.940,0.926,4.229
4,fulloracle,2,aa,188,0.872,0.835,0.929,0.907,0.912,5.634
0,fulloracle,5,00,40,0.975,0.975,0.994,0.980,0.963,1.524
1,fulloracle,5,10,13,0.662,0.615,0.938,0.923,0.954,1.893
2,fulloracle,5,01,65,0.622,0.477,0.714,0.545,0.713,23.455
3,fulloracle,5,11,67,0.788,0.701,0.882,0.815,0.870,7.668
4,fulloracle,5,aa,185,0.761,0.676,0.851,0.763,0.841,11.480
0,fulloracle,10,00,9,0.856,0.778,0.998,0.978,0.903,4.286
1,fulloracle,10,10,6,0.717,0.667,1.000,1.000,0.927,4.562
2,fulloracle,10,01,67,0.722,0.567,0.757,0.552,0.714,23.612
3,fulloracle,10,11,88,0.695,0.659,0.818,0.743,0.821,10.196
4,fulloracle,10,aa,170,0.715,0.629,0.810,0.689,0.787,14.971
0,notracklap,2,00,64,0.914,0.906,0.988,0.978,0.974,0.837
1,notracklap,2,10,24,0.875,0.833,0.971,0.967,0.958,1.760
2,notracklap,2,01,57,0.772,0.754,0.816,0.761,0.813,13.699
3,notracklap,2,11,43,0.930,0.907,0.953,0.944,0.927,4.023
4,notracklap,2,aa,188,0.870,0.851,0.926,0.903,0.912,5.583
0,notracklap,5,00,40,0.975,0.975,0.994,0.990,0.962,1.584
1,notracklap,5,10,13,0.662,0.615,0.938,0.923,0.950,2.196
2,notracklap,5,01,65,0.606,0.385,0.707,0.532,0.714,23.334
3,notracklap,5,11,67,0.782,0.716,0.879,0.803,0.867,7.850
4,notracklap,5,aa,185,0.754,0.649,0.848,0.757,0.839,11.538
0,notracklap,10,00,9,0.856,0.778,1.000,1.000,0.903,4.352
1,notracklap,10,10,6,0.717,0.667,1.000,1.000,0.925,4.987
2,notracklap,10,01,67,0.724,0.552,0.758,0.558,0.719,23.122
3,notracklap,10,11,88,0.682,0.636,0.819,0.736,0.824,9.821
4,notracklap,10,aa,170,0.709,0.612,0.811,0.689,0.790,14.603
0,laponly,2,00,64,0.906,0.906,0.991,0.984,0.973,0.819
1,laponly,2,10,24,0.896,0.833,0.971,0.967,0.958,1.740
2,laponly,2,01,57,0.737,0.684,0.821,0.772,0.814,13.693
3,laponly,2,11,43,0.930,0.907,0.953,0.944,0.926,4.091
4,laponly,2,aa,188,0.859,0.830,0.928,0.909,0.912,5.588
0,laponly,5,00,40,0.975,0.975,0.995,0.975,0.963,1.513
1,laponly,5,10,13,0.646,0.538,0.938,0.923,0.947,2.397
2,laponly,5,01,65,0.582,0.431,0.714,0.551,0.712,23.488
3,laponly,5,11,67,0.791,0.701,0.882,0.806,0.869,7.732
