,model,prediction_length,halfmode,datamode,trainid,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse,top1acc_std,top1acc_farmost_std,top5acc_std,top5acc_farmost_std,tau_std,rmse_std
0,oracle,2,0,"MODE_ORACLE,",2018,0.830,0.787,0.919,0.896,0.932,3.770,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_ORACLE,",2018,0.729,0.589,0.874,0.814,0.901,6.275,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_ORACLE,",2018,0.625,0.447,0.834,0.773,0.857,9.503,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_ORACLE_TRACKONLY,MODE_ORACLE_LAPONLY,",2018,0.819,0.777,0.896,0.865,0.919,5.346,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_ORACLE_TRACKONLY,MODE_ORACLE_LAPONLY,",2018,0.744,0.595,0.859,0.791,0.880,8.426,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_ORACLE_TRACKONLY,MODE_ORACLE_LAPONLY,",2018,0.582,0.376,0.782,0.706,0.822,13.289,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_ORACLE_LAPONLY,",2018,0.838,0.798,0.914,0.886,0.935,3.577,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_ORACLE_LAPONLY,",2018,0.769,0.638,0.879,0.822,0.904,5.886,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_ORACLE_LAPONLY,",2018,0.614,0.412,0.842,0.774,0.870,7.810,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_ORACLE_TRACKONLY,",2018,0.809,0.750,0.893,0.861,0.914,5.664,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_ORACLE_TRACKONLY,",2018,0.704,0.546,0.850,0.782,0.875,8.923,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_ORACLE_TRACKONLY,",2018,0.591,0.400,0.778,0.698,0.814,14.324,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_PREDTRACK,MODE_PREDPIT,",2018,0.721,0.644,0.871,0.831,0.902,7.220,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_PREDTRACK,MODE_PREDPIT,",2018,0.554,0.400,0.805,0.716,0.844,13.178,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_PREDTRACK,MODE_PREDPIT,",2018,0.447,0.241,0.701,0.596,0.769,20.126,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_ORACLE_TRACKONLY,MODE_PREDTRACK,",2018,0.803,0.755,0.893,0.867,0.914,5.579,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_ORACLE_TRACKONLY,MODE_PREDTRACK,",2018,0.693,0.557,0.860,0.799,0.879,8.435,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_ORACLE_TRACKONLY,MODE_PREDTRACK,",2018,0.582,0.412,0.782,0.721,0.817,13.713,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_ORACLE_LAPONLY,MODE_PREDPIT,",2018,0.737,0.660,0.868,0.823,0.907,6.949,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_ORACLE_LAPONLY,MODE_PREDPIT,",2018,0.588,0.395,0.798,0.704,0.842,13.416,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_ORACLE_LAPONLY,MODE_PREDPIT,",2018,0.454,0.259,0.697,0.594,0.770,20.246,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_TESTCURTRACK,",2018,0.739,0.665,0.873,0.834,0.906,6.899,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_TESTCURTRACK,",2018,0.575,0.411,0.805,0.708,0.846,13.054,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_TESTCURTRACK,",2018,0.443,0.247,0.699,0.575,0.757,21.534,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_TESTZERO,",2018,0.715,0.654,0.870,0.836,0.905,6.819,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_TESTZERO,",2018,0.574,0.405,0.808,0.714,0.847,12.898,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_TESTZERO,",2018,0.449,0.247,0.702,0.584,0.769,20.259,0.000,0.000,0.000,0.000,0.000,0.000
0,deepAR,2,0,"MODE_ORACLE,",2018,0.694,0.612,0.865,0.830,0.894,7.552,0.000,0.000,0.000,0.000,0.000,0.000
1,deepAR,5,0,"MODE_ORACLE,",2018,0.587,0.449,0.792,0.701,0.822,14.423,0.000,0.000,0.000,0.000,0.000,0.000
2,deepAR,10,0,"MODE_ORACLE,",2018,0.464,0.294,0.694,0.586,0.729,22.709,0.000,0.000,0.000,0.000,0.000,0.000
0,naive,2,0,"MODE_ORACLE,",2018,0.790,0.734,0.896,0.865,0.928,6.466,0.000,0.000,0.000,0.000,0.000,0.000
1,naive,5,0,"MODE_ORACLE,",2018,0.666,0.519,0.816,0.723,0.869,12.423,0.000,0.000,0.000,0.000,0.000,0.000
2,naive,10,0,"MODE_ORACLE,",2018,0.498,0.288,0.725,0.624,0.794,19.434,0.000,0.000,0.000,0.000,0.000,0.000
0,zero,2,0,"MODE_ORACLE,",2018,0.112,0.112,0.174,0.174,0.061,133.676,0.000,0.000,0.000,0.000,0.000,0.000
1,zero,5,0,"MODE_ORACLE,",2018,0.114,0.114,0.174,0.174,0.061,133.793,0.000,0.000,0.000,0.000,0.000,0.000
2,zero,10,0,"MODE_ORACLE,",2018,0.124,0.124,0.172,0.172,0.056,134.422,0.000,0.000,0.000,0.000,0.000,0.000
