,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,98,0.837,0.806,0.985,0.980,0.978,0.748
1,fulloracle,2,10,3,0.667,0.333,1.000,1.000,0.920,3.118
2,fulloracle,2,01,48,0.792,0.729,0.894,0.871,0.913,6.001
3,fulloracle,2,11,39,0.846,0.769,0.813,0.764,0.876,6.087
4,fulloracle,2,aa,188,0.824,0.771,0.926,0.907,0.939,3.235
0,fulloracle,5,00,75,0.821,0.813,0.967,0.949,0.970,0.857
1,fulloracle,5,10,3,0.667,0.333,0.920,0.867,0.879,5.087
2,fulloracle,5,01,59,0.725,0.576,0.873,0.797,0.888,8.849
3,fulloracle,5,11,48,0.688,0.417,0.774,0.683,0.825,10.157
4,fulloracle,5,aa,185,0.754,0.627,0.886,0.830,0.905,5.888
0,fulloracle,10,00,35,0.737,0.829,0.922,0.880,0.938,2.075
1,fulloracle,10,10,3,0.433,0.333,0.900,0.867,0.856,6.531
2,fulloracle,10,01,69,0.700,0.522,0.836,0.762,0.876,10.064
3,fulloracle,10,11,63,0.557,0.270,0.779,0.698,0.786,14.696
4,fulloracle,10,aa,170,0.650,0.488,0.834,0.765,0.855,10.073
0,notracklap,2,00,98,0.842,0.847,0.978,0.969,0.977,0.860
1,notracklap,2,10,3,0.833,0.667,1.000,1.000,0.945,2.458
2,notracklap,2,01,48,0.521,0.375,0.773,0.700,0.834,15.778
3,notracklap,2,11,39,0.667,0.590,0.774,0.713,0.856,10.055
4,notracklap,2,aa,188,0.723,0.670,0.884,0.848,0.915,6.602
0,notracklap,5,00,75,0.824,0.733,0.963,0.941,0.967,0.997
1,notracklap,5,10,3,0.667,0.333,0.960,0.933,0.908,3.861
2,notracklap,5,01,59,0.488,0.305,0.745,0.614,0.784,22.024
3,notracklap,5,11,48,0.463,0.250,0.647,0.504,0.755,19.527
4,notracklap,5,aa,185,0.621,0.465,0.812,0.723,0.853,12.557
0,notracklap,10,00,35,0.737,0.743,0.887,0.846,0.926,2.841
1,notracklap,10,10,3,0.500,0.333,0.967,1.000,0.892,4.698
2,notracklap,10,01,69,0.483,0.261,0.726,0.583,0.768,23.898
3,notracklap,10,11,63,0.317,0.159,0.596,0.511,0.698,24.403
4,notracklap,10,aa,170,0.474,0.324,0.715,0.618,0.777,19.411
0,laponly,2,00,98,0.842,0.837,0.976,0.969,0.977,0.725
1,laponly,2,10,3,0.833,0.667,1.000,1.000,0.942,2.536
2,laponly,2,01,48,0.823,0.771,0.906,0.875,0.916,5.806
3,laponly,2,11,39,0.859,0.795,0.862,0.826,0.907,4.297
4,laponly,2,aa,188,0.840,0.809,0.935,0.916,0.947,2.792
0,laponly,5,00,75,0.837,0.760,0.964,0.947,0.969,0.877
1,laponly,5,10,3,0.667,0.333,0.960,0.933,0.904,4.120
2,laponly,5,01,59,0.753,0.627,0.872,0.786,0.888,8.871
3,laponly,5,11,48,0.721,0.500,0.824,0.721,0.862,7.394
4,laponly,5,aa,185,0.777,0.643,0.898,0.837,0.914,5.170
0,laponly,10,00,35,0.711,0.714,0.901,0.851,0.930,2.568
1,laponly,10,10,3,0.500,0.333,0.973,1.000,0.887,4.863
2,laponly,10,01,69,0.699,0.478,0.833,0.757,0.876,10.179
3,laponly,10,11,63,0.568,0.222,0.806,0.724,0.840,9.030
4,laponly,10,aa,170,0.649,0.429,0.840,0.768,0.874,8.092
0,trackonly,2,00,98,0.842,0.827,0.980,0.971,0.977,0.920
1,trackonly,2,10,3,0.667,0.333,1.000,1.000,0.918,3.357
2,trackonly,2,01,48,0.521,0.375,0.773,0.700,0.835,15.763
3,trackonly,2,11,39,0.628,0.538,0.759,0.692,0.829,10.925
4,trackonly,2,aa,188,0.713,0.644,0.881,0.845,0.909,6.824
0,trackonly,5,00,75,0.813,0.787,0.969,0.949,0.971,0.826
1,trackonly,5,10,3,0.733,0.667,0.920,0.867,0.879,5.337
2,trackonly,5,01,59,0.475,0.271,0.744,0.614,0.783,22.171
3,trackonly,5,11,48,0.442,0.250,0.615,0.467,0.716,22.227
4,trackonly,5,aa,185,0.608,0.481,0.805,0.716,0.843,13.259
0,trackonly,10,00,35,0.740,0.829,0.918,0.880,0.936,2.051
1,trackonly,10,10,3,0.433,0.333,0.893,0.800,0.853,6.637
2,trackonly,10,01,69,0.484,0.261,0.706,0.562,0.768,23.803
3,trackonly,10,11,63,0.302,0.159,0.597,0.511,0.671,27.229
4,trackonly,10,aa,170,0.468,0.341,0.712,0.613,0.768,20.291
0,fullpred,2,00,98,0.867,0.867,0.979,0.967,0.977,0.820
1,fullpred,2,10,3,0.500,0.333,1.000,1.000,0.916,3.342
2,fullpred,2,01,48,0.500,0.354,0.771,0.696,0.831,15.897
3,fullpred,2,11,39,0.692,0.590,0.790,0.728,0.849,9.729
4,fullpred,2,aa,188,0.731,0.670,0.887,0.849,0.912,6.558
0,fullpred,5,00,75,0.816,0.773,0.966,0.949,0.969,1.015
1,fullpred,5,10,3,0.467,0.667,0.920,0.867,0.876,5.188
2,fullpred,5,01,59,0.478,0.288,0.736,0.593,0.778,22.759
3,fullpred,5,11,48,0.467,0.271,0.640,0.492,0.743,20.019
4,fullpred,5,aa,185,0.612,0.486,0.808,0.716,0.848,12.948
0,fullpred,10,00,35,0.754,0.829,0.914,0.874,0.937,2.186
1,fullpred,10,10,3,0.400,0.333,0.887,0.800,0.862,6.523
2,fullpred,10,01,69,0.510,0.319,0.712,0.586,0.769,23.584
3,fullpred,10,11,63,0.330,0.175,0.597,0.498,0.689,25.028
4,fullpred,10,aa,170,0.492,0.371,0.714,0.616,0.776,19.412
0,predtrack,2,00,98,0.852,0.847,0.982,0.976,0.977,0.878
1,predtrack,2,10,3,0.500,0.333,0.967,1.000,0.913,3.479
2,predtrack,2,01,48,0.510,0.375,0.771,0.696,0.835,15.730
3,predtrack,2,11,39,0.590,0.513,0.790,0.733,0.833,10.798
4,predtrack,2,aa,188,0.705,0.649,0.888,0.854,0.910,6.769
0,predtrack,5,00,75,0.808,0.773,0.969,0.957,0.971,0.806
1,predtrack,5,10,3,0.467,0.667,0.933,0.867,0.878,5.370
2,predtrack,5,01,59,0.471,0.271,0.742,0.610,0.783,22.067
3,predtrack,5,11,48,0.450,0.271,0.624,0.471,0.731,21.146
4,predtrack,5,aa,185,0.602,0.481,0.806,0.719,0.847,12.938
0,predtrack,10,00,35,0.749,0.829,0.921,0.880,0.937,2.040
1,predtrack,10,10,3,0.467,0.333,0.907,0.933,0.858,6.331
2,predtrack,10,01,69,0.491,0.261,0.711,0.565,0.768,23.831
3,predtrack,10,11,63,0.300,0.159,0.595,0.502,0.687,24.970
4,predtrack,10,aa,170,0.473,0.341,0.714,0.613,0.774,19.458
0,predpit,2,00,98,0.842,0.847,0.978,0.971,0.977,0.734
1,predpit,2,10,3,0.833,0.667,1.000,1.000,0.940,2.509
2,predpit,2,01,48,0.542,0.396,0.779,0.700,0.834,15.596
3,predpit,2,11,39,0.718,0.641,0.792,0.723,0.863,9.037
4,predpit,2,aa,188,0.739,0.686,0.889,0.851,0.916,6.279
0,predpit,5,00,75,0.835,0.747,0.961,0.936,0.967,1.086
1,predpit,5,10,3,0.667,0.333,0.960,0.933,0.910,3.841
2,predpit,5,01,59,0.515,0.305,0.742,0.600,0.783,22.015
3,predpit,5,11,48,0.500,0.292,0.657,0.508,0.756,19.339
4,predpit,5,aa,185,0.643,0.481,0.812,0.718,0.853,12.541
0,predpit,10,00,35,0.743,0.800,0.897,0.829,0.927,2.814
1,predpit,10,10,3,0.500,0.333,0.967,1.000,0.892,4.667
2,predpit,10,01,69,0.503,0.319,0.714,0.577,0.767,23.940
3,predpit,10,11,63,0.375,0.175,0.601,0.521,0.700,24.511
4,predpit,10,aa,170,0.505,0.365,0.714,0.615,0.777,19.462
0,curtrack,2,00,98,0.857,0.847,0.982,0.976,0.978,0.741
1,curtrack,2,10,3,0.833,0.667,0.967,0.933,0.918,3.293
2,curtrack,2,01,48,0.510,0.375,0.779,0.708,0.840,14.844
3,curtrack,2,11,39,0.679,0.590,0.764,0.703,0.844,9.903
4,curtrack,2,aa,188,0.731,0.670,0.885,0.850,0.914,6.283
0,curtrack,5,00,75,0.816,0.760,0.970,0.952,0.970,0.857
1,curtrack,5,10,3,0.667,0.333,0.907,0.867,0.881,5.041
2,curtrack,5,01,59,0.492,0.288,0.746,0.617,0.787,21.705
3,curtrack,5,11,48,0.475,0.229,0.640,0.496,0.744,19.400
4,curtrack,5,aa,185,0.622,0.465,0.812,0.725,0.852,12.385
0,curtrack,10,00,35,0.746,0.829,0.927,0.886,0.940,1.909
1,curtrack,10,10,3,0.533,0.333,0.960,1.000,0.851,6.661
2,curtrack,10,01,69,0.500,0.275,0.714,0.571,0.774,23.087
3,curtrack,10,11,63,0.338,0.190,0.596,0.511,0.675,26.574
4,curtrack,10,aa,170,0.491,0.359,0.718,0.621,0.773,19.729
0,zerotrack,2,00,98,0.857,0.857,0.981,0.976,0.977,0.781
1,zerotrack,2,10,3,0.500,0.333,0.967,1.000,0.918,3.203
2,zerotrack,2,01,48,0.521,0.417,0.775,0.700,0.840,14.893
3,zerotrack,2,11,39,0.679,0.615,0.800,0.723,0.850,9.373
4,zerotrack,2,aa,188,0.729,0.686,0.890,0.853,0.915,6.205
0,zerotrack,5,00,75,0.821,0.800,0.970,0.952,0.970,0.880
1,zerotrack,5,10,3,0.400,0.333,0.920,0.867,0.871,5.572
2,zerotrack,5,01,59,0.481,0.271,0.751,0.620,0.788,21.667
3,zerotrack,5,11,48,0.479,0.250,0.644,0.483,0.749,19.548
4,zerotrack,5,aa,185,0.617,0.481,0.814,0.723,0.853,12.429
0,zerotrack,10,00,35,0.751,0.829,0.916,0.874,0.939,2.110
1,zerotrack,10,10,3,0.433,0.333,0.893,0.867,0.859,6.465
2,zerotrack,10,01,69,0.497,0.275,0.717,0.577,0.775,23.088
3,zerotrack,10,11,63,0.316,0.190,0.602,0.514,0.699,23.903
4,zerotrack,10,aa,170,0.481,0.359,0.718,0.620,0.782,18.778
0,deepAR,2,00,98,0.847,0.816,0.969,0.959,0.960,1.370
1,deepAR,2,10,3,0.833,0.667,1.000,1.000,0.915,3.538
2,deepAR,2,01,48,0.542,0.396,0.758,0.692,0.804,17.794
3,deepAR,2,11,39,0.654,0.564,0.721,0.641,0.793,14.191
4,deepAR,2,aa,188,0.729,0.654,0.864,0.826,0.885,8.258
0,deepAR,5,00,75,0.776,0.747,0.941,0.893,0.935,2.073
1,deepAR,5,10,3,0.667,0.333,0.920,0.867,0.875,5.458
2,deepAR,5,01,59,0.461,0.220,0.708,0.559,0.733,26.056
3,deepAR,5,11,48,0.433,0.250,0.593,0.421,0.693,24.301
4,deepAR,5,aa,185,0.585,0.443,0.776,0.664,0.807,15.544
0,deepAR,10,00,35,0.771,0.743,0.910,0.857,0.879,5.569
1,deepAR,10,10,3,0.400,0.333,0.947,0.933,0.838,7.591
2,deepAR,10,01,69,0.422,0.203,0.693,0.548,0.726,26.701
3,deepAR,10,11,63,0.298,0.095,0.555,0.444,0.647,29.172
4,deepAR,10,aa,170,0.448,0.276,0.691,0.580,0.730,22.929
0,naive,2,00,98,0.944,0.939,0.984,0.980,0.988,0.596
1,naive,2,10,3,0.833,0.667,1.000,1.000,0.954,2.146
2,naive,2,01,48,0.573,0.438,0.790,0.721,0.842,15.937
3,naive,2,11,39,0.667,0.590,0.797,0.744,0.880,9.893
4,naive,2,aa,188,0.790,0.734,0.896,0.865,0.928,6.466
0,naive,5,00,75,0.941,0.920,0.972,0.957,0.985,0.382
1,naive,5,10,3,0.667,0.333,0.960,0.933,0.910,3.944
2,naive,5,01,59,0.488,0.237,0.745,0.597,0.794,22.463
3,naive,5,11,48,0.454,0.250,0.652,0.500,0.776,19.428
4,naive,5,aa,185,0.666,0.519,0.816,0.723,0.869,12.423
0,naive,10,00,35,0.866,0.829,0.946,0.903,0.970,0.794
1,naive,10,10,3,0.500,0.333,0.947,0.933,0.890,4.780
2,naive,10,01,69,0.487,0.203,0.716,0.562,0.775,24.801
3,naive,10,11,63,0.305,0.079,0.602,0.521,0.712,24.610
4,naive,10,aa,170,0.498,0.288,0.725,0.624,0.794,19.434
0,zero,2,00,98,0.138,0.143,0.202,0.202,0.082,129.438
1,zero,2,10,3,0.000,0.000,0.200,0.200,0.113,119.579
2,zero,2,01,48,0.156,0.146,0.148,0.146,0.019,145.813
3,zero,2,11,39,0.000,0.000,0.136,0.138,0.056,130.471
4,zero,2,aa,188,0.112,0.112,0.174,0.174,0.061,133.676
0,zero,5,00,75,0.157,0.173,0.205,0.205,0.086,128.355
1,zero,5,10,3,0.067,0.333,0.200,0.200,0.109,119.746
2,zero,5,01,59,0.132,0.119,0.157,0.153,0.028,144.819
3,zero,5,11,48,0.025,0.000,0.144,0.150,0.059,129.617
4,zero,5,aa,185,0.114,0.114,0.174,0.174,0.061,133.793
0,zero,10,00,35,0.211,0.229,0.211,0.211,0.081,127.948
1,zero,10,10,3,0.200,0.333,0.200,0.200,0.109,119.751
2,zero,10,01,69,0.114,0.101,0.164,0.159,0.034,143.908
3,zero,10,11,63,0.081,0.079,0.157,0.162,0.064,128.328
4,zero,10,aa,170,0.124,0.124,0.172,0.172,0.056,134.422
