,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,64,0.852,0.859,0.991,0.984,0.964,1.107
1,fulloracle,2,10,24,0.896,0.833,0.954,0.942,0.919,3.351
2,fulloracle,2,01,57,0.719,0.632,0.807,0.737,0.854,9.726
3,fulloracle,2,11,43,0.686,0.605,0.909,0.888,0.891,4.883
4,fulloracle,2,aa,188,0.779,0.729,0.912,0.882,0.908,4.870
0,fulloracle,5,00,40,0.850,0.800,1.000,1.000,0.966,1.151
1,fulloracle,5,10,13,0.785,0.846,0.945,0.938,0.932,3.103
2,fulloracle,5,01,65,0.615,0.492,0.780,0.640,0.838,10.623
3,fulloracle,5,11,67,0.782,0.687,0.893,0.833,0.882,5.271
4,fulloracle,5,aa,185,0.738,0.654,0.880,0.809,0.888,6.108
0,fulloracle,10,00,9,0.422,0.333,1.000,1.000,0.898,4.353
1,fulloracle,10,10,6,0.717,0.667,0.977,0.867,0.917,4.918
2,fulloracle,10,01,67,0.633,0.403,0.773,0.582,0.816,12.542
3,fulloracle,10,11,88,0.710,0.591,0.806,0.739,0.836,7.860
4,fulloracle,10,aa,170,0.665,0.506,0.809,0.695,0.834,9.416
0,notracklap,2,00,64,0.875,0.859,0.963,0.938,0.942,4.698
1,notracklap,2,10,24,0.917,0.833,0.929,0.892,0.927,3.571
2,notracklap,2,01,57,0.535,0.439,0.747,0.681,0.782,18.453
3,notracklap,2,11,43,0.721,0.628,0.891,0.860,0.904,6.165
4,notracklap,2,aa,188,0.742,0.676,0.877,0.836,0.883,9.060
0,notracklap,5,00,40,0.855,0.800,0.976,0.970,0.948,3.005
1,notracklap,5,10,13,0.800,0.846,0.938,0.923,0.936,2.475
2,notracklap,5,01,65,0.458,0.308,0.680,0.514,0.690,28.235
3,notracklap,5,11,67,0.645,0.522,0.813,0.725,0.845,10.600
4,notracklap,5,aa,185,0.636,0.530,0.810,0.718,0.819,14.583
0,notracklap,10,00,9,0.533,0.444,0.922,0.933,0.809,19.839
1,notracklap,10,10,6,0.717,0.667,0.987,0.900,0.904,4.793
2,notracklap,10,01,67,0.494,0.254,0.655,0.418,0.633,36.195
3,notracklap,10,11,88,0.559,0.443,0.727,0.643,0.749,17.879
4,notracklap,10,aa,170,0.538,0.376,0.718,0.579,0.712,24.740
0,laponly,2,00,64,0.891,0.875,0.969,0.947,0.954,2.615
1,laponly,2,10,24,0.896,0.833,0.942,0.908,0.935,2.902
2,laponly,2,01,57,0.702,0.596,0.816,0.737,0.854,9.512
3,laponly,2,11,43,0.837,0.744,0.930,0.916,0.936,2.630
4,laponly,2,aa,188,0.822,0.755,0.910,0.871,0.917,4.746
0,laponly,5,00,40,0.860,0.800,0.985,0.975,0.962,1.569
1,laponly,5,10,13,0.800,0.846,0.932,0.923,0.942,2.163
2,laponly,5,01,65,0.622,0.492,0.784,0.652,0.839,10.536
3,laponly,5,11,67,0.791,0.687,0.902,0.848,0.918,3.210
4,laponly,5,aa,185,0.747,0.654,0.881,0.812,0.901,5.355
0,laponly,10,00,9,0.511,0.444,0.936,0.933,0.866,9.558
1,laponly,10,10,6,0.717,0.667,0.963,0.933,0.924,4.236
2,laponly,10,01,67,0.669,0.463,0.773,0.591,0.816,12.500
3,laponly,10,11,88,0.692,0.557,0.811,0.750,0.853,6.801
4,laponly,10,aa,170,0.674,0.518,0.808,0.704,0.842,9.103
0,trackonly,2,00,64,0.852,0.859,0.991,0.988,0.964,1.059
1,trackonly,2,10,24,0.854,0.792,0.954,0.942,0.922,3.288
2,trackonly,2,01,57,0.535,0.439,0.751,0.688,0.782,18.448
3,trackonly,2,11,43,0.616,0.488,0.893,0.870,0.878,6.683
4,trackonly,2,aa,188,0.702,0.638,0.891,0.864,0.884,7.902
0,trackonly,5,00,40,0.840,0.800,0.997,0.995,0.961,1.478
1,trackonly,5,10,13,0.815,0.846,0.935,0.938,0.933,3.224
2,trackonly,5,01,65,0.452,0.308,0.680,0.514,0.688,28.389
3,trackonly,5,11,67,0.648,0.522,0.821,0.737,0.827,11.185
4,trackonly,5,aa,185,0.632,0.530,0.818,0.729,0.814,14.571
0,trackonly,10,00,9,0.422,0.333,0.998,1.000,0.893,4.661
1,trackonly,10,10,6,0.717,0.667,0.957,0.900,0.895,6.287
2,trackonly,10,01,67,0.479,0.254,0.664,0.424,0.633,36.091
3,trackonly,10,11,88,0.594,0.489,0.740,0.666,0.749,16.675
4,trackonly,10,aa,170,0.544,0.394,0.731,0.596,0.716,23.325
0,fullpred,2,00,64,0.836,0.844,0.975,0.966,0.950,2.227
1,fullpred,2,10,24,0.938,0.917,0.950,0.942,0.932,2.736
2,fullpred,2,01,57,0.553,0.456,0.742,0.667,0.783,17.847
3,fullpred,2,11,43,0.628,0.512,0.884,0.860,0.871,6.989
4,fullpred,2,aa,188,0.715,0.660,0.880,0.848,0.879,8.117
0,fullpred,5,00,40,0.845,0.800,0.976,0.965,0.932,4.180
1,fullpred,5,10,13,0.754,0.692,0.935,0.938,0.933,3.332
2,fullpred,5,01,65,0.446,0.308,0.677,0.523,0.686,28.574
3,fullpred,5,11,67,0.624,0.463,0.816,0.719,0.834,10.713
4,fullpred,5,aa,185,0.618,0.497,0.810,0.719,0.810,15.057
0,fullpred,10,00,9,0.544,0.556,0.947,0.822,0.786,16.050
1,fullpred,10,10,6,0.717,0.667,0.960,0.867,0.923,4.857
2,fullpred,10,01,67,0.494,0.299,0.648,0.445,0.606,38.488
3,fullpred,10,11,88,0.595,0.511,0.723,0.630,0.751,17.242
4,fullpred,10,aa,170,0.557,0.435,0.714,0.575,0.702,25.115
0,predtrack,2,00,64,0.844,0.844,0.988,0.981,0.965,1.058
1,predtrack,2,10,24,0.958,0.917,0.954,0.942,0.938,2.743
2,predtrack,2,01,57,0.535,0.439,0.753,0.688,0.783,18.439
3,predtrack,2,11,43,0.663,0.535,0.891,0.865,0.877,6.796
4,predtrack,2,aa,188,0.723,0.660,0.890,0.861,0.886,7.855
0,predtrack,5,00,40,0.860,0.825,0.997,0.995,0.961,1.476
1,predtrack,5,10,13,0.769,0.769,0.932,0.938,0.936,2.960
2,predtrack,5,01,65,0.458,0.323,0.681,0.517,0.689,28.232
3,predtrack,5,11,67,0.609,0.448,0.819,0.734,0.833,10.830
4,predtrack,5,aa,185,0.622,0.508,0.817,0.729,0.817,14.369
0,predtrack,10,00,9,0.422,0.333,1.000,1.000,0.894,4.704
1,predtrack,10,10,6,0.717,0.667,0.957,0.900,0.896,6.487
2,predtrack,10,01,67,0.482,0.269,0.662,0.427,0.633,36.089
3,predtrack,10,11,88,0.598,0.477,0.740,0.664,0.757,16.777
4,predtrack,10,aa,170,0.547,0.394,0.731,0.596,0.721,23.386
0,predpit,2,00,64,0.836,0.812,0.950,0.925,0.938,4.166
1,predpit,2,10,24,0.917,0.833,0.938,0.900,0.932,3.101
2,predpit,2,01,57,0.553,0.474,0.737,0.660,0.778,18.217
3,predpit,2,11,43,0.733,0.628,0.884,0.847,0.899,6.223
4,predpit,2,aa,188,0.737,0.670,0.869,0.823,0.880,8.761
0,predpit,5,00,40,0.840,0.750,0.962,0.945,0.921,5.187
1,predpit,5,10,13,0.815,0.846,0.942,0.954,0.937,2.739
2,predpit,5,01,65,0.446,0.292,0.675,0.523,0.688,28.536
3,predpit,5,11,67,0.639,0.522,0.820,0.719,0.852,10.104
4,predpit,5,aa,185,0.627,0.514,0.808,0.716,0.815,14.999
0,predpit,10,00,9,0.544,0.667,0.873,0.822,0.749,21.733
1,predpit,10,10,6,0.717,0.667,0.953,0.867,0.923,4.501
2,predpit,10,01,67,0.488,0.343,0.640,0.433,0.607,38.483
3,predpit,10,11,88,0.573,0.443,0.719,0.618,0.750,17.506
4,predpit,10,aa,170,0.543,0.424,0.704,0.565,0.700,25.538
0,curtrack,2,00,64,0.844,0.844,0.991,0.984,0.964,1.125
1,curtrack,2,10,24,0.917,0.875,0.958,0.942,0.933,2.725
2,curtrack,2,01,57,0.561,0.456,0.749,0.670,0.786,17.415
3,curtrack,2,11,43,0.570,0.442,0.895,0.870,0.874,6.889
4,curtrack,2,aa,188,0.705,0.638,0.891,0.857,0.885,7.587
0,curtrack,5,00,40,0.880,0.850,0.998,0.995,0.965,1.222
1,curtrack,5,10,13,0.769,0.769,0.935,0.923,0.940,2.849
2,curtrack,5,01,65,0.465,0.323,0.686,0.526,0.701,27.111
3,curtrack,5,11,67,0.645,0.537,0.824,0.728,0.842,10.304
4,curtrack,5,aa,185,0.641,0.546,0.821,0.729,0.826,13.722
0,curtrack,10,00,9,0.411,0.333,0.998,1.000,0.891,5.000
1,curtrack,10,10,6,0.717,0.667,0.963,0.833,0.912,6.251
2,curtrack,10,01,67,0.488,0.254,0.666,0.424,0.635,35.661
3,curtrack,10,11,88,0.557,0.432,0.736,0.645,0.758,16.763
4,curtrack,10,aa,170,0.528,0.365,0.730,0.584,0.722,23.217
0,zerotrack,2,00,64,0.859,0.859,0.984,0.978,0.964,1.091
1,zerotrack,2,10,24,0.854,0.875,0.950,0.942,0.937,2.167
2,zerotrack,2,01,57,0.561,0.456,0.742,0.663,0.787,17.464
3,zerotrack,2,11,43,0.674,0.558,0.872,0.865,0.859,7.987
4,zerotrack,2,aa,188,0.726,0.670,0.881,0.852,0.883,7.770
0,zerotrack,5,00,40,0.840,0.800,1.000,1.000,0.966,1.154
1,zerotrack,5,10,13,0.769,0.769,0.957,0.954,0.945,2.033
2,zerotrack,5,01,65,0.452,0.308,0.684,0.520,0.701,27.124
3,zerotrack,5,11,67,0.591,0.463,0.814,0.737,0.829,11.303
4,zerotrack,5,aa,185,0.609,0.503,0.819,0.733,0.822,14.016
0,zerotrack,10,00,9,0.433,0.333,1.000,1.000,0.899,4.385
1,zerotrack,10,10,6,0.717,0.667,0.987,0.900,0.925,4.310
2,zerotrack,10,01,67,0.488,0.269,0.666,0.424,0.635,35.646
3,zerotrack,10,11,88,0.595,0.466,0.742,0.673,0.762,16.358
4,zerotrack,10,aa,170,0.549,0.388,0.734,0.600,0.725,22.900
0,deepAR,2,00,64,0.539,0.516,0.980,0.966,0.919,3.090
1,deepAR,2,10,24,0.833,0.750,0.933,0.917,0.880,5.537
2,deepAR,2,01,57,0.439,0.351,0.723,0.642,0.721,22.008
3,deepAR,2,11,43,0.581,0.488,0.874,0.823,0.835,9.382
4,deepAR,2,aa,188,0.556,0.489,0.872,0.829,0.835,10.577
0,deepAR,5,00,40,0.820,0.775,0.985,0.975,0.932,2.666
1,deepAR,5,10,13,0.785,0.846,0.935,0.908,0.928,3.264
2,deepAR,5,01,65,0.397,0.292,0.666,0.505,0.672,28.598
3,deepAR,5,11,67,0.585,0.418,0.816,0.710,0.820,11.580
4,deepAR,5,aa,185,0.584,0.481,0.808,0.709,0.800,15.048
0,deepAR,10,00,9,0.389,0.333,0.993,0.978,0.824,10.129
1,deepAR,10,10,6,0.717,0.667,0.953,0.933,0.872,8.291
2,deepAR,10,01,67,0.460,0.194,0.659,0.406,0.591,38.530
3,deepAR,10,11,88,0.515,0.261,0.698,0.559,0.688,21.863
4,deepAR,10,aa,170,0.494,0.253,0.707,0.534,0.663,27.332
0,naive,2,00,64,0.906,0.891,0.991,0.984,0.983,0.534
1,naive,2,10,24,0.917,0.875,0.971,0.967,0.969,1.268
2,naive,2,01,57,0.570,0.456,0.758,0.695,0.800,18.154
3,naive,2,11,43,0.791,0.721,0.919,0.893,0.928,5.402
4,naive,2,aa,188,0.779,0.718,0.901,0.873,0.913,7.083
0,naive,5,00,40,0.975,0.975,1.000,1.000,0.975,1.005
1,naive,5,10,13,0.662,0.615,0.938,0.923,0.958,1.607
2,naive,5,01,65,0.486,0.308,0.686,0.514,0.701,28.397
3,naive,5,11,67,0.660,0.522,0.843,0.758,0.866,10.037
4,naive,5,aa,185,0.667,0.551,0.828,0.736,0.838,13.943
0,naive,10,00,9,0.889,0.889,1.000,1.000,0.921,3.741
1,naive,10,10,6,0.717,0.667,1.000,1.000,0.941,3.260
2,naive,10,01,67,0.507,0.254,0.645,0.388,0.636,37.330
3,naive,10,11,88,0.550,0.455,0.744,0.636,0.779,16.305
4,naive,10,aa,170,0.557,0.406,0.728,0.571,0.736,23.466
0,zero,2,00,64,0.000,0.000,0.106,0.106,-0.194,170.053
1,zero,2,10,24,0.000,0.000,0.175,0.175,-0.119,149.835
2,zero,2,01,57,0.018,0.018,0.135,0.137,-0.052,136.900
3,zero,2,11,43,0.047,0.047,0.140,0.135,-0.060,132.149
4,zero,2,aa,188,0.016,0.016,0.131,0.131,-0.111,148.751
0,zero,5,00,40,0.000,0.000,0.090,0.090,-0.218,179.428
1,zero,5,10,13,0.000,0.000,0.138,0.138,-0.244,184.211
2,zero,5,01,65,0.015,0.015,0.122,0.132,-0.068,140.454
3,zero,5,11,67,0.030,0.030,0.165,0.149,-0.057,130.721
4,zero,5,aa,185,0.016,0.016,0.132,0.130,-0.109,148.431
0,zero,10,00,9,0.000,0.000,0.000,0.000,-0.224,185.056
1,zero,10,10,6,0.000,0.000,0.133,0.133,-0.304,199.634
2,zero,10,01,67,0.015,0.015,0.102,0.137,-0.103,151.873
3,zero,10,11,88,0.031,0.023,0.157,0.125,-0.068,132.699
4,zero,10,aa,170,0.022,0.018,0.126,0.124,-0.098,145.390
