,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,64,0.898,0.906,0.984,0.978,0.973,0.720
1,fulloracle,2,10,24,0.958,0.917,0.950,0.933,0.941,1.879
2,fulloracle,2,01,57,0.789,0.702,0.839,0.793,0.880,7.563
3,fulloracle,2,11,43,0.872,0.837,0.923,0.898,0.932,2.346
4,fulloracle,2,aa,188,0.867,0.830,0.922,0.898,0.931,3.314
0,fulloracle,5,00,40,0.930,0.875,0.993,0.990,0.958,1.503
1,fulloracle,5,10,13,0.785,0.769,0.938,0.908,0.940,2.107
2,fulloracle,5,01,65,0.720,0.600,0.800,0.698,0.844,10.564
3,fulloracle,5,11,67,0.842,0.746,0.869,0.788,0.892,4.405
4,fulloracle,5,aa,185,0.814,0.724,0.877,0.809,0.892,5.780
0,fulloracle,10,00,9,0.556,0.222,0.996,0.978,0.903,3.815
1,fulloracle,10,10,6,0.717,0.667,0.983,0.900,0.927,3.632
2,fulloracle,10,01,67,0.709,0.478,0.786,0.648,0.805,14.131
3,fulloracle,10,11,88,0.750,0.614,0.802,0.720,0.834,7.346
4,fulloracle,10,aa,170,0.722,0.541,0.813,0.712,0.830,9.702
0,notracklap,2,00,64,0.891,0.891,0.981,0.972,0.963,1.853
1,notracklap,2,10,24,0.917,0.875,0.942,0.917,0.935,3.021
2,notracklap,2,01,57,0.746,0.684,0.802,0.740,0.820,13.426
3,notracklap,2,11,43,0.953,0.930,0.942,0.926,0.945,2.316
4,notracklap,2,aa,188,0.864,0.835,0.913,0.884,0.912,5.617
0,notracklap,5,00,40,0.925,0.875,0.981,0.965,0.954,2.228
1,notracklap,5,10,13,0.708,0.692,0.926,0.892,0.925,4.059
2,notracklap,5,01,65,0.680,0.569,0.760,0.637,0.770,18.135
3,notracklap,5,11,67,0.806,0.672,0.875,0.815,0.893,4.457
4,notracklap,5,aa,185,0.781,0.681,0.861,0.790,0.865,8.753
0,notracklap,10,00,9,0.578,0.222,0.960,0.956,0.895,4.426
1,notracklap,10,10,6,0.717,0.667,0.980,0.933,0.935,2.809
2,notracklap,10,01,67,0.673,0.418,0.736,0.537,0.701,26.309
3,notracklap,10,11,88,0.703,0.580,0.810,0.732,0.822,9.342
4,notracklap,10,aa,170,0.685,0.500,0.795,0.674,0.782,15.538
0,laponly,2,00,64,0.898,0.906,0.980,0.969,0.963,1.863
1,laponly,2,10,24,0.896,0.833,0.929,0.917,0.938,2.763
2,laponly,2,01,57,0.781,0.702,0.830,0.772,0.869,8.350
3,laponly,2,11,43,0.942,0.907,0.947,0.926,0.955,1.404
4,laponly,2,aa,188,0.872,0.835,0.920,0.893,0.930,3.840
0,laponly,5,00,40,0.930,0.875,0.982,0.965,0.957,2.134
1,laponly,5,10,13,0.708,0.692,0.923,0.877,0.923,4.404
2,laponly,5,01,65,0.717,0.600,0.788,0.674,0.828,12.224
3,laponly,5,11,67,0.815,0.687,0.879,0.827,0.918,2.738
