,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,98,0.786,0.724,0.968,0.963,0.976,0.890
1,fulloracle,2,10,3,0.500,0.333,0.933,0.933,0.916,3.711
2,fulloracle,2,01,48,0.656,0.583,0.817,0.742,0.867,10.489
3,fulloracle,2,11,39,0.731,0.667,0.756,0.708,0.850,8.249
4,fulloracle,2,aa,188,0.737,0.670,0.885,0.853,0.921,4.912
0,fulloracle,5,00,75,0.651,0.560,0.940,0.915,0.965,1.190
1,fulloracle,5,10,3,0.533,0.667,0.893,0.867,0.863,5.800
2,fulloracle,5,01,59,0.603,0.390,0.787,0.681,0.861,10.862
3,fulloracle,5,11,48,0.492,0.229,0.696,0.600,0.806,11.735
4,fulloracle,5,aa,185,0.592,0.422,0.827,0.758,0.889,7.085
0,fulloracle,10,00,35,0.720,0.771,0.936,0.897,0.946,1.578
1,fulloracle,10,10,3,0.433,0.333,0.887,0.867,0.858,6.165
2,fulloracle,10,01,69,0.596,0.391,0.799,0.739,0.853,11.471
3,fulloracle,10,11,63,0.386,0.206,0.706,0.676,0.785,13.883
4,fulloracle,10,aa,170,0.541,0.400,0.794,0.751,0.847,10.234
0,notracklap,2,00,98,0.781,0.724,0.967,0.959,0.976,0.920
1,notracklap,2,10,3,0.833,0.667,0.967,0.933,0.949,2.248
2,notracklap,2,01,48,0.656,0.604,0.821,0.742,0.846,12.970
3,notracklap,2,11,39,0.782,0.692,0.769,0.713,0.871,7.786
4,notracklap,2,aa,188,0.750,0.686,0.889,0.852,0.920,5.442
0,notracklap,5,00,75,0.661,0.573,0.943,0.915,0.967,0.893
1,notracklap,5,10,3,0.667,0.333,0.907,0.867,0.898,4.414
2,notracklap,5,01,59,0.569,0.356,0.793,0.681,0.838,13.831
3,notracklap,5,11,48,0.546,0.312,0.685,0.596,0.814,12.034
4,notracklap,5,aa,185,0.602,0.432,0.828,0.757,0.885,7.967
0,notracklap,10,00,35,0.749,0.743,0.920,0.874,0.945,1.590
1,notracklap,10,10,3,0.500,0.333,0.880,0.867,0.871,5.650
2,notracklap,10,01,69,0.578,0.435,0.772,0.672,0.808,17.826
3,notracklap,10,11,63,0.392,0.222,0.664,0.606,0.759,16.569
4,notracklap,10,aa,170,0.543,0.418,0.764,0.693,0.819,13.802
0,laponly,2,00,98,0.791,0.745,0.963,0.953,0.976,0.868
1,laponly,2,10,3,0.833,0.667,0.967,0.933,0.944,2.442
2,laponly,2,01,48,0.667,0.583,0.821,0.742,0.869,10.153
3,laponly,2,11,39,0.833,0.744,0.772,0.703,0.883,6.370
4,laponly,2,aa,188,0.769,0.702,0.887,0.847,0.929,4.405
0,laponly,5,00,75,0.661,0.547,0.940,0.904,0.966,0.925
1,laponly,5,10,3,0.667,0.333,0.893,0.867,0.902,4.219
2,laponly,5,01,59,0.603,0.390,0.797,0.695,0.862,10.575
3,laponly,5,11,48,0.562,0.312,0.704,0.604,0.835,9.633
4,laponly,5,aa,185,0.617,0.432,0.833,0.759,0.898,6.315
0,laponly,10,00,35,0.723,0.743,0.919,0.869,0.943,1.664
1,laponly,10,10,3,0.500,0.333,0.887,0.867,0.873,5.562
2,laponly,10,01,69,0.586,0.391,0.797,0.745,0.852,11.601
3,laponly,10,11,63,0.397,0.190,0.725,0.695,0.805,11.658
4,laponly,10,aa,170,0.542,0.388,0.797,0.754,0.854,9.470
0,trackonly,2,00,98,0.770,0.714,0.966,0.961,0.976,0.919
1,trackonly,2,10,3,0.667,0.333,0.900,0.867,0.910,3.717
2,trackonly,2,01,48,0.667,0.604,0.819,0.738,0.846,13.038
3,trackonly,2,11,39,0.692,0.615,0.744,0.703,0.827,10.335
4,trackonly,2,aa,188,0.726,0.660,0.881,0.849,0.911,6.011
0,trackonly,5,00,75,0.661,0.573,0.938,0.912,0.964,1.203
1,trackonly,5,10,3,0.533,0.667,0.893,0.867,0.874,5.500
2,trackonly,5,01,59,0.573,0.305,0.793,0.681,0.838,14.021
3,trackonly,5,11,48,0.454,0.188,0.667,0.558,0.780,14.648
4,trackonly,5,aa,185,0.577,0.389,0.821,0.746,0.874,8.849
0,trackonly,10,00,35,0.757,0.800,0.936,0.891,0.947,1.515
1,trackonly,10,10,3,0.433,0.333,0.887,0.867,0.866,5.796
2,trackonly,10,01,69,0.572,0.420,0.768,0.678,0.808,17.862
3,trackonly,10,11,63,0.389,0.222,0.645,0.600,0.738,18.817
4,trackonly,10,aa,170,0.540,0.424,0.759,0.696,0.812,14.637
0,fullpred,2,00,98,0.750,0.663,0.969,0.963,0.975,0.890
1,fullpred,2,10,3,0.667,0.667,0.900,0.933,0.894,3.949
2,fullpred,2,01,48,0.438,0.312,0.758,0.675,0.815,17.010
3,fullpred,2,11,39,0.603,0.538,0.715,0.656,0.820,11.288
4,fullpred,2,aa,188,0.638,0.548,0.862,0.826,0.901,7.212
0,fullpred,5,00,75,0.653,0.573,0.934,0.907,0.961,1.477
1,fullpred,5,10,3,0.467,0.667,0.880,0.867,0.869,5.284
2,fullpred,5,01,59,0.424,0.186,0.719,0.580,0.775,22.179
3,fullpred,5,11,48,0.396,0.208,0.612,0.479,0.745,18.903
4,fullpred,5,aa,185,0.510,0.357,0.781,0.691,0.844,12.663
0,fullpred,10,00,35,0.714,0.714,0.927,0.869,0.939,1.993
1,fullpred,10,10,3,0.433,0.333,0.880,0.867,0.852,6.538
2,fullpred,10,01,69,0.436,0.188,0.692,0.559,0.757,24.398
3,fullpred,10,11,63,0.205,0.048,0.597,0.552,0.688,24.133
