,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,64,0.891,0.891,0.981,0.978,0.955,1.263
1,fulloracle,2,10,24,0.875,0.792,0.950,0.925,0.914,3.479
2,fulloracle,2,01,57,0.746,0.614,0.809,0.730,0.848,9.709
3,fulloracle,2,11,43,0.907,0.860,0.923,0.893,0.896,4.570
4,fulloracle,2,aa,188,0.848,0.787,0.912,0.877,0.904,4.863
0,fulloracle,5,00,40,0.950,0.950,0.995,0.990,0.932,2.496
1,fulloracle,5,10,13,0.677,0.615,0.914,0.908,0.905,4.294
2,fulloracle,5,01,65,0.649,0.523,0.764,0.625,0.801,12.646
3,fulloracle,5,11,67,0.731,0.642,0.851,0.752,0.841,7.973
4,fulloracle,5,aa,185,0.746,0.665,0.856,0.770,0.851,8.172
0,fulloracle,10,00,9,0.467,0.222,1.000,1.000,0.874,4.905
1,fulloracle,10,10,6,0.800,0.833,0.990,0.933,0.904,5.236
2,fulloracle,10,01,67,0.625,0.388,0.767,0.573,0.769,15.506
3,fulloracle,10,11,88,0.560,0.398,0.775,0.702,0.768,13.787
4,fulloracle,10,aa,170,0.589,0.400,0.791,0.675,0.778,13.693
0,notracklap,2,00,64,0.891,0.875,0.973,0.963,0.954,1.690
1,notracklap,2,10,24,0.958,0.917,0.963,0.950,0.948,1.777
2,notracklap,2,01,57,0.711,0.596,0.798,0.719,0.839,10.855
3,notracklap,2,11,43,0.884,0.837,0.921,0.902,0.937,2.597
4,notracklap,2,aa,188,0.843,0.787,0.907,0.873,0.915,4.687
0,notracklap,5,00,40,0.925,0.900,0.994,0.985,0.934,2.455
1,notracklap,5,10,13,0.662,0.692,0.938,0.923,0.927,2.900
2,notracklap,5,01,65,0.631,0.492,0.764,0.631,0.786,14.445
3,notracklap,5,11,67,0.797,0.716,0.881,0.815,0.894,4.365
4,notracklap,5,aa,185,0.757,0.676,0.868,0.795,0.867,7.391
0,notracklap,10,00,9,0.367,0.222,0.996,1.000,0.869,5.755
1,notracklap,10,10,6,0.717,0.667,1.000,1.000,0.919,3.571
2,notracklap,10,01,67,0.627,0.343,0.757,0.549,0.719,21.165
3,notracklap,10,11,88,0.632,0.455,0.803,0.743,0.825,8.336
4,notracklap,10,aa,170,0.619,0.406,0.802,0.689,0.789,13.087
0,laponly,2,00,64,0.891,0.891,0.975,0.966,0.953,1.731
1,laponly,2,10,24,0.958,0.917,0.963,0.950,0.948,1.831
2,laponly,2,01,57,0.737,0.649,0.805,0.719,0.852,9.433
3,laponly,2,11,43,0.895,0.837,0.926,0.907,0.935,2.592
4,laponly,2,aa,188,0.854,0.809,0.911,0.876,0.918,4.276
0,laponly,5,00,40,0.925,0.900,0.996,0.990,0.933,2.615
1,laponly,5,10,13,0.662,0.692,0.932,0.908,0.923,3.138
2,laponly,5,01,65,0.646,0.508,0.766,0.628,0.802,12.680
3,laponly,5,11,67,0.779,0.701,0.869,0.794,0.891,4.558
4,laponly,5,aa,185,0.756,0.676,0.864,0.786,0.871,6.892
0,laponly,10,00,9,0.378,0.222,0.993,0.978,0.866,5.737
1,laponly,10,10,6,0.717,0.667,0.987,0.967,0.917,3.800
2,laponly,10,01,67,0.636,0.373,0.770,0.576,0.769,15.544
3,laponly,10,11,88,0.632,0.477,0.801,0.734,0.839,7.208
4,laponly,10,aa,170,0.623,0.429,0.806,0.693,0.816,10.295
0,trackonly,2,00,64,0.898,0.906,0.983,0.981,0.957,1.200
1,trackonly,2,10,24,0.875,0.792,0.946,0.925,0.922,3.121
2,trackonly,2,01,57,0.737,0.632,0.807,0.730,0.836,10.908
3,trackonly,2,11,43,0.907,0.860,0.923,0.898,0.897,4.271
4,trackonly,2,aa,188,0.848,0.798,0.911,0.879,0.902,5.091
0,trackonly,5,00,40,0.935,0.925,0.998,0.990,0.935,2.293
1,trackonly,5,10,13,0.662,0.615,0.920,0.908,0.906,4.179
2,trackonly,5,01,65,0.634,0.477,0.763,0.634,0.784,14.508
3,trackonly,5,11,67,0.770,0.687,0.860,0.776,0.854,6.748
4,trackonly,5,aa,185,0.750,0.659,0.860,0.782,0.851,8.331
0,trackonly,10,00,9,0.556,0.222,1.000,1.000,0.867,5.752
1,trackonly,10,10,6,0.800,0.833,0.987,0.933,0.903,5.271
2,trackonly,10,01,67,0.616,0.343,0.755,0.552,0.716,21.428
3,trackonly,10,11,88,0.560,0.386,0.777,0.705,0.739,16.842
4,trackonly,10,aa,170,0.591,0.376,0.787,0.668,0.742,17.654
0,fullpred,2,00,64,0.812,0.812,0.955,0.950,0.940,2.534
1,fullpred,2,10,24,0.896,0.833,0.958,0.958,0.926,2.778
2,fullpred,2,01,57,0.570,0.474,0.726,0.635,0.770,18.360
3,fullpred,2,11,43,0.779,0.698,0.872,0.828,0.869,7.180
4,fullpred,2,aa,188,0.742,0.686,0.867,0.828,0.870,8.426
0,fullpred,5,00,40,0.895,0.850,0.965,0.950,0.894,6.202
1,fullpred,5,10,13,0.738,0.692,0.938,0.938,0.913,3.747
2,fullpred,5,01,65,0.477,0.354,0.673,0.514,0.661,29.683
3,fullpred,5,11,67,0.627,0.478,0.797,0.684,0.801,12.546
4,fullpred,5,aa,185,0.640,0.530,0.800,0.699,0.780,16.577
0,fullpred,10,00,9,0.578,0.667,0.956,0.933,0.798,13.844
1,fullpred,10,10,6,0.700,0.667,0.950,0.867,0.898,4.911
2,fullpred,10,01,67,0.461,0.239,0.648,0.421,0.587,38.940
3,fullpred,10,11,88,0.491,0.375,0.706,0.577,0.703,20.534
4,fullpred,10,aa,170,0.491,0.347,0.705,0.545,0.669,26.882
0,predtrack,2,00,64,0.891,0.891,0.988,0.988,0.956,1.198
1,predtrack,2,10,24,0.896,0.833,0.950,0.942,0.932,2.596
2,predtrack,2,01,57,0.728,0.596,0.809,0.737,0.836,10.971
3,predtrack,2,11,43,0.919,0.884,0.926,0.902,0.898,4.144
4,predtrack,2,aa,188,0.848,0.793,0.914,0.886,0.903,5.014
0,predtrack,5,00,40,0.940,0.950,1.000,1.000,0.934,2.370
1,predtrack,5,10,13,0.723,0.692,0.914,0.892,0.914,3.998
2,predtrack,5,01,65,0.625,0.492,0.766,0.628,0.786,14.278
3,predtrack,5,11,67,0.767,0.657,0.875,0.815,0.870,5.704
4,predtrack,5,aa,185,0.751,0.665,0.866,0.795,0.857,7.876
0,predtrack,10,00,9,0.467,0.222,1.000,1.000,0.866,5.762
1,predtrack,10,10,6,0.750,0.667,1.000,1.000,0.903,5.221
2,predtrack,10,01,67,0.627,0.373,0.755,0.549,0.714,21.521
3,predtrack,10,11,88,0.567,0.432,0.797,0.743,0.793,10.937
4,predtrack,10,aa,170,0.592,0.406,0.798,0.689,0.770,14.632
0,predpit,2,00,64,0.836,0.828,0.959,0.947,0.936,3.255
1,predpit,2,10,24,0.958,0.917,0.958,0.942,0.946,2.019
2,predpit,2,01,57,0.570,0.491,0.725,0.635,0.774,18.137
3,predpit,2,11,43,0.744,0.628,0.881,0.842,0.904,5.763
4,predpit,2,aa,188,0.750,0.691,0.870,0.828,0.881,8.183
0,predpit,5,00,40,0.855,0.800,0.955,0.950,0.889,6.939
1,predpit,5,10,13,0.708,0.769,0.938,0.923,0.919,3.926
2,predpit,5,01,65,0.483,0.323,0.673,0.514,0.660,29.953
3,predpit,5,11,67,0.633,0.507,0.808,0.701,0.824,11.517
4,predpit,5,aa,185,0.634,0.524,0.802,0.705,0.787,16.471
0,predpit,10,00,9,0.378,0.222,0.920,0.844,0.764,17.332
1,predpit,10,10,6,0.717,0.667,0.953,0.867,0.909,4.155
2,predpit,10,01,67,0.472,0.269,0.648,0.418,0.588,38.905
3,predpit,10,11,88,0.553,0.409,0.713,0.591,0.736,17.782
