,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,64,0.867,0.859,0.986,0.981,0.961,1.077
1,fulloracle,2,10,24,0.896,0.875,0.946,0.917,0.904,4.226
2,fulloracle,2,01,57,0.684,0.596,0.777,0.695,0.832,11.771
3,fulloracle,2,11,43,0.767,0.698,0.914,0.893,0.884,5.580
4,fulloracle,2,aa,188,0.793,0.745,0.901,0.866,0.897,5.751
0,fulloracle,5,00,40,0.875,0.825,0.995,0.990,0.947,1.838
1,fulloracle,5,10,13,0.769,0.846,0.929,0.908,0.915,3.838
2,fulloracle,5,01,65,0.569,0.415,0.756,0.618,0.810,12.644
3,fulloracle,5,11,67,0.785,0.701,0.869,0.797,0.852,7.301
4,fulloracle,5,aa,185,0.728,0.638,0.861,0.784,0.862,7.754
0,fulloracle,10,00,9,0.411,0.222,1.000,1.000,0.886,4.763
1,fulloracle,10,10,6,0.717,0.667,0.967,0.967,0.905,6.366
2,fulloracle,10,01,67,0.645,0.358,0.773,0.582,0.806,12.373
3,fulloracle,10,11,88,0.662,0.500,0.780,0.682,0.803,9.821
4,fulloracle,10,aa,170,0.644,0.435,0.796,0.669,0.812,10.437
0,notracklap,2,00,64,0.844,0.797,0.978,0.963,0.957,2.172
1,notracklap,2,10,24,0.875,0.833,0.971,0.950,0.939,2.497
2,notracklap,2,01,57,0.518,0.404,0.751,0.677,0.783,18.257
3,notracklap,2,11,43,0.709,0.605,0.898,0.865,0.907,5.822
4,notracklap,2,aa,188,0.718,0.638,0.890,0.852,0.890,7.925
0,notracklap,5,00,40,0.895,0.800,0.984,0.980,0.944,2.201
1,notracklap,5,10,13,0.662,0.615,0.929,0.908,0.923,3.235
2,notracklap,5,01,65,0.465,0.308,0.668,0.508,0.690,27.813
3,notracklap,5,11,67,0.648,0.507,0.826,0.737,0.843,10.616
4,notracklap,5,aa,185,0.638,0.508,0.812,0.721,0.817,14.320
0,notracklap,10,00,9,0.556,0.333,1.000,1.000,0.880,5.639
1,notracklap,10,10,6,0.717,0.667,1.000,1.000,0.906,4.444
2,notracklap,10,01,67,0.501,0.269,0.657,0.397,0.630,35.750
3,notracklap,10,11,88,0.559,0.420,0.738,0.634,0.756,16.865
4,notracklap,10,aa,170,0.542,0.365,0.729,0.573,0.718,23.275
0,laponly,2,00,64,0.844,0.812,0.975,0.959,0.959,1.439
1,laponly,2,10,24,0.896,0.875,0.983,0.975,0.942,1.995
2,laponly,2,01,57,0.684,0.579,0.791,0.709,0.833,11.655
3,laponly,2,11,43,0.837,0.744,0.942,0.930,0.934,2.670
4,laponly,2,aa,188,0.801,0.734,0.913,0.879,0.913,4.889
0,laponly,5,00,40,0.895,0.800,0.986,0.985,0.947,1.963
1,laponly,5,10,13,0.662,0.692,0.917,0.877,0.925,3.212
2,laponly,5,01,65,0.572,0.400,0.750,0.612,0.810,12.629
3,laponly,5,11,67,0.791,0.687,0.882,0.812,0.900,4.299
4,laponly,5,aa,185,0.728,0.611,0.860,0.784,0.880,6.644
0,laponly,10,00,9,0.567,0.333,1.000,1.000,0.880,5.379
1,laponly,10,10,6,0.717,0.667,1.000,1.000,0.921,4.367
2,laponly,10,01,67,0.669,0.403,0.775,0.588,0.808,12.114
3,laponly,10,11,88,0.674,0.557,0.830,0.750,0.855,6.056
4,laponly,10,aa,170,0.668,0.488,0.823,0.708,0.840,8.348
0,trackonly,2,00,64,0.875,0.875,0.986,0.981,0.964,1.025
1,trackonly,2,10,24,0.896,0.875,0.946,0.925,0.911,3.763
2,trackonly,2,01,57,0.518,0.404,0.754,0.681,0.783,18.248
3,trackonly,2,11,43,0.709,0.605,0.884,0.847,0.866,7.489
4,trackonly,2,aa,188,0.731,0.670,0.887,0.852,0.880,8.075
0,trackonly,5,00,40,0.895,0.850,0.995,0.985,0.945,1.977
1,trackonly,5,10,13,0.754,0.769,0.932,0.923,0.914,4.037
2,trackonly,5,01,65,0.446,0.308,0.672,0.514,0.688,27.948
3,trackonly,5,11,67,0.630,0.493,0.821,0.731,0.809,12.228
4,trackonly,5,aa,185,0.631,0.524,0.814,0.723,0.803,14.959
0,trackonly,10,00,9,0.422,0.222,1.000,1.000,0.881,5.443
1,trackonly,10,10,6,0.717,0.667,0.953,0.900,0.884,7.480
2,trackonly,10,01,67,0.478,0.254,0.660,0.397,0.628,35.819
3,trackonly,10,11,88,0.556,0.364,0.707,0.582,0.714,19.409
4,trackonly,10,aa,170,0.524,0.324,0.713,0.542,0.695,24.716
0,fullpred,2,00,64,0.844,0.844,0.963,0.950,0.948,1.998
1,fullpred,2,10,24,0.917,0.917,0.963,0.942,0.929,2.812
2,fullpred,2,01,57,0.526,0.421,0.737,0.656,0.777,18.117
3,fullpred,2,11,43,0.709,0.605,0.874,0.837,0.869,7.273
4,fullpred,2,aa,188,0.726,0.670,0.874,0.834,0.876,8.196
0,fullpred,5,00,40,0.830,0.750,0.977,0.960,0.914,4.975
1,fullpred,5,10,13,0.692,0.692,0.945,0.923,0.922,3.213
2,fullpred,5,01,65,0.443,0.323,0.673,0.511,0.677,28.969
3,fullpred,5,11,67,0.624,0.448,0.819,0.731,0.818,11.559
4,fullpred,5,aa,185,0.610,0.486,0.811,0.717,0.796,15.666
0,fullpred,10,00,9,0.467,0.556,0.920,0.844,0.749,20.229
1,fullpred,10,10,6,0.717,0.667,0.967,0.967,0.908,6.238
2,fullpred,10,01,67,0.500,0.343,0.647,0.418,0.607,37.718
3,fullpred,10,11,88,0.578,0.409,0.705,0.573,0.732,17.931
4,fullpred,10,aa,170,0.546,0.400,0.703,0.540,0.690,25.439
0,predtrack,2,00,64,0.867,0.859,0.986,0.981,0.964,1.017
1,predtrack,2,10,24,0.917,0.917,0.954,0.942,0.936,2.553
2,predtrack,2,01,57,0.518,0.404,0.754,0.684,0.783,18.240
3,predtrack,2,11,43,0.698,0.605,0.877,0.847,0.867,7.397
4,predtrack,2,aa,188,0.729,0.670,0.887,0.855,0.883,7.894
0,predtrack,5,00,40,0.870,0.800,0.999,0.995,0.944,2.004
1,predtrack,5,10,13,0.692,0.615,0.932,0.923,0.925,3.326
2,predtrack,5,01,65,0.443,0.308,0.673,0.508,0.689,27.909
