,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,98,0.765,0.694,0.971,0.961,0.976,0.758
1,fulloracle,2,10,3,0.667,0.333,0.967,0.933,0.912,3.305
2,fulloracle,2,01,48,0.802,0.750,0.875,0.842,0.902,6.847
3,fulloracle,2,11,39,0.833,0.718,0.805,0.749,0.864,6.949
4,fulloracle,2,aa,188,0.787,0.707,0.912,0.886,0.933,3.638
0,fulloracle,5,00,75,0.909,0.853,0.958,0.939,0.968,0.974
1,fulloracle,5,10,3,0.600,0.333,0.893,0.867,0.867,5.686
2,fulloracle,5,01,59,0.722,0.593,0.862,0.783,0.890,8.513
3,fulloracle,5,11,48,0.725,0.542,0.760,0.662,0.815,10.817
4,fulloracle,5,aa,185,0.797,0.681,0.875,0.816,0.902,6.009
0,fulloracle,10,00,35,0.731,0.657,0.943,0.897,0.937,2.099
1,fulloracle,10,10,3,0.433,0.333,0.900,0.933,0.869,5.724
2,fulloracle,10,01,69,0.600,0.464,0.828,0.742,0.859,11.920
3,fulloracle,10,11,63,0.502,0.222,0.710,0.590,0.771,15.771
4,fulloracle,10,aa,170,0.588,0.412,0.809,0.721,0.843,11.216
0,notracklap,2,00,98,0.776,0.694,0.970,0.957,0.974,0.917
1,notracklap,2,10,3,0.833,0.667,1.000,1.000,0.937,2.788
2,notracklap,2,01,48,0.802,0.771,0.883,0.850,0.900,6.898
3,notracklap,2,11,39,0.846,0.795,0.859,0.810,0.894,5.007
4,notracklap,2,aa,188,0.798,0.734,0.926,0.900,0.938,3.323
0,notracklap,5,00,75,0.848,0.773,0.945,0.909,0.961,1.421
1,notracklap,5,10,3,0.667,0.333,0.907,0.867,0.897,4.409
2,notracklap,5,01,59,0.753,0.593,0.872,0.803,0.889,8.576
3,notracklap,5,11,48,0.688,0.417,0.807,0.713,0.855,7.835
4,notracklap,5,aa,185,0.773,0.616,0.885,0.824,0.910,5.415
0,notracklap,10,00,35,0.697,0.600,0.908,0.863,0.915,3.479
1,notracklap,10,10,3,0.500,0.333,0.927,1.000,0.875,5.267
2,notracklap,10,01,69,0.590,0.435,0.823,0.728,0.858,12.053
3,notracklap,10,11,63,0.546,0.238,0.763,0.660,0.805,12.071
4,notracklap,10,aa,170,0.594,0.394,0.820,0.735,0.850,10.175
0,laponly,2,00,98,0.781,0.704,0.967,0.959,0.974,0.881
1,laponly,2,10,3,0.833,0.667,1.000,1.000,0.930,2.914
2,laponly,2,01,48,0.802,0.750,0.883,0.842,0.900,6.851
3,laponly,2,11,39,0.859,0.795,0.838,0.790,0.890,5.413
4,laponly,2,aa,188,0.803,0.734,0.920,0.895,0.937,3.378
0,laponly,5,00,75,0.856,0.800,0.939,0.909,0.961,1.478
1,laponly,5,10,3,0.667,0.333,0.907,0.867,0.897,4.403
2,laponly,5,01,59,0.739,0.610,0.875,0.810,0.891,8.414
3,laponly,5,11,48,0.692,0.417,0.809,0.717,0.853,7.908
4,laponly,5,aa,185,0.773,0.632,0.884,0.827,0.910,5.406
0,laponly,10,00,35,0.683,0.600,0.905,0.863,0.916,3.376
1,laponly,10,10,3,0.500,0.333,0.920,0.933,0.875,5.270
2,laponly,10,01,69,0.590,0.406,0.820,0.722,0.857,12.313
3,laponly,10,11,63,0.530,0.238,0.759,0.660,0.804,12.215
4,laponly,10,aa,170,0.585,0.382,0.817,0.732,0.850,10.312
0,trackonly,2,00,98,0.770,0.694,0.974,0.967,0.976,0.783
1,trackonly,2,10,3,0.833,0.667,0.967,0.933,0.913,3.076
2,trackonly,2,01,48,0.812,0.750,0.879,0.842,0.903,6.561
3,trackonly,2,11,39,0.846,0.744,0.803,0.738,0.866,6.826
4,trackonly,2,aa,188,0.798,0.718,0.914,0.887,0.934,3.549
0,trackonly,5,00,75,0.899,0.853,0.954,0.933,0.967,1.015
1,trackonly,5,10,3,0.533,0.333,0.893,0.867,0.873,5.652
2,trackonly,5,01,59,0.736,0.593,0.865,0.793,0.890,8.377
3,trackonly,5,11,48,0.729,0.521,0.758,0.646,0.815,10.913
4,trackonly,5,aa,185,0.797,0.676,0.874,0.813,0.902,6.006
0,trackonly,10,00,35,0.760,0.657,0.946,0.903,0.938,2.008
1,trackonly,10,10,3,0.367,0.333,0.900,0.933,0.865,5.697
2,trackonly,10,01,69,0.583,0.449,0.828,0.745,0.859,11.973
3,trackonly,10,11,63,0.500,0.190,0.712,0.600,0.772,15.429
4,trackonly,10,aa,170,0.585,0.394,0.811,0.727,0.843,11.091
0,fullpred,2,00,98,0.760,0.653,0.970,0.959,0.975,0.854
1,fullpred,2,10,3,0.500,0.333,0.900,0.933,0.916,2.856
2,fullpred,2,01,48,0.500,0.354,0.738,0.658,0.820,16.615
3,fullpred,2,11,39,0.628,0.564,0.777,0.713,0.834,10.441
4,fullpred,2,aa,188,0.662,0.553,0.870,0.831,0.905,6.899
0,fullpred,5,00,75,0.885,0.853,0.959,0.933,0.965,1.126
1,fullpred,5,10,3,0.333,0.333,0.893,0.867,0.864,5.783
2,fullpred,5,01,59,0.414,0.169,0.726,0.580,0.776,23.017
3,fullpred,5,11,48,0.438,0.208,0.614,0.458,0.733,20.819
4,fullpred,5,aa,185,0.610,0.459,0.794,0.696,0.843,13.293
0,fullpred,10,00,35,0.760,0.714,0.946,0.914,0.930,2.552
1,fullpred,10,10,3,0.467,0.333,0.887,0.867,0.861,6.218
2,fullpred,10,01,69,0.430,0.188,0.710,0.568,0.760,24.128
3,fullpred,10,11,63,0.284,0.079,0.579,0.505,0.686,25.018
4,fullpred,10,aa,170,0.445,0.259,0.713,0.621,0.769,19.700
0,predtrack,2,00,98,0.765,0.694,0.974,0.965,0.977,0.735
1,predtrack,2,10,3,0.500,0.333,0.900,0.933,0.917,3.226
2,predtrack,2,01,48,0.823,0.771,0.877,0.846,0.903,6.543
3,predtrack,2,11,39,0.744,0.667,0.831,0.790,0.868,6.730
4,predtrack,2,aa,188,0.771,0.702,0.919,0.898,0.935,3.501
0,predtrack,5,00,75,0.901,0.840,0.954,0.939,0.967,0.966
1,predtrack,5,10,3,0.333,0.333,0.893,0.867,0.879,5.238
2,predtrack,5,01,59,0.719,0.559,0.865,0.797,0.889,8.523
3,predtrack,5,11,48,0.650,0.438,0.777,0.671,0.831,9.398
4,predtrack,5,aa,185,0.769,0.638,0.879,0.823,0.906,5.633
0,predtrack,10,00,35,0.723,0.629,0.945,0.897,0.937,2.119
1,predtrack,10,10,3,0.467,0.333,0.907,0.933,0.859,6.072
2,predtrack,10,01,69,0.587,0.435,0.826,0.736,0.858,12.088
3,predtrack,10,11,63,0.519,0.270,0.749,0.651,0.798,11.929
4,predtrack,10,aa,170,0.588,0.412,0.823,0.741,0.852,9.871
0,predpit,2,00,98,0.755,0.653,0.965,0.955,0.972,0.989
1,predpit,2,10,3,0.833,0.667,1.000,1.000,0.934,2.777
2,predpit,2,01,48,0.469,0.312,0.750,0.667,0.822,16.326
3,predpit,2,11,39,0.718,0.641,0.792,0.728,0.852,9.594
4,predpit,2,aa,188,0.676,0.564,0.875,0.835,0.908,6.718
0,predpit,5,00,75,0.840,0.733,0.942,0.901,0.956,1.715
1,predpit,5,10,3,0.667,0.333,0.907,0.867,0.897,4.376
2,predpit,5,01,59,0.414,0.169,0.731,0.576,0.776,22.886
3,predpit,5,11,48,0.463,0.250,0.634,0.471,0.752,19.837
4,predpit,5,aa,185,0.603,0.422,0.794,0.685,0.845,13.212
0,predpit,10,00,35,0.697,0.657,0.899,0.846,0.903,4.301
1,predpit,10,10,3,0.500,0.333,0.913,0.933,0.872,5.483
2,predpit,10,01,69,0.448,0.290,0.710,0.577,0.759,24.328
3,predpit,10,11,63,0.297,0.063,0.584,0.521,0.687,25.525
4,predpit,10,aa,170,0.444,0.282,0.706,0.618,0.764,20.316
0,curtrack,2,00,98,0.781,0.714,0.973,0.963,0.976,0.808
1,curtrack,2,10,3,0.833,0.667,0.967,0.933,0.910,3.450
2,curtrack,2,01,48,0.469,0.333,0.756,0.679,0.832,15.390
3,curtrack,2,11,39,0.679,0.590,0.764,0.687,0.834,10.459
4,curtrack,2,aa,188,0.681,0.590,0.874,0.833,0.909,6.575
0,curtrack,5,00,75,0.907,0.867,0.956,0.928,0.967,0.976
1,curtrack,5,10,3,0.600,0.333,0.893,0.867,0.864,6.295
2,curtrack,5,01,59,0.414,0.186,0.742,0.603,0.783,22.215
3,curtrack,5,11,48,0.483,0.250,0.605,0.425,0.733,20.734
4,curtrack,5,aa,185,0.635,0.481,0.796,0.693,0.846,12.962
0,curtrack,10,00,35,0.743,0.686,0.940,0.897,0.938,2.058
1,curtrack,10,10,3,0.367,0.333,0.880,0.867,0.854,6.204
2,curtrack,10,01,69,0.441,0.232,0.716,0.554,0.763,23.965
3,curtrack,10,11,63,0.252,0.048,0.556,0.448,0.661,28.040
4,curtrack,10,aa,170,0.432,0.259,0.705,0.591,0.763,20.652
0,zerotrack,2,00,98,0.770,0.684,0.973,0.965,0.976,0.785
1,zerotrack,2,10,3,0.500,0.333,0.900,0.933,0.912,3.356
2,zerotrack,2,01,48,0.490,0.354,0.756,0.675,0.831,15.485
3,zerotrack,2,11,39,0.590,0.538,0.754,0.697,0.834,10.503
4,zerotrack,2,aa,188,0.657,0.564,0.871,0.835,0.908,6.595
0,zerotrack,5,00,75,0.899,0.840,0.957,0.933,0.968,0.985
1,zerotrack,5,10,3,0.333,0.333,0.893,0.867,0.871,5.628
2,zerotrack,5,01,59,0.410,0.169,0.746,0.610,0.784,22.075
3,zerotrack,5,11,48,0.425,0.229,0.625,0.463,0.740,20.007
4,zerotrack,5,aa,185,0.611,0.459,0.803,0.707,0.848,12.722
0,zerotrack,10,00,35,0.763,0.657,0.946,0.897,0.936,2.232
1,zerotrack,10,10,3,0.467,0.333,0.893,0.867,0.860,6.023
2,zerotrack,10,01,69,0.432,0.246,0.715,0.554,0.764,23.963
3,zerotrack,10,11,63,0.259,0.079,0.591,0.502,0.690,24.472
4,zerotrack,10,aa,170,0.436,0.271,0.720,0.611,0.774,19.361
0,deepAR,2,00,98,0.837,0.806,0.967,0.957,0.965,1.156
1,deepAR,2,10,3,0.833,0.667,1.000,1.000,0.931,2.873
2,deepAR,2,01,48,0.500,0.312,0.750,0.675,0.806,17.613
3,deepAR,2,11,39,0.641,0.564,0.751,0.697,0.818,11.758
4,deepAR,2,aa,188,0.710,0.628,0.868,0.832,0.893,7.584
0,deepAR,5,00,75,0.851,0.827,0.955,0.931,0.937,2.053
1,deepAR,5,10,3,0.667,0.333,0.933,0.867,0.885,5.001
2,deepAR,5,01,59,0.478,0.237,0.717,0.583,0.750,24.187
3,deepAR,5,11,48,0.421,0.250,0.602,0.433,0.707,22.170
4,deepAR,5,aa,185,0.617,0.481,0.787,0.690,0.817,14.379
0,deepAR,10,00,35,0.711,0.743,0.896,0.834,0.886,5.313
1,deepAR,10,10,3,0.467,0.333,0.887,0.867,0.831,8.496
2,deepAR,10,01,69,0.470,0.217,0.697,0.539,0.723,26.645
3,deepAR,10,11,63,0.317,0.111,0.569,0.492,0.659,27.310
4,deepAR,10,aa,170,0.463,0.288,0.694,0.588,0.735,22.179
0,naive,2,00,98,0.944,0.939,0.984,0.980,0.988,0.596
1,naive,2,10,3,0.833,0.667,1.000,1.000,0.954,2.146
2,naive,2,01,48,0.573,0.438,0.790,0.721,0.842,15.937
3,naive,2,11,39,0.667,0.590,0.797,0.744,0.880,9.893
4,naive,2,aa,188,0.790,0.734,0.896,0.865,0.928,6.466
0,naive,5,00,75,0.941,0.920,0.972,0.957,0.985,0.382
1,naive,5,10,3,0.667,0.333,0.960,0.933,0.910,3.944
2,naive,5,01,59,0.488,0.237,0.745,0.597,0.794,22.463
3,naive,5,11,48,0.454,0.250,0.652,0.500,0.776,19.428
4,naive,5,aa,185,0.666,0.519,0.816,0.723,0.869,12.423
0,naive,10,00,35,0.866,0.829,0.946,0.903,0.970,0.794
1,naive,10,10,3,0.500,0.333,0.947,0.933,0.890,4.780
2,naive,10,01,69,0.487,0.203,0.716,0.562,0.775,24.801
3,naive,10,11,63,0.305,0.079,0.602,0.521,0.712,24.610
4,naive,10,aa,170,0.498,0.288,0.725,0.624,0.794,19.434
0,zero,2,00,98,0.138,0.143,0.202,0.202,0.082,129.438
1,zero,2,10,3,0.000,0.000,0.200,0.200,0.113,119.579
2,zero,2,01,48,0.156,0.146,0.148,0.146,0.019,145.813
3,zero,2,11,39,0.000,0.000,0.136,0.138,0.056,130.471
4,zero,2,aa,188,0.112,0.112,0.174,0.174,0.061,133.676
0,zero,5,00,75,0.157,0.173,0.205,0.205,0.086,128.355
1,zero,5,10,3,0.067,0.333,0.200,0.200,0.109,119.746
2,zero,5,01,59,0.132,0.119,0.157,0.153,0.028,144.819
3,zero,5,11,48,0.025,0.000,0.144,0.150,0.059,129.617
4,zero,5,aa,185,0.114,0.114,0.174,0.174,0.061,133.793
0,zero,10,00,35,0.211,0.229,0.211,0.211,0.081,127.948
1,zero,10,10,3,0.200,0.333,0.200,0.200,0.109,119.751
2,zero,10,01,69,0.114,0.101,0.164,0.159,0.034,143.908
3,zero,10,11,63,0.081,0.079,0.157,0.162,0.064,128.328
4,zero,10,aa,170,0.124,0.124,0.172,0.172,0.056,134.422
