,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,64,0.859,0.828,0.980,0.972,0.963,1.103
1,fulloracle,2,10,24,0.875,0.875,0.929,0.883,0.906,4.065
2,fulloracle,2,01,57,0.737,0.632,0.782,0.684,0.829,11.852
3,fulloracle,2,11,43,0.721,0.628,0.907,0.870,0.882,5.189
4,fulloracle,2,aa,188,0.793,0.729,0.897,0.850,0.897,5.675
0,fulloracle,5,00,40,0.895,0.825,1.000,1.000,0.962,1.229
1,fulloracle,5,10,13,0.754,0.769,0.932,0.908,0.932,2.889
2,fulloracle,5,01,65,0.646,0.538,0.769,0.634,0.789,15.081
3,fulloracle,5,11,67,0.737,0.642,0.873,0.809,0.862,6.688
4,fulloracle,5,aa,185,0.741,0.654,0.868,0.796,0.863,8.190
0,fulloracle,10,00,9,0.822,0.667,0.991,0.956,0.912,3.457
1,fulloracle,10,10,6,0.867,0.833,0.990,0.933,0.922,4.139
2,fulloracle,10,01,67,0.645,0.358,0.781,0.597,0.785,16.478
3,fulloracle,10,11,88,0.636,0.466,0.790,0.718,0.832,7.969
4,fulloracle,10,aa,170,0.658,0.447,0.804,0.691,0.821,10.948
0,notracklap,2,00,64,0.875,0.828,0.972,0.956,0.955,2.466
1,notracklap,2,10,24,0.938,0.875,0.925,0.900,0.929,3.625
2,notracklap,2,01,57,0.746,0.649,0.798,0.705,0.834,11.350
3,notracklap,2,11,43,0.802,0.674,0.921,0.898,0.931,2.865
4,notracklap,2,aa,188,0.827,0.745,0.902,0.860,0.910,5.399
0,notracklap,5,00,40,0.915,0.850,0.996,0.995,0.963,1.354
1,notracklap,5,10,13,0.754,0.769,0.938,0.923,0.949,1.530
2,notracklap,5,01,65,0.655,0.508,0.768,0.631,0.793,14.951
3,notracklap,5,11,67,0.758,0.642,0.888,0.836,0.906,3.854
4,notracklap,5,aa,185,0.756,0.649,0.873,0.804,0.882,7.049
0,notracklap,10,00,9,0.478,0.333,0.993,0.978,0.891,5.304
1,notracklap,10,10,6,0.717,0.667,0.980,0.933,0.933,2.968
2,notracklap,10,01,67,0.639,0.373,0.776,0.606,0.782,16.804
3,notracklap,10,11,88,0.674,0.625,0.814,0.757,0.857,6.325
4,notracklap,10,aa,170,0.651,0.512,0.814,0.715,0.832,10.283
0,laponly,2,00,64,0.875,0.828,0.970,0.953,0.956,2.381
1,laponly,2,10,24,0.938,0.875,0.925,0.900,0.933,3.317
2,laponly,2,01,57,0.719,0.614,0.800,0.709,0.834,11.328
3,laponly,2,11,43,0.802,0.674,0.919,0.893,0.929,2.848
4,laponly,2,aa,188,0.819,0.734,0.901,0.859,0.910,5.320
0,laponly,5,00,40,0.925,0.850,0.993,0.990,0.963,1.304
1,laponly,5,10,13,0.754,0.769,0.938,0.923,0.947,1.688
2,laponly,5,01,65,0.618,0.492,0.770,0.634,0.794,14.922
3,laponly,5,11,67,0.749,0.612,0.885,0.830,0.906,3.923
4,laponly,5,aa,185,0.742,0.632,0.872,0.802,0.882,7.064
0,laponly,10,00,9,0.456,0.333,0.993,0.978,0.894,4.980
1,laponly,10,10,6,0.717,0.667,0.987,0.967,0.936,2.824
2,laponly,10,01,67,0.636,0.358,0.775,0.609,0.783,16.680
3,laponly,10,11,88,0.674,0.625,0.815,0.755,0.857,6.399
4,laponly,10,aa,170,0.649,0.506,0.814,0.716,0.832,10.249
0,trackonly,2,00,64,0.867,0.844,0.983,0.978,0.962,1.172
1,trackonly,2,10,24,0.854,0.833,0.925,0.900,0.906,4.136
2,trackonly,2,01,57,0.719,0.632,0.800,0.709,0.833,11.540
3,trackonly,2,11,43,0.744,0.651,0.902,0.874,0.881,5.359
4,trackonly,2,aa,188,0.793,0.734,0.902,0.863,0.897,5.652
0,trackonly,5,00,40,0.900,0.825,1.000,1.000,0.963,1.218
1,trackonly,5,10,13,0.769,0.769,0.926,0.908,0.935,2.818
2,trackonly,5,01,65,0.637,0.462,0.765,0.637,0.790,15.189
3,trackonly,5,11,67,0.752,0.672,0.873,0.806,0.863,6.594
4,trackonly,5,aa,185,0.745,0.638,0.866,0.796,0.864,8.186
0,trackonly,10,00,9,0.789,0.333,1.000,1.000,0.907,3.642
1,trackonly,10,10,6,0.883,1.000,0.983,0.900,0.920,4.461
2,trackonly,10,01,67,0.630,0.343,0.782,0.606,0.786,16.357
3,trackonly,10,11,88,0.620,0.443,0.797,0.739,0.832,7.941
