,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,98,0.857,0.847,0.972,0.971,0.971,1.004
1,fulloracle,2,10,3,0.833,0.667,0.900,0.867,0.881,4.974
2,fulloracle,2,01,48,0.708,0.604,0.831,0.762,0.877,9.051
3,fulloracle,2,11,39,0.756,0.641,0.746,0.687,0.841,8.706
4,fulloracle,2,aa,188,0.798,0.739,0.888,0.857,0.919,4.720
0,fulloracle,5,00,75,0.605,0.573,0.931,0.899,0.945,1.955
1,fulloracle,5,10,3,0.400,0.333,0.880,0.867,0.871,5.611
2,fulloracle,5,01,59,0.580,0.373,0.776,0.658,0.839,13.040
3,fulloracle,5,11,48,0.408,0.146,0.618,0.529,0.772,14.484
4,fulloracle,5,aa,185,0.543,0.395,0.799,0.725,0.865,8.800
0,fulloracle,10,00,35,0.674,0.629,0.887,0.840,0.894,3.953
1,fulloracle,10,10,3,0.500,0.333,0.867,0.867,0.834,8.324
2,fulloracle,10,01,69,0.522,0.304,0.757,0.655,0.824,13.700
3,fulloracle,10,11,63,0.357,0.159,0.659,0.648,0.754,16.245
4,fulloracle,10,aa,170,0.492,0.318,0.750,0.694,0.813,12.541
0,notracklap,2,00,98,0.862,0.857,0.966,0.963,0.970,1.067
1,notracklap,2,10,3,0.833,0.667,1.000,1.000,0.941,2.450
2,notracklap,2,01,48,0.740,0.646,0.844,0.775,0.877,8.844
3,notracklap,2,11,39,0.821,0.718,0.833,0.790,0.891,5.769
4,notracklap,2,aa,188,0.822,0.771,0.908,0.880,0.929,4.050
0,notracklap,5,00,75,0.624,0.587,0.929,0.891,0.947,1.821
1,notracklap,5,10,3,0.600,0.667,0.920,0.867,0.898,4.376
2,notracklap,5,01,59,0.563,0.373,0.778,0.647,0.839,13.148
3,notracklap,5,11,48,0.508,0.250,0.662,0.550,0.808,11.704
4,notracklap,5,aa,185,0.574,0.432,0.811,0.724,0.876,8.039
0,notracklap,10,00,35,0.703,0.629,0.886,0.829,0.901,3.592
1,notracklap,10,10,3,0.600,0.333,0.927,0.933,0.873,5.929
2,notracklap,10,01,69,0.513,0.319,0.756,0.655,0.824,13.601
3,notracklap,10,11,63,0.416,0.206,0.694,0.667,0.791,12.373
4,notracklap,10,aa,170,0.518,0.341,0.763,0.700,0.828,10.950
0,laponly,2,00,98,0.857,0.837,0.964,0.961,0.970,1.058
1,laponly,2,10,3,0.833,0.667,1.000,1.000,0.940,2.534
2,laponly,2,01,48,0.719,0.625,0.833,0.762,0.875,9.025
3,laponly,2,11,39,0.833,0.744,0.826,0.774,0.888,6.133
4,laponly,2,aa,188,0.816,0.761,0.903,0.872,0.928,4.169
0,laponly,5,00,75,0.624,0.587,0.925,0.883,0.947,1.822
1,laponly,5,10,3,0.667,0.667,0.920,0.867,0.901,4.249
2,laponly,5,01,59,0.573,0.373,0.778,0.644,0.840,12.982
3,laponly,5,11,48,0.500,0.250,0.667,0.550,0.806,11.906
4,laponly,5,aa,185,0.576,0.432,0.811,0.720,0.876,8.037
0,laponly,10,00,35,0.703,0.600,0.882,0.823,0.902,3.521
1,laponly,10,10,3,0.600,0.333,0.927,0.933,0.873,5.899
2,laponly,10,01,69,0.529,0.275,0.752,0.649,0.823,13.729
3,laponly,10,11,63,0.406,0.175,0.698,0.673,0.790,12.489
4,laponly,10,aa,170,0.521,0.306,0.762,0.699,0.828,11.030
0,trackonly,2,00,98,0.847,0.827,0.967,0.965,0.971,1.006
1,trackonly,2,10,3,0.833,0.667,0.900,0.867,0.885,4.851
2,trackonly,2,01,48,0.698,0.604,0.831,0.754,0.876,9.008
3,trackonly,2,11,39,0.705,0.590,0.746,0.697,0.846,8.252
4,trackonly,2,aa,188,0.779,0.718,0.886,0.854,0.919,4.614
0,trackonly,5,00,75,0.611,0.573,0.929,0.888,0.945,1.974
1,trackonly,5,10,3,0.467,0.667,0.880,0.867,0.874,5.554
2,trackonly,5,01,59,0.586,0.424,0.774,0.647,0.839,13.056
3,trackonly,5,11,48,0.425,0.208,0.618,0.504,0.771,14.580
4,trackonly,5,aa,185,0.552,0.432,0.798,0.711,0.864,8.837
0,trackonly,10,00,35,0.677,0.629,0.887,0.823,0.895,3.913
1,trackonly,10,10,3,0.500,0.333,0.867,0.867,0.839,7.852
2,trackonly,10,01,69,0.488,0.275,0.757,0.646,0.824,13.623
3,trackonly,10,11,63,0.351,0.159,0.663,0.648,0.754,16.141
4,trackonly,10,aa,170,0.476,0.306,0.751,0.687,0.813,12.455
0,fullpred,2,00,98,0.842,0.806,0.969,0.965,0.969,1.084
1,fullpred,2,10,3,0.833,0.667,0.967,1.000,0.892,4.491
2,fullpred,2,01,48,0.500,0.375,0.748,0.658,0.818,16.488
3,fullpred,2,11,39,0.679,0.590,0.726,0.677,0.818,11.504
4,fullpred,2,aa,188,0.721,0.649,0.862,0.828,0.898,7.233
0,fullpred,5,00,75,0.608,0.573,0.937,0.909,0.945,2.016
1,fullpred,5,10,3,0.467,0.667,0.853,0.800,0.866,5.862
2,fullpred,5,01,59,0.471,0.271,0.715,0.580,0.764,23.263
3,fullpred,5,11,48,0.358,0.146,0.586,0.471,0.729,20.073
4,fullpred,5,aa,185,0.497,0.368,0.774,0.689,0.830,13.539
0,fullpred,10,00,35,0.691,0.629,0.876,0.800,0.885,4.466
1,fullpred,10,10,3,0.533,0.667,0.840,0.733,0.840,7.801
2,fullpred,10,01,69,0.410,0.159,0.699,0.591,0.752,23.503
3,fullpred,10,11,63,0.281,0.127,0.569,0.540,0.683,24.065
4,fullpred,10,aa,170,0.422,0.253,0.690,0.618,0.755,19.515
0,predtrack,2,00,98,0.842,0.816,0.971,0.971,0.970,1.064
1,predtrack,2,10,3,0.833,0.667,0.967,1.000,0.893,4.441
2,predtrack,2,01,48,0.719,0.625,0.848,0.775,0.879,8.760
3,predtrack,2,11,39,0.821,0.795,0.769,0.733,0.847,8.374
4,predtrack,2,aa,188,0.806,0.761,0.898,0.872,0.920,4.600
0,predtrack,5,00,75,0.613,0.573,0.926,0.885,0.945,1.988
1,predtrack,5,10,3,0.400,0.333,0.880,0.800,0.867,5.698
2,predtrack,5,01,59,0.576,0.373,0.777,0.647,0.839,13.053
3,predtrack,5,11,48,0.450,0.208,0.650,0.550,0.785,13.000
4,predtrack,5,aa,185,0.556,0.411,0.806,0.721,0.868,8.434
0,predtrack,10,00,35,0.686,0.657,0.889,0.840,0.895,3.913
1,predtrack,10,10,3,0.467,0.333,0.873,0.867,0.841,7.480
2,predtrack,10,01,69,0.525,0.290,0.748,0.646,0.824,13.552
3,predtrack,10,11,63,0.400,0.190,0.682,0.657,0.775,13.276
4,predtrack,10,aa,170,0.511,0.329,0.755,0.694,0.821,11.358
0,predpit,2,00,98,0.827,0.765,0.965,0.963,0.970,1.039
1,predpit,2,10,3,0.833,0.667,1.000,1.000,0.943,2.385
2,predpit,2,01,48,0.479,0.312,0.740,0.642,0.819,16.446
3,predpit,2,11,39,0.705,0.641,0.764,0.692,0.851,9.911
4,predpit,2,aa,188,0.713,0.622,0.866,0.826,0.906,6.835
0,predpit,5,00,75,0.637,0.613,0.926,0.888,0.948,1.814
1,predpit,5,10,3,0.667,0.333,0.920,0.867,0.902,4.281
2,predpit,5,01,59,0.454,0.271,0.709,0.573,0.764,23.223
3,predpit,5,11,48,0.412,0.208,0.597,0.463,0.744,19.260
4,predpit,5,aa,185,0.521,0.395,0.771,0.677,0.836,13.208
0,predpit,10,00,35,0.729,0.657,0.870,0.771,0.883,4.626
1,predpit,10,10,3,0.633,0.667,0.893,0.800,0.855,6.643
2,predpit,10,01,69,0.391,0.159,0.698,0.586,0.754,23.220
3,predpit,10,11,63,0.294,0.111,0.606,0.571,0.702,22.759
4,predpit,10,aa,170,0.429,0.253,0.703,0.622,0.763,18.929
