pred: acc=0.5170068027210885, mae=4.959183673469388,4.959183673469388, rmse=48.55102040816327,r2=-0.8426054396200766, acc_naive=0.1360544217687075, mae_naive=4.625850340136054
pred: acc=0.527027027027027, mae=5.0608108108108105,5.0608108108108105, rmse=47.939189189189186,r2=-0.9360512710833153, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.527027027027027, mae=5.277027027027027,5.277027027027027, rmse=53.08783783783784,r2=-1.0125512295081966, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5337837837837838, mae=5.1824324324324325,5.1824324324324325, rmse=52.979729729729726,r2=-0.7917747473998862, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5135135135135135, mae=5.101351351351352,5.101351351351352, rmse=50.695945945945944,r2=-0.8976628774155617, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5608108108108109, mae=5.27027027027027,5.27027027027027, rmse=52.027027027027025,r2=-0.8171410165848403, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5405405405405406, mae=5.0675675675675675,5.0675675675675675, rmse=51.270270270270274,r2=-1.0229600154195615, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5067567567567568, mae=5.054054054054054,5.054054054054054, rmse=49.067567567567565,r2=-1.054349342757913, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5436241610738255, mae=5.033557046979865,5.033557046979865, rmse=51.97315436241611,r2=-0.9154379662615082, acc_naive=0.1342281879194631, mae_naive=4.590604026845638
pred: acc=0.5202702702702703, mae=5.033783783783784,5.033783783783784, rmse=49.898648648648646,r2=-0.8510778110477326, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5472972972972973, mae=5.216216216216216,5.216216216216216, rmse=53.28378378378378,r2=-1.0367481916462347, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5472972972972973, mae=5.054054054054054,5.054054054054054, rmse=50.7027027027027,r2=-0.9651660918818203, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5405405405405406, mae=4.945945945945946,4.945945945945946, rmse=49.58108108108108,r2=-0.9750666979469582, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5202702702702703, mae=5.047297297297297,5.047297297297297, rmse=51.763513513513516,r2=-0.9086856688820206, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.527027027027027, mae=5.216216216216216,5.216216216216216, rmse=51.986486486486484,r2=-0.8063926621921098, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5405405405405406, mae=5.141891891891892,5.141891891891892, rmse=51.42567567567568,r2=-0.9624728215420637, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5570469798657718, mae=4.926174496644295,4.926174496644295, rmse=50.147651006711406,r2=-0.813674957481608, acc_naive=0.1342281879194631, mae_naive=4.590604026845638
pred: acc=0.5202702702702703, mae=5.121621621621622,5.121621621621622, rmse=50.78378378378378,r2=-0.8080375791364276, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5337837837837838, mae=5.135135135135135,5.135135135135135, rmse=52.810810810810814,r2=-0.7229115747174202, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5, mae=5.216216216216216,5.216216216216216, rmse=52.351351351351354,r2=-0.9330457459487433, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5337837837837838, mae=5.202702702702703,5.202702702702703, rmse=51.62162162162162,r2=-0.9187022220713879, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
