,carno,startlap,startrank,endrank,diff,sign,pred_endrank,pred_diff,pred_sign
0,1,10,3.0,3.0,0.0,0,3.0,0.0,0
1,3,10,7.0,7.0,0.0,0,7.0,0.0,0
2,4,10,12.0,12.0,0.0,0,12.0,0.0,0
3,6,10,15.0,15.0,0.0,0,15.0,0.0,0
4,7,10,28.0,28.0,0.0,0,28.0,0.0,0
5,9,10,8.0,8.0,0.0,0,8.0,0.0,0
6,10,10,31.0,31.0,0.0,0,31.0,0.0,0
7,12,10,2.0,2.0,0.0,0,2.0,0.0,0
8,13,10,11.0,11.0,0.0,0,11.0,0.0,0
9,14,10,5.0,5.0,0.0,0,5.0,0.0,0
10,15,10,22.0,22.0,0.0,0,22.0,0.0,0
11,17,10,32.0,32.0,0.0,0,32.0,0.0,0
12,18,10,4.0,4.0,0.0,0,4.0,0.0,0
13,19,10,13.0,13.0,0.0,0,13.0,0.0,0
14,20,10,0.0,0.0,0.0,0,0.0,0.0,0
15,21,10,6.0,6.0,0.0,0,6.0,0.0,0
16,22,10,1.0,1.0,0.0,0,1.0,0.0,0
17,23,10,14.0,14.0,0.0,0,14.0,0.0,0
18,24,10,24.0,24.0,0.0,0,24.0,0.0,0
19,25,10,20.0,20.0,0.0,0,20.0,0.0,0
20,26,10,30.0,30.0,0.0,0,30.0,0.0,0
21,27,10,25.0,25.0,0.0,0,25.0,0.0,0
22,28,10,10.0,10.0,0.0,0,10.0,0.0,0
23,29,10,17.0,17.0,0.0,0,17.0,0.0,0
24,30,10,16.0,16.0,0.0,0,16.0,0.0,0
25,32,10,18.0,18.0,0.0,0,18.0,0.0,0
26,33,10,19.0,19.0,0.0,0,19.0,0.0,0
27,59,10,26.0,26.0,0.0,0,26.0,0.0,0
28,60,10,29.0,29.0,0.0,0,29.0,0.0,0
29,64,10,23.0,23.0,0.0,0,23.0,0.0,0
30,66,10,27.0,27.0,0.0,0,27.0,0.0,0
31,88,10,21.0,21.0,0.0,0,21.0,0.0,0
32,98,10,9.0,9.0,0.0,0,9.0,0.0,0
33,1,11,3.0,3.0,0.0,0,3.0,0.0,0
34,3,11,7.0,7.0,0.0,0,7.0,0.0,0
35,4,11,12.0,12.0,0.0,0,12.0,0.0,0
36,6,11,15.0,15.0,0.0,0,15.0,0.0,0
37,7,11,28.0,28.0,0.0,0,29.0,1.0,1
38,9,11,8.0,8.0,0.0,0,8.0,0.0,0
39,10,11,31.0,31.0,0.0,0,31.0,0.0,0
40,12,11,2.0,2.0,0.0,0,2.0,0.0,0
41,13,11,11.0,11.0,0.0,0,11.0,0.0,0
42,14,11,5.0,5.0,0.0,0,5.0,0.0,0
43,15,11,22.0,22.0,0.0,0,22.0,0.0,0
44,17,11,32.0,32.0,0.0,0,32.0,0.0,0
45,18,11,4.0,4.0,0.0,0,4.0,0.0,0
46,19,11,13.0,13.0,0.0,0,13.0,0.0,0
47,20,11,0.0,0.0,0.0,0,0.0,0.0,0
48,21,11,6.0,6.0,0.0,0,6.0,0.0,0
49,22,11,1.0,1.0,0.0,0,1.0,0.0,0
50,23,11,14.0,14.0,0.0,0,14.0,0.0,0
51,24,11,24.0,24.0,0.0,0,24.0,0.0,0
52,25,11,20.0,20.0,0.0,0,20.0,0.0,0
53,26,11,30.0,30.0,0.0,0,30.0,0.0,0
54,27,11,25.0,25.0,0.0,0,25.0,0.0,0
55,28,11,10.0,10.0,0.0,0,10.0,0.0,0
56,29,11,17.0,17.0,0.0,0,17.0,0.0,0
57,30,11,16.0,16.0,0.0,0,16.0,0.0,0
58,32,11,18.0,18.0,0.0,0,18.0,0.0,0
59,33,11,19.0,19.0,0.0,0,19.0,0.0,0
60,59,11,26.0,26.0,0.0,0,26.0,0.0,0
61,60,11,29.0,29.0,0.0,0,28.0,-1.0,-1
62,64,11,23.0,23.0,0.0,0,23.0,0.0,0
63,66,11,27.0,27.0,0.0,0,27.0,0.0,0
64,88,11,21.0,21.0,0.0,0,21.0,0.0,0
65,98,11,9.0,9.0,0.0,0,9.0,0.0,0
66,1,12,3.0,3.0,0.0,0,3.0,0.0,0
