,target,eventid,car_number,stageid,firststage,pit_in_caution,start_position,start_rank,start_rank_ratio,top_pack,bottom_pack,average_rank,average_rank_all,change_in_rank,change_in_rank_all,rate_of_change,rate_of_change_all,laptime_green_mean_prev,laptime_green_std_prev,laptime_green_mean_all,laptime_green_std_all,laptime_mean_prev,laptime_std_prev,laptime_mean_all,laptime_std_all,laps_prev,laps_after_last_pitstop,pittime_prev,prev_nb0_change_in_rank,prev_nb1_change_in_rank,prev_nb2_change_in_rank,follow_nb0_change_in_rank,follow_nb1_change_in_rank,follow_nb2_change_in_rank
1,-5,0,1,1,1,0,7,15,0.45454545454545453,0,0,8.5,8.5,2,2.0,0,0.0,66.0815,21.7254,44.13561428571429,10.650221684571182,66.0815,21.7254,50.05036774193548,22.910400116982892,2,31,66.0815,0,0,0,2,0,0
2,-2,0,1,2,1,1,7,3,0.09090909090909091,1,0,18.0,13.25,-5,-1.5,0,0.0,62.0677,9.220299999999998,44.711047826086954,10.816824916520982,62.0677,9.220299999999998,54.15019999999999,23.822858155366028,2,27,62.0677,-2,-4,0,2,-1,0
3,-5,0,1,3,1,0,7,17,0.5151515151515151,0,0,2.0,9.5,-2,-1.6666666666666667,3,-2.0,,,43.88332933333333,9.76452738888095,91.23935,2.396950000000004,51.770574444444435,21.857882460962127,2,32,91.23935,-1,0,0,-2,0,2
4,-4,0,1,4,1,0,7,10,0.30303030303030304,0,0,16.0,11.125,-5,-2.5,-3,-2.3333333333333335,61.19415,7.561450000000001,43.47503925233646,8.679635788805294,61.19415,7.561450000000001,49.343698360655736,19.39413260219793,2,32,61.19415,0,0,0,-8,7,-4
5,-5,0,1,5,1,0,7,15,0.45454545454545453,0,0,10.5,11.0,-4,-2.8,1,-1.5,60.8541,8.437600000000003,43.29432919708029,8.074439882507505,60.8541,8.437600000000003,48.02253355263158,17.73750518094559,2,30,60.8541,0,0,0,0,2,0
7,12,0,2,1,1,0,5,13,0.3939393939393939,0,0,9.5,9.5,10,10.0,0,0.0,67.40105,21.983950000000004,44.13113448275861,10.235184956881316,67.40105,21.983950000000004,49.986046875,22.875652187273598,2,32,67.40105,1,1,0,-3,-5,-3
8,0,0,2,2,1,1,5,24,0.7272727272727273,0,0,19.0,14.25,12,11.0,0,0.0,62.5415,7.928599999999999,45.31889999999999,11.068533487061128,62.5415,7.928599999999999,53.690107692307684,23.31595428758407,2,7,62.5415,-1,0,0,0,0,22
9,-2,0,2,3,1,1,5,11,0.3333333333333333,0,0,24.0,17.5,0,7.333333333333333,-12,-5.0,,,44.551833333333335,9.995956103389457,104.44945,2.7555499999999995,54.28717586206896,23.62795294179676,2,19,104.44945,4,7,7,7,1,8
10,-4,0,2,4,1,0,5,18,0.5454545454545454,0,0,10.0,15.625,-2,5.0,-2,-4.0,,,43.68778378378378,8.90939800069972,91.059,0.2394999999999996,51.79691888888889,21.68322774252996,2,32,91.059,-2,-1,0,0,2,0
11,-1,0,2,5,1,0,5,25,0.7575757575757576,0,0,17.0,15.9,-4,3.2,-2,-3.5,61.5085,7.697900000000001,43.490123958333335,8.40143902051092,61.5085,7.697900000000001,50.03463035714286,19.961371138557123,2,22,61.5085,0,0,0,0,0,0
