,Year,Model,SignAcc,MAE,50-Risk,90-Risk,laptype
0,2018,CurRank,0.9565217391283554,0.16714285714285715,0.01157441756937231,0.01157441756937231,normal
1,2018,RandomForest,0.5652173913031191,0.9085714285714286,0.061829153682544394,0.061829153682544415,normal
2,2018,SVM,0.9565217391283554,0.16714285714285715,0.01157441756937231,0.01157441756937231,normal
3,2018,XGBoost,0.5217391304336484,0.54,0.03729534550131078,0.037295345501310785,normal
4,2018,RankNet-Oracle,0.8913043478241494,0.24369142033165103,0.017972734837730688,0.016956718390523276,normal
5,2018,RankNet-MLP,0.8913043478241494,0.25234318673395817,0.018503597826619027,0.01734479416515737,normal
6,2019,CurRank,0.9466666666654044,0.1073345259391771,0.007440290108790796,0.007440290108790797,normal
7,2019,RandomForest,0.7999999999989333,0.3810375670840787,0.026197323996498687,0.02619732399649869,normal
8,2019,SVM,0.9466666666654044,0.1073345259391771,0.007440290108790796,0.007440290108790797,normal
9,2019,XGBoost,0.7866666666656178,0.22898032200357782,0.015880955358259348,0.015880955358259348,normal
10,2019,RankNet-Oracle,0.9333333333320889,0.16950672645739912,0.01416767245381116,0.013212558413022627,normal
11,2019,RankNet-MLP,0.9333333333320889,0.16950672645739912,0.01406028533407607,0.013060019187323989,normal
0,2018,CurRank,0.6408450704220839,1.7560913705583756,0.12986598596043394,0.12985097038177112,pit
1,2018,RandomForest,0.4436619718306735,1.966243654822335,0.14540710987649685,0.14539209429783395,pit
2,2018,SVM,0.6408450704220839,1.7560913705583756,0.12986598596043394,0.12985097038177112,pit
3,2018,XGBoost,0.4436619718306735,2.018527918781726,0.14927362138218403,0.14925860580352115,pit
4,2018,RankNet-Oracle,0.852112676055738,1.412598026815077,0.10317800167926112,0.0948485455732811,pit
5,2018,RankNet-MLP,0.746478873238911,1.551226916266127,0.11146226327082752,0.09958196100382498,pit
6,2019,CurRank,0.5929203539817761,1.8579428234600648,0.1276552659822206,0.12765526598222066,pit
7,2019,RandomForest,0.5132743362827316,1.9339817270851754,0.13287973594151833,0.13287973594151833,pit
8,2019,SVM,0.5929203539817761,1.8579428234600648,0.1276552659822206,0.12765526598222066,pit
9,2019,XGBoost,0.5486725663711959,1.91806660772178,0.13178624222910718,0.13178624222910718,pit
10,2019,RankNet-Oracle,0.8053097345125617,1.5010297146219476,0.10073717560640917,0.09143359163740566,pit
11,2019,RankNet-MLP,0.6725663716808207,1.6675492791997646,0.10931771400895994,0.09201640230859268,pit
