,model,featureCnt,datamode,plen,f1,recall
0,mlp-sel,2,all,2,0.6311350983067172,0.4790550595238094
1,mlp-all,2,all,2,0.627488688582108,0.32385912698412694
2,dmlp-sel,2,all,2,0.6172228087974848,0.30359623015873016
3,dmlp-all,2,all,2,0.49305530037630363,0.0
4,mlp-sel,2,normal,2,0.6695237670637284,0.7489583333333334
5,mlp-all,2,normal,2,0.6448349849848913,0.471875
6,dmlp-sel,2,normal,2,0.6501279197689552,0.4552083333333333
7,dmlp-all,2,normal,2,0.4957809556124054,0.0
8,mlp-sel,2,caution,2,0.7113059186639694,0.026041666666666664
9,mlp-all,2,caution,2,0.706640134352651,0.010416666666666666
10,dmlp-sel,2,caution,2,0.7065600184730427,0.010416666666666666
11,dmlp-all,2,caution,2,0.7015912235678909,0.0
12,mlp-sel,3,all,2,0.6336420587741318,0.47198660714285706
13,mlp-all,3,all,2,0.6071270164953422,0.5376116071428572
14,dmlp-sel,3,all,2,0.5363811887069997,0.08418898809523809
15,dmlp-all,3,all,2,0.49305530037630363,0.0
16,mlp-sel,3,normal,2,0.656482055520124,0.6838541666666667
17,mlp-all,3,normal,2,0.6255395115171168,0.7895833333333334
18,dmlp-sel,3,normal,2,0.5535251389567521,0.11822916666666668
19,dmlp-all,3,normal,2,0.4957809556124054,0.0
20,mlp-sel,3,caution,2,0.7129081754086312,0.026041666666666664
21,mlp-all,3,caution,2,0.7244687875261492,0.057291666666666664
22,dmlp-sel,3,caution,2,0.7118878263903926,0.015625
23,dmlp-all,3,caution,2,0.7015912235678909,0.0
