,model,featureCnt,datamode,plen,f1,recall
0,mlp-sel,2,all,2,0.2786253689867926,0.46269841269841255
1,mlp-all,2,all,2,0.23360193625818623,0.28841765873015873
2,dmlp-sel,2,all,2,0.2565905856806592,0.30359623015873016
3,dmlp-all,2,all,2,0.0,0.0
4,mlp-sel,2,sel,2,0.31292201466833813,0.7604166666666666
5,mlp-all,2,sel,2,0.33064521263050684,0.5208333333333333
6,dmlp-sel,2,sel,2,0.2734591797091797,0.44791666666666663
7,dmlp-all,2,sel,2,0.0,0.0
8,mlp-sel,2,shortnormal,2,0.0,0.0
9,mlp-all,2,shortnormal,2,0.0,0.0
10,dmlp-sel,2,shortnormal,2,0.0,0.0
11,dmlp-all,2,shortnormal,2,0.0,0.0
12,mlp-sel,2,caution,2,0.0203125,0.026041666666666664
13,mlp-all,2,caution,2,0.00892857142857143,0.010416666666666666
14,dmlp-sel,2,caution,2,0.010416666666666666,0.010416666666666666
15,dmlp-all,2,caution,2,0.0,0.0
16,mlp-sel,3,all,2,0.29612064050855436,0.47545882936507927
17,mlp-all,3,all,2,0.2630328681332897,0.541517857142857
18,dmlp-sel,3,all,2,0.0966889523874818,0.08418898809523809
19,dmlp-all,3,all,2,0.0,0.0
20,mlp-sel,3,sel,2,0.31299374752354625,0.7135416666666667
21,mlp-all,3,sel,2,0.25928385251943464,0.859375
22,dmlp-sel,3,sel,2,0.12078373015873016,0.11979166666666666
23,dmlp-all,3,sel,2,0.0,0.0
24,mlp-sel,3,shortnormal,2,0.0,0.0
25,mlp-all,3,shortnormal,2,0.0,0.0
26,dmlp-sel,3,shortnormal,2,0.0,0.0
27,dmlp-all,3,shortnormal,2,0.0,0.0
28,mlp-sel,3,caution,2,0.0234375,0.026041666666666664
29,mlp-all,3,caution,2,0.016666666666666666,0.026041666666666664
30,dmlp-sel,3,caution,2,0.020833333333333332,0.015625
31,dmlp-all,3,caution,2,0.0,0.0
