,Year,Model,FeatureCnt,MAE,50-Risk,90-Risk
0,Indy500-2018,sel-all,2,120.11541913480524,0.91298326900434,1.5914523890410137
1,Indy500-2018,sel-sel,2,4.550577240241891,0.24276616973823217,0.22965312830144383
2,Indy500-2018,sel-caution,2,10.471774193548388,0.9133567662565905,0.2685623901581722
3,Indy500-2018,sel-shortnormal,2,923.040404040404,0.9832309621964603,1.7630526888563018
4,Indy500-2019,sel-all,2,92.81293855895944,0.8732900701282599,1.5224733134193766
5,Indy500-2019,sel-sel,2,2.963157894736842,0.16913057775617288,0.10429263829117996
6,Indy500-2019,sel-caution,2,7.631067961165049,0.5015431277603363,0.23753844516575318
7,Indy500-2019,sel-shortnormal,2,844.5461912479741,0.9789805530662128,1.7541330417514451
8,Indy500-2018,all-all,2,120.85568120624663,0.918875731728627,1.5721406338735746
9,Indy500-2018,all-sel,2,6.037932930181419,0.3223763748415062,0.12144752749683012
10,Indy500-2018,all-caution,2,8.720161290322581,0.7655143100028337,0.3758727684896571
11,Indy500-2018,all-shortnormal,2,924.0764790764791,0.9843806200716295,1.749338211107183
12,Indy500-2019,all-all,2,94.24165668321068,0.887375090846683,1.5034300806863579
13,Indy500-2019,all-sel,2,4.603007518796993,0.2618069225132545,0.08439402864983694
14,Indy500-2019,all-caution,2,7.53074433656958,0.49633493846976995,0.14945746388443015
15,Indy500-2019,all-shortnormal,2,848.0178282009724,0.9830215194772499,1.7364643728088798
16,Indy500-2018,sel-all,3,120.0116675641716,0.9121667069149234,1.5884878525303874
17,Indy500-2018,sel-sel,3,4.333424958768554,0.2315192510858082,0.2072288414133114
18,Indy500-2018,sel-caution,3,10.82983870967742,0.9433040421792619,0.2713616871704745
19,Indy500-2018,sel-shortnormal,3,922.5800865800866,0.9827475429390047,1.7619569180446804
20,Indy500-2019,sel-all,3,92.70049632038337,0.8722313024854872,1.5203405125562597
21,Indy500-2019,sel-sel,3,2.8283208020050123,0.16156727621062866,0.09316014468924695
22,Indy500-2019,sel-caution,3,7.6124595469255665,0.5011972542968126,0.22882136965891553
23,Indy500-2019,sel-shortnormal,3,844.3468395461913,0.9787654362737638,1.7535815912630646
24,Indy500-2018,all-all,3,121.29509962304793,0.9224135577301122,1.5738960726923246
25,Indy500-2018,all-sel,3,6.870533260032985,0.36834694659864947,0.10244242620823871
26,Indy500-2018,all-caution,3,7.409677419354839,0.6484485689997166,0.3382898838197789
27,Indy500-2018,all-shortnormal,3,925.6190476190476,0.9860114976097883,1.754112670427471
28,Indy500-2019,all-all,3,94.98716412801643,0.8942109512352732,1.5041711317844946
29,Indy500-2019,all-sel,3,5.368170426065163,0.3073894739866952,0.06021810658199113
30,Indy500-2019,all-caution,3,7.716019417475728,0.5115302300695559,0.14073194221508828
31,Indy500-2019,all-shortnormal,3,849.288492706645,0.984470993608411,1.741026261502794
