,target,start_lap,eventid,car_number,stageid,firststage,pit_in_caution,start_position,start_rank,start_rank_ratio,top_pack,bottom_pack,average_rank,average_rank_all,change_in_rank,change_in_rank_all,rate_of_change,rate_of_change_all,laptime_green_mean_prev,laptime_green_std_prev,laptime_green_mean_all,laptime_green_std_all,laptime_mean_prev,laptime_std_prev,laptime_mean_all,laptime_std_all,laps_prev,laps_after_last_pitstop,pittime_prev,prev_nb0_change_in_rank,prev_nb1_change_in_rank,prev_nb2_change_in_rank,follow_nb0_change_in_rank,follow_nb1_change_in_rank,follow_nb2_change_in_rank,cautionlaps_all,cautionlaps_cur,stint_len
1,-12,31,0,1,1,1,0,7,15,0.45454545454545453,0,0,7.064516129032258,7.064516129032258,8,8.0,0,0.0,44.13561428571429,10.650221684571182,44.13561428571429,10.650221684571182,50.05036774193548,22.910400116982892,50.05036774193548,22.910400116982892,31,31,66.0815,2,8,0,14,6,3,3,0,27
2,14,58,0,1,2,1,1,7,3,0.09090909090909091,1,0,5.0,6.103448275862069,-12,-2.0,0,0.0,45.60616666666667,11.011393846627936,44.711047826086954,10.816824916520982,58.85741481481482,23.979812323281024,54.15019999999999,23.822858155366028,27,27,62.0677,-19,-21,0,-3,-21,-17,9,1,32
3,-7,90,0,1,3,1,0,7,17,0.5151515151515151,0,0,2.53125,4.833333333333333,14,3.3333333333333335,26,3.0,42.57039655172413,7.627703523544394,43.88332933333333,9.76452738888095,47.457503125,16.917687383299548,51.770574444444435,21.857882460962127,32,32,91.23935,11,-2,-3,7,17,19,3,0,32
4,5,122,0,1,4,1,0,7,10,0.30303030303030304,0,0,3.9375,4.598360655737705,-7,0.75,-21,-5.0,42.518109374999995,5.208782299657437,43.47503925233646,8.679635788805294,42.518109374999995,5.208782299657437,49.343698360655736,19.39413260219793,32,32,61.19415,-15,-9,-6,0,4,-6,0,0,30
5,-3,152,0,1,5,1,0,7,15,0.45454545454545453,0,0,2.8333333333333335,4.25,5,1.6,12,-0.75,42.64979666666667,5.338583534514459,43.29432919708029,8.074439882507505,42.64979666666667,5.338583534514459,48.02253355263158,17.73750518094559,30,30,60.8541,-3,0,0,-3,-3,0,0,0,29
6,-9,181,0,1,6,1,0,7,12,0.36363636363636365,0,0,3.586206896551724,4.143646408839779,-3,0.8333333333333334,-8,-2.2,42.3675172413793,5.46796796260252,43.13241626506024,7.691158875510888,42.3675172413793,5.46796796260252,47.11648121546961,16.531899820899774,29,29,60.66945,0,-2,-3,2,-6,3,0,0,19
8,11,32,0,2,1,1,0,5,13,0.3939393939393939,0,0,15.03125,15.03125,8,8.0,0,0.0,44.13113448275861,10.235184956881316,44.13113448275861,10.235184956881316,49.986046875,22.875652187273598,49.986046875,22.875652187273598,32,32,67.40105,3,-5,8,0,-8,-6,3,0,7
9,-13,39,0,2,2,1,1,5,24,0.7272727272727273,0,0,22.571428571428573,16.384615384615383,11,9.5,0,0.0,62.5415,7.928599999999999,45.31889999999999,11.068533487061128,70.62295714285713,16.946000668835207,53.690107692307684,23.31595428758407,7,7,62.5415,-8,-8,-1,2,-1,22,5,5,19
10,7,58,0,2,3,1,1,5,11,0.3333333333333333,0,0,17.157894736842106,16.637931034482758,-13,2.0,-24,-10.5,42.85332857142857,6.760424761531374,44.551833333333335,9.995956103389457,55.51273684210526,24.209711973855942,54.28717586206896,23.62795294179676,19,19,104.44945,-2,1,3,1,-7,5,5,1,32
11,7,90,0,2,4,1,0,5,18,0.5454545454545454,0,0,7.125,13.255555555555556,7,3.25,20,-0.3333333333333333,42.347017241379305,6.6742846385144246,43.68778378378378,8.90939800069972,47.283328125,16.698393924177903,51.79691888888889,21.68322774252996,32,32,91.059,14,11,-2,17,19,4,3,0,22
12,-1,112,0,2,5,1,0,5,25,0.7575757575757576,0,0,3.727272727272727,11.383928571428571,7,4.0,0,-0.25,42.82526818181819,6.358743451227849,43.490123958333335,8.40143902051092,42.82526818181819,6.358743451227849,50.03463035714286,19.961371138557123,22,22,61.5085,-7,4,-15,3,1,0,0,0,31
13,-4,143,0,2,6,1,0,5,24,0.7272727272727273,0,0,11.774193548387096,11.468531468531468,-1,3.1666666666666665,-8,-1.8,42.797738709677404,5.920261510444446,43.32111653543306,7.873932468402982,42.797738709677404,5.920261510444446,48.46579370629371,18.126447144262347,31,31,63.83645,-1,2,0,1,0,-1,0,0,30
14,-13,173,0,2,7,1,0,5,20,0.6060606060606061,0,0,10.666666666666666,11.329479768786127,-4,2.142857142857143,-3,-2.0,42.41234000000001,5.6134386131615726,43.14746496815287,7.503380092351809,42.41234000000001,5.6134386131615726,47.41606184971098,16.802018021129474,30,30,61.74585,12,0,-2,1,5,-3,0,0,27
16,-3,32,0,3,1,1,0,8,7,0.21212121212121213,0,0,6.21875,6.21875,-1,-1.0,0,0.0,44.066344827586214,10.331536743442088,44.066344827586214,10.331536743442088,49.781359375,22.54864861822183,49.781359375,22.54864861822183,32,32,65.13645,3,6,2,-3,-8,8,3,0,26
17,-2,58,0,3,2,1,1,8,4,0.12121212121212122,1,0,5.038461538461538,5.689655172413793,-3,-2.0,0,0.0,45.719976470588236,10.748806727508349,44.6774695652174,10.518009355569921,59.515907692307685,23.944031654302677,54.1451224137931,23.684601094149343,26,26,61.6129,-12,-19,-21,-21,-17,-9,9,1,34
18,5,92,0,3,3,1,0,8,2,0.06060606060606061,1,0,6.823529411764706,6.108695652173913,-2,-2.0,1,-0.5,42.36862580645161,6.677566282612914,43.74793506493507,9.237080474950865,47.10970294117647,16.5697127571838,51.54507608695651,21.602018371576992,34,34,93.0804,-6,0,0,-6,-6,-9,3,0,31
19,0,123,0,3,4,1,0,8,7,0.21212121212121213,0,0,5.161290322580645,5.869918699186992,5,-0.25,7,2.0,42.55787741935484,5.408205436765907,43.40634444444446,8.337738958298491,42.55787741935484,5.408205436765907,49.28000975609756,19.27782726523817,31,31,61.4985,5,-9,-6,-4,-1,-6,0,0,31
20,-3,154,0,3,5,1,0,8,7,0.21212121212121213,0,0,4.548387096774194,5.603896103896104,0,-0.2,-5,0.25,42.60162258064516,5.258140707433336,43.22687410071942,7.764806851571192,42.60162258064516,5.258140707433336,47.93565909090909,17.594356700560926,31,31,61.01615,-3,0,-2,-9,7,5,0,0,31
21,2,185,0,3,6,1,0,8,4,0.12121212121212122,1,0,5.67741935483871,5.616216216216216,-3,-0.6666666666666666,-3,-0.4,42.218203225806455,5.379281282277454,43.04294,7.397712104136936,42.218203225806455,5.379281282277454,46.977598918918915,16.343120061170595,31,31,60.96765,-3,0,0,-3,2,-3,0,0,15
24,-17,30,0,5,1,1,0,4,23,0.696969696969697,0,0,4.366666666666666,4.366666666666666,19,19.0,0,0.0,44.530011111111115,11.647688994542234,44.530011111111115,11.647688994542234,50.47935333333334,23.422306450386614,50.47935333333334,23.422306450386614,30,30,66.87935,21,18,2,6,3,8,3,0,28
25,5,58,0,5,2,1,1,4,6,0.18181818181818182,0,0,9.821428571428571,7.0,-17,1.0,0,0.0,45.21285789473685,9.92598633387798,44.81205652173913,10.974508716956056,58.26636428571427,23.19296493129843,54.2386,23.63439685667831,28,28,61.91930000000001,-21,-3,-12,-9,3,1,9,1,33
26,0,91,0,5,3,1,0,4,11,0.3333333333333333,0,0,6.03030303030303,6.648351648351649,5,2.3333333333333335,22,-7.0,42.336700000000015,6.614235498327326,43.83494210526316,9.572394898067198,47.23269090909091,16.773709132365152,51.69799560439561,21.66555504753024,33,33,92.9792,-3,6,-12,0,-14,11,3,0,31
27,1,122,0,5,4,1,0,4,11,0.3333333333333333,0,0,5.0,6.229508196721311,0,1.75,-5,-6.333333333333333,42.5666677419355,5.400206947192656,43.46749813084113,8.594381635968315,42.5666677419355,5.400206947192656,49.37774016393442,19.321929390672686,31,31,61.24325,-7,-15,-9,4,-6,-2,0,0,31
28,3,153,0,5,5,1,0,4,12,0.36363636363636365,0,0,5.193548387096774,6.019607843137255,1,1.6,1,-4.5,42.65033870967743,5.2450817573305955,43.28393333333334,7.972902879312332,42.65033870967743,5.2450817573305955,48.01467189542484,17.623267935497502,31,31,60.773399999999995,-5,-5,-5,1,-8,5,0,0,28
29,3,181,0,5,6,1,0,4,15,0.45454545454545453,0,0,22.285714285714285,8.535911602209945,3,1.8333333333333333,2,-3.2,43.36920357142858,9.096711540735166,43.298316265060244,8.17336426164469,43.36920357142858,9.096711540735166,47.29603591160221,16.678045654098746,28,28,71.59555,-6,2,-3,6,7,-4,0,0,19
31,8,31,0,6,1,1,0,27,22,0.6666666666666666,0,0,20.838709677419356,20.838709677419356,-5,-5.0,0,0.0,43.5762357142857,7.942275666116208,43.5762357142857,7.942275666116208,49.83036451612902,22.88342697775314,49.83036451612902,22.88342697775314,31,31,60.708,3,7,8,18,21,14,3,0,3
33,6,32,0,7,1,1,0,15,17,0.5151515151515151,0,0,20.25,20.25,2,2.0,0,0.0,43.67415862068965,8.541225431279923,43.67415862068965,8.541225431279923,49.755034375,22.83567024634389,49.755034375,22.83567024634389,32,32,63.78995,-6,-8,0,21,18,14,3,0,26
34,-14,58,0,7,2,1,1,15,23,0.696969696969697,0,0,24.346153846153847,22.086206896551722,6,4.0,0,0.0,45.750943750000005,9.285134040629728,44.412571111111106,8.868815590361098,59.965042307692315,25.097543608399562,54.33193448275862,24.41007097801171,26,26,63.04775,8,4,13,-4,-3,-2,10,1,34
35,10,92,0,7,3,1,0,15,9,0.2727272727272727,0,0,22.176470588235293,22.119565217391305,-14,-2.0,-20,-8.0,42.12839677419355,4.991452300941104,43.48086842105264,7.615457997600228,46.83605588235293,16.07921498914581,51.56171847826087,22.00646441679338,34,34,92.26485,-12,-9,-9,-15,11,14,3,0,29
36,-3,121,0,7,4,1,0,15,19,0.5757575757575758,0,0,16.93103448275862,20.876033057851238,10,1.0,24,2.6666666666666665,42.524141379310336,5.327574898680109,43.216629523809516,7.071038824211708,42.524141379310336,5.327574898680109,49.39568760330579,19.745957241493866,29,29,61.31425,-5,-6,-6,-4,2,0,0,0,31
37,13,152,0,7,5,1,0,15,16,0.48484848484848486,0,0,15.03225806451613,19.68421052631579,-3,0.2,-13,-1.25,42.611654838709676,5.078412666206148,43.07873088235294,6.674256475294972,42.611654838709676,5.078412666206148,48.01210197368421,17.975400179336724,31,31,61.20965,5,-3,0,-3,0,-2,0,0,26
