,Year,Model,ExpID,laptype,SignAcc,MAE,50-Risk,90-Risk
0,Indy500-2019,CurRank,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,all,0.15165876777251186,4.327014218009479,0.28310077519379845,0.25953488372093025
1,Indy500-2019,RandomForest,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,all,0.4976303317535545,4.279620853080568,0.28,0.2782635658914729
2,Indy500-2019,SVM,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,all,0.5118483412322274,4.218009478672986,0.27596899224806204,0.25265116279069766
3,Indy500-2019,XGBoost,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,all,0.4549763033175355,4.85781990521327,0.3178294573643411,0.3076589147286821
4,Indy500-2019,deepARW-Oracle,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,all,0.6635071090047393,3.09478672985782,0.20689655172413793,0.1919012970578931
5,Indy500-2019,CurRank,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,normalpit,0.12264150943396226,4.716981132075472,0.2997601918465228,0.29496402877697847
6,Indy500-2019,RandomForest,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,normalpit,0.5471698113207547,4.3584905660377355,0.27697841726618705,0.30191846522781773
7,Indy500-2019,SVM,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,normalpit,0.5566037735849056,4.462264150943396,0.28357314148681056,0.2830935251798561
8,Indy500-2019,XGBoost,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,normalpit,0.5188679245283019,4.679245283018868,0.2973621103117506,0.2916067146282974
9,Indy500-2019,deepARW-Oracle,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,normalpit,0.660377358490566,3.4622641509433962,0.22302158273381295,0.210263788968825
10,Indy500-2019,CurRank,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,cautionpit,0.18095238095238095,3.933333333333333,0.26525369299935775,0.2215799614643546
11,Indy500-2019,RandomForest,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,cautionpit,0.44761904761904764,4.2,0.2832369942196532,0.252922286448298
12,Indy500-2019,SVM,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,cautionpit,0.4666666666666667,3.9714285714285715,0.2678227360308285,0.2200385356454721
13,Indy500-2019,XGBoost,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,cautionpit,0.3904761904761905,5.038095238095238,0.3397559409120103,0.32485549132947983
14,Indy500-2019,deepARW-Oracle,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,cautionpit,0.6666666666666666,2.723809523809524,0.18888144675150703,0.17138647019423978
