,Year,Model,ExpID,laptype,SignAcc,MAE,50-Risk,90-Risk
0,Iowa-2019,CurRank,weighted-noinlap-S0LTYP0T-nocate-c60-drank-pitmodel,all,0.07258064516129033,3.903225806451613,0.3697478991596639,0.35508021390374334
1,Iowa-2019,RandomForest,weighted-noinlap-S0LTYP0T-nocate-c60-drank-pitmodel,all,0.46774193548387094,3.903225806451613,0.3697478991596639,0.5054239877769291
2,Iowa-2019,SVM,weighted-noinlap-S0LTYP0T-nocate-c60-drank-pitmodel,all,0.4274193548387097,11.040322580645162,1.0458365164247516,1.2847975553857909
3,Iowa-2019,XGBoost,weighted-noinlap-S0LTYP0T-nocate-c60-drank-pitmodel,all,0.49193548387096775,4.314516129032258,0.4087089381207028,0.6146676852559205
4,Iowa-2019,deepARW-MLP,weighted-noinlap-S0LTYP0T-nocate-c60-drank-pitmodel,all,0.7016129032258065,3.1774193548387095,0.29908326967150495,0.1702368220015279
5,Iowa-2019,CurRank,weighted-noinlap-S0LTYP0T-nocate-c60-drank-pitmodel,normalpit,0.07142857142857142,3.619047619047619,0.3645083932853717,0.3223021582733813
6,Iowa-2019,RandomForest,weighted-noinlap-S0LTYP0T-nocate-c60-drank-pitmodel,normalpit,0.5476190476190477,3.3095238095238093,0.3333333333333333,0.45419664268585125
7,Iowa-2019,SVM,weighted-noinlap-S0LTYP0T-nocate-c60-drank-pitmodel,normalpit,0.5,11.80952380952381,1.1894484412470023,2.141007194244604
8,Iowa-2019,XGBoost,weighted-noinlap-S0LTYP0T-nocate-c60-drank-pitmodel,normalpit,0.5952380952380952,3.9761904761904763,0.40047961630695444,0.6287769784172662
9,Iowa-2019,deepARW-MLP,weighted-noinlap-S0LTYP0T-nocate-c60-drank-pitmodel,normalpit,0.8095238095238095,2.3095238095238093,0.2434052757793765,0.16565947242206236
10,Iowa-2019,CurRank,weighted-noinlap-S0LTYP0T-nocate-c60-drank-pitmodel,cautionpit,0.07317073170731707,4.048780487804878,0.3721973094170404,0.37040358744394614
11,Iowa-2019,RandomForest,weighted-noinlap-S0LTYP0T-nocate-c60-drank-pitmodel,cautionpit,0.4268292682926829,4.2073170731707314,0.3867713004484305,0.529372197309417
12,Iowa-2019,SVM,weighted-noinlap-S0LTYP0T-nocate-c60-drank-pitmodel,cautionpit,0.3902439024390244,10.646341463414634,0.9786995515695067,0.884529147982063
13,Iowa-2019,XGBoost,weighted-noinlap-S0LTYP0T-nocate-c60-drank-pitmodel,cautionpit,0.43902439024390244,4.487804878048781,0.4125560538116592,0.6080717488789238
14,Iowa-2019,deepARW-MLP,weighted-noinlap-S0LTYP0T-nocate-c60-drank-pitmodel,cautionpit,0.6463414634146342,3.6219512195121952,0.3251121076233184,0.1723766816143498
