,Year,Model,ExpID,laptype,SignAcc,MAE,50-Risk,90-Risk
0,Pocono-2018,CurRank,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,all,0.32954545454545453,1.2727272727272727,0.20147874306839186,0.22957486136783734
1,Pocono-2018,RandomForest,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,all,0.5227272727272727,1.0340909090909092,0.16266173752310537,0.1567467652495379
2,Pocono-2018,SVM,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,all,0.4659090909090909,1.7954545454545454,0.28650646950092423,0.18743068391866913
3,Pocono-2018,XGBoost,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,all,0.7272727272727273,0.4318181818181818,0.06469500924214418,0.07504621072088725
4,Pocono-2018,deepARW-Oracle,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,all,0.6931818181818182,0.9090909090909091,0.10079840319361277,0.08802395209580839
5,Pocono-2018,CurRank,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,normalpit,0.36,1.1333333333333333,0.16966067864271456,0.2063872255489022
6,Pocono-2018,RandomForest,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,normalpit,0.5466666666666666,0.8933333333333333,0.13373253493013973,0.13852295409181636
7,Pocono-2018,SVM,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,normalpit,0.49333333333333335,1.2666666666666666,0.18962075848303392,0.16566866267465066
8,Pocono-2018,XGBoost,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,normalpit,0.76,0.37333333333333335,0.05588822355289421,0.06546906187624751
9,Pocono-2018,deepARW-Oracle,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,normalpit,0.7333333333333333,0.6133333333333333,0.10079840319361277,0.08802395209580839
10,Pocono-2018,CurRank,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,cautionpit,0.15384615384615385,2.076923076923077,0.6,0.52
11,Pocono-2018,RandomForest,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,cautionpit,0.38461538461538464,1.8461538461538463,0.525,0.385
12,Pocono-2018,SVM,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,cautionpit,0.3076923076923077,4.846153846153846,1.5,0.45999999999999996
13,Pocono-2018,XGBoost,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,cautionpit,0.5384615384615384,0.7692307692307693,0.175,0.195
14,Pocono-2018,deepARW-Oracle,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,cautionpit,0.46153846153846156,2.6153846153846154,,
