,Year,Model,ExpID,laptype,SignAcc,MAE,50-Risk,90-Risk
0,Texas-2019,CurRank,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,all,0.12195121951219512,2.8292682926829267,0.2812121212121212,0.23466666666666663
1,Texas-2019,RandomForest,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,all,0.45121951219512196,2.5609756097560976,0.2545454545454545,0.21187878787878792
2,Texas-2019,SVM,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,all,0.4024390243902439,4.7317073170731705,0.4703030303030303,0.19684848484848483
3,Texas-2019,XGBoost,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,all,0.47560975609756095,3.0365853658536586,0.3018181818181818,0.328
4,Texas-2019,deepAR-multi,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,all,0.6951219512195121,3.0609756097560976,0.3090909090909091,0.31665454545454547
5,Texas-2019,CurRank,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,normalpit,0.125,2.765625,0.27527216174183516,0.27900466562986004
6,Texas-2019,RandomForest,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,normalpit,0.4375,2.5,0.24883359253499224,0.23888024883359257
7,Texas-2019,SVM,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,normalpit,0.375,5.015625,0.49922239502332816,0.16702954898911354
8,Texas-2019,XGBoost,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,normalpit,0.421875,3.078125,0.30637636080870917,0.35738724727838256
9,Texas-2019,deepAR-multi,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,normalpit,0.65625,3.171875,0.3250388802488336,0.37057542768273727
10,Texas-2019,CurRank,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,cautionpit,0.1111111111111111,3.0555555555555554,0.3021978021978022,0.07802197802197801
11,Texas-2019,RandomForest,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,cautionpit,0.5,2.7777777777777777,0.27472527472527475,0.1164835164835165
12,Texas-2019,SVM,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,cautionpit,0.5,3.7222222222222223,0.36813186813186816,0.30219780219780223
13,Texas-2019,XGBoost,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,cautionpit,0.6666666666666666,2.888888888888889,0.2857142857142857,0.2241758241758242
14,Texas-2019,deepAR-multi,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,cautionpit,0.8333333333333334,2.6666666666666665,0.25274725274725274,0.12615384615384614
