,Year,Model,ExpID,laptype,SignAcc,MAE,50-Risk,90-Risk
0,Texas-2019,CurRank,weighted-noinlap-S0LTYP0T-nocate-c60-drank-pitmodel,all,0.12195121951219512,2.8292682926829267,0.2812121212121212,0.23466666666666663
1,Texas-2019,RandomForest,weighted-noinlap-S0LTYP0T-nocate-c60-drank-pitmodel,all,0.5,2.5365853658536586,0.25212121212121213,0.2152727272727273
2,Texas-2019,SVM,weighted-noinlap-S0LTYP0T-nocate-c60-drank-pitmodel,all,0.4024390243902439,4.7317073170731705,0.4703030303030303,0.19684848484848483
3,Texas-2019,XGBoost,weighted-noinlap-S0LTYP0T-nocate-c60-drank-pitmodel,all,0.47560975609756095,3.0365853658536586,0.3018181818181818,0.328
4,Texas-2019,deepARW-MLP,weighted-noinlap-S0LTYP0T-nocate-c60-drank-pitmodel,all,0.6219512195121951,2.6219512195121952,0.2696969696969697,0.23711515151515158
5,Texas-2019,CurRank,weighted-noinlap-S0LTYP0T-nocate-c60-drank-pitmodel,normalpit,0.125,2.765625,0.27527216174183516,0.27900466562986004
6,Texas-2019,RandomForest,weighted-noinlap-S0LTYP0T-nocate-c60-drank-pitmodel,normalpit,0.46875,2.515625,0.25038880248833595,0.24665629860031107
7,Texas-2019,SVM,weighted-noinlap-S0LTYP0T-nocate-c60-drank-pitmodel,normalpit,0.375,5.015625,0.49922239502332816,0.16702954898911354
8,Texas-2019,XGBoost,weighted-noinlap-S0LTYP0T-nocate-c60-drank-pitmodel,normalpit,0.421875,3.078125,0.30637636080870917,0.35738724727838256
9,Texas-2019,deepARW-MLP,weighted-noinlap-S0LTYP0T-nocate-c60-drank-pitmodel,normalpit,0.609375,2.8125,0.2884914463452566,0.28376360808709183
10,Texas-2019,CurRank,weighted-noinlap-S0LTYP0T-nocate-c60-drank-pitmodel,cautionpit,0.1111111111111111,3.0555555555555554,0.3021978021978022,0.07802197802197801
11,Texas-2019,RandomForest,weighted-noinlap-S0LTYP0T-nocate-c60-drank-pitmodel,cautionpit,0.6111111111111112,2.611111111111111,0.25824175824175827,0.1043956043956044
12,Texas-2019,SVM,weighted-noinlap-S0LTYP0T-nocate-c60-drank-pitmodel,cautionpit,0.5,3.7222222222222223,0.36813186813186816,0.30219780219780223
13,Texas-2019,XGBoost,weighted-noinlap-S0LTYP0T-nocate-c60-drank-pitmodel,cautionpit,0.6666666666666666,2.888888888888889,0.2857142857142857,0.2241758241758242
14,Texas-2019,deepARW-MLP,weighted-noinlap-S0LTYP0T-nocate-c60-drank-pitmodel,cautionpit,0.6666666666666666,1.9444444444444444,0.2032967032967033,0.07230769230769232
