,completed_laps,track_status
3,0,G
77,1,G
152,2,G
226,3,G
301,4,G
383,5,G
461,6,G
538,7,G
615,8,G
693,9,G
771,10,G
854,11,G
937,12,G
1017,13,G
1103,14,G
1184,15,G
1268,16,G
1353,17,G
1436,18,G
1519,19,G
1603,20,G
1688,21,G
1775,22,G
1856,23,G
1934,24,G
2019,25,G
2106,26,G
2195,27,G
2282,28,G
2378,29,G
2571,30,G
2730,31,G
2843,32,G
2974,33,G
3063,34,G
3154,35,G
3244,36,G
3329,37,G
3418,38,G
3506,39,G
3595,40,G
3683,41,G
3769,42,G
3856,43,G
3940,44,G
4026,45,G
4113,46,G
4199,47,G
4286,48,G
4374,49,G
4463,50,G
4551,51,G
4638,52,G
4723,53,Y
4827,54,Y
4919,55,Y
6298,56,Y
6405,57,Y
6513,58,Y
6629,59,Y
6713,60,G
6759,61,G
6868,62,G
6945,63,G
6993,64,G
7066,65,G
7142,66,Y
7236,67,Y
7322,68,Y
7412,69,Y
7504,70,Y
7599,71,Y
7684,72,Y
7771,73,Y
7863,74,Y
7950,75,G
8032,76,G
8129,77,G
8206,78,G
8281,79,G
8326,80,G
8432,81,Y
8545,82,Y
8676,83,Y
8775,84,G
8853,85,G
8927,86,G
9004,87,G
9079,88,G
9155,89,G
9227,90,G
9303,91,G
9377,92,G
9452,93,G
9524,94,G
9600,95,G
9678,96,G
9753,97,G
9827,98,G
9901,99,G
9981,100,G
10058,101,G
10136,102,G
10209,103,G
10285,104,G
10369,105,G
10464,106,G
10549,107,G
10627,108,G
10707,109,G
10788,110,G
10863,111,G
10946,112,G
11062,113,G
11190,114,G
11285,115,G
11379,116,G
11454,117,G
11535,118,G
11613,119,G
11692,120,G
11772,121,G
11848,122,Y
11942,123,Y
12031,124,Y
12121,125,Y
12218,126,Y
12318,127,Y
12406,128,Y
12484,129,G
12549,130,G
12629,131,Y
12713,132,Y
12801,133,Y
12890,134,G
12955,135,G
13028,136,G
13102,137,Y
13200,138,Y
13338,139,Y
13447,140,Y
13550,141,Y
13623,142,G
13704,143,Y
13795,144,Y
13882,145,Y
13971,146,Y
14053,147,G
14128,148,G
14204,149,G
14286,150,G
14360,151,G
14435,152,G
14506,153,G
14581,154,G
14657,155,G
14730,156,G
14805,157,G
14876,158,G
14949,159,G
15024,160,G
15100,161,G
15176,162,G
15250,163,G
15327,164,G
15406,165,G
15483,166,G
15572,167,Y
15670,168,Y
15827,169,Y
15926,170,Y
16011,171,G
16075,172,G
16117,173,G
16185,174,G
16287,175,G
16356,176,G
16429,177,G
16471,178,G
16538,179,G
16650,180,Y
16752,181,Y
16814,182,Y
16901,183,G
17006,184,Y
17135,185,Y
17252,186,Y
17378,187,Y
17458,188,Y
17560,189,G
17625,190,G
17694,191,G
17765,192,G
17830,193,G
17896,194,G
17961,195,G
18032,196,G
18103,197,G
18173,198,G
18242,199,G
18314,200,K
