,target,eventid,car_number,stageid,firststage,pit_in_caution,start_position,start_rank,start_rank_ratio,top_pack,bottom_pack,average_rank,average_rank_all,change_in_rank,change_in_rank_all,rate_of_change,rate_of_change_all,prev_nb0_change_in_rank,prev_nb1_change_in_rank,prev_nb2_change_in_rank,follow_nb0_change_in_rank,follow_nb1_change_in_rank,follow_nb2_change_in_rank
0,0,0,1,0,0,0,7,7,0.30434782608695654,0,0,7.0,7.0,0,0.0,0,0.0,0,0,0,0,0,0
1,-5,0,1,1,1,1,7,7,0.30434782608695654,0,0,7.0256410256410255,7.0256410256410255,0,0.0,0,0.0,-2,-1,1,3,0,-1
2,3,0,1,2,1,0,7,2,0.08695652173913043,1,0,2.3289473684210527,3.9217391304347826,-5,-2.5,0,0.0,1,0,0,-5,-5,1
3,-4,0,1,3,1,0,7,5,0.21739130434782608,1,0,5.7368421052631575,4.523255813953488,3,-0.6666666666666666,8,1.5,-1,-2,-3,-6,-8,-5
4,0,0,1,4,1,1,7,1,0.043478260869565216,1,0,3.0714285714285716,4.166666666666667,-4,-1.5,-7,-1.3333333333333333,0,0,0,-1,-2,-3
5,-1,0,4,0,0,0,16,16,0.6956521739130435,0,0,16.0,16.0,0,0.0,0,0.0,0,0,0,0,0,0
6,-3,0,4,1,1,1,16,15,0.6521739130434783,0,0,15.025641025641026,15.025641025641026,-1,-1.0,0,0.0,1,1,-2,-2,-3,1
7,3,0,4,2,1,1,16,12,0.5217391304347826,0,0,14.5,14.976744186046512,-3,-2.0,0,0.0,1,-1,0,-2,1,-3
8,7,0,4,3,1,0,16,15,0.6521739130434783,0,0,16.887323943661972,16.166666666666668,3,-0.3333333333333333,6,2.0,-6,3,-7,-4,-2,-3
9,-1,0,4,4,1,0,16,22,0.9565217391304348,0,1,10.6,15.932773109243698,7,1.5,4,2.6666666666666665,-3,3,-2,0,0,0
10,-1,0,4,5,1,0,16,21,0.9130434782608695,0,1,21.660377358490567,17.697674418604652,-1,1.0,-8,0.0,-3,4,-2,0,0,0
11,-1,0,4,6,1,1,16,20,0.8695652173913043,0,1,20.041666666666668,18.20909090909091,-1,0.6666666666666666,0,0.0,-3,-1,0,0,0,0
12,3,0,5,0,0,0,5,5,0.21739130434782608,1,0,5.0,5.0,0,0.0,0,0.0,0,0,0,0,0,0
13,-3,0,5,1,1,1,5,8,0.34782608695652173,0,0,7.897435897435898,7.897435897435898,3,3.0,0,0.0,0,-2,-1,0,-1,0
14,-3,0,5,2,1,0,5,5,0.21739130434782608,1,0,5.112676056338028,6.1,-3,0.0,0,0.0,-2,-1,0,-1,0,1
15,4,0,5,3,1,0,5,2,0.08695652173913043,1,0,3.0476190476190474,4.988439306358382,-3,-1.0,0,-3.0,-2,0,0,-2,-1,3
16,-1,0,6,0,0,0,6,6,0.2608695652173913,0,0,6.0,6.0,0,0.0,0,0.0,0,0,0,0,0,0
17,-2,0,6,1,1,1,6,5,0.21739130434782608,1,0,5.0256410256410255,5.0256410256410255,-1,-1.0,0,0.0,1,-1,0,-2,0,3
18,-2,0,6,2,1,0,6,3,0.13043478260869565,1,0,3.138888888888889,3.8018018018018016,-2,-1.5,0,0.0,0,1,0,-2,-3,-1
