MyIdx,car_number,completed_laps,rank,elapsed_time,rank_diff,time_diff
24,1,0,23,3.02,0.0,0.0
102,1,1,24,47.9829,1.0,44.9629
175,1,2,24,90.3248,0.0,42.341899999999995
251,1,3,24,131.7858,0.0,41.461
322,1,4,24,172.6174,0.0,40.83160000000001
404,1,5,24,213.9916,0.0,41.3742
482,1,6,24,255.2384,0.0,41.24680000000001
560,1,7,24,296.8965,0.0,41.65809999999999
638,1,8,24,338.4692,0.0,41.5727
715,1,9,24,379.4952,0.0,41.02600000000001
793,1,10,23,420.63300000000004,-1.0,41.13780000000003
878,1,11,23,461.3778,0.0,40.74479999999994
959,1,12,22,502.8777,-1.0,41.499900000000025
1040,1,13,21,543.8069,-1.0,40.92920000000004
1121,1,14,20,584.3817,-1.0,40.57479999999998
1205,1,15,20,625.257,0.0,40.875299999999925
1286,1,16,19,666.4894,-1.0,41.2324000000001
1371,1,17,19,707.3931,0.0,40.90369999999996
1453,1,18,18,748.248,-1.0,40.85490000000004
1536,1,19,18,788.972,0.0,40.72399999999993
1620,1,20,18,829.5426,0.0,40.57060000000001
1705,1,21,18,870.2660000000001,0.0,40.72340000000008
1793,1,22,18,910.8151,0.0,40.54909999999995
1870,1,23,18,951.4983,0.0,40.68319999999994
1952,1,24,18,992.7156,0.0,41.21730000000002
2037,1,25,18,1034.5561,0.0,41.84050000000002
2123,1,26,17,1076.0756,-1.0,41.51949999999988
2211,1,27,17,1118.0636,0.0,41.988000000000056
2301,1,28,16,1159.4318,-1.0,41.368200000000115
2405,1,29,8,1201.2426,-8.0,41.81079999999997
2600,1,30,11,1266.0633,3.0,64.82069999999999
2767,1,31,20,1321.349,9.0,55.285699999999906
2890,1,32,16,1362.1587,-4.0,40.80970000000002
2996,1,33,16,1402.7715,0.0,40.61280000000011
3089,1,34,16,1444.0413,0.0,41.26980000000003
3176,1,35,16,1486.2824,0.0,42.24109999999996
3265,1,36,16,1526.9701,0.0,40.68769999999995
3351,1,37,16,1567.5151,0.0,40.54500000000007
3441,1,38,16,1608.2705,0.0,40.75540000000001
3529,1,39,16,1648.8687,0.0,40.598199999999906
3615,1,40,16,1689.4232,0.0,40.55449999999996
3705,1,41,16,1729.9892,0.0,40.56600000000003
3793,1,42,16,1770.7557,0.0,40.76649999999995
3878,1,43,16,1811.7667,0.0,41.01099999999997
3965,1,44,16,1853.2597,0.0,41.493000000000166
4052,1,45,17,1896.1759,1.0,42.91619999999989
4138,1,46,17,1938.1056,0.0,41.92970000000014
4225,1,47,17,1978.6082,0.0,40.5025999999998
4312,1,48,16,2019.4197,-1.0,40.811500000000024
4402,1,49,16,2060.0616,0.0,40.64190000000008
4494,1,50,16,2100.7654,0.0,40.70380000000023
4578,1,51,16,2141.3648,0.0,40.599399999999605
4664,1,52,16,2182.1398,0.0,40.77500000000009
4758,1,53,15,2243.4115,-1.0,61.27170000000024
4856,1,54,15,2347.4983,0.0,104.08680000000004
4952,1,55,15,2529.5369,0.0,182.03859999999986
6328,1,56,14,2693.1838,-1.0,163.64689999999973
6434,1,57,14,2803.5267,0.0,110.3429000000001
6525,1,58,10,2891.6290000000004,-4.0,88.10230000000047
6642,1,59,10,2986.086,0.0,94.45699999999943
6723,1,60,11,3069.6049,1.0,83.51890000000003
6798,1,61,11,3111.887,0.0,42.282100000000355
6880,1,62,11,3152.5665,0.0,40.679499999999734
6957,1,63,11,3192.9792,0.0,40.412700000000314
7034,1,64,11,3233.1254,0.0,40.14619999999968
7110,1,65,12,3274.7865,1.0,41.66110000000026
7194,1,66,14,3322.1299,2.0,47.34339999999975
7288,1,67,14,3408.2917,0.0,86.16180000000031
7376,1,68,14,3513.4826,0.0,105.1908999999996
7465,1,69,14,3625.1689,0.0,111.6863000000003
7557,1,70,14,3740.4832,0.0,115.3143
7652,1,71,14,3852.9182,0.0,112.43499999999995
7738,1,72,14,3961.6178,0.0,108.69959999999992
7825,1,73,14,4065.4491,0.0,103.83129999999983
7916,1,74,14,4166.9397,0.0,101.49060000000009
7992,1,75,14,4240.9173,0.0,73.97760000000017
8075,1,76,19,4286.725,5.0,45.807700000000295
8151,1,77,19,4329.0377,0.0,42.312699999999495
8228,1,78,20,4369.6321,1.0,40.59439999999995
8302,1,79,19,4409.8481,-1.0,40.21600000000035
8374,1,80,19,4450.137,0.0,40.28889999999956
8455,1,81,19,4504.4616,0.0,54.32459999999992
8597,1,82,21,4600.4605,2.0,95.9989000000005
8700,1,83,18,4684.189,-3.0,83.72850000000017
8783,1,84,18,4764.164000000001,0.0,79.97500000000036
8864,1,85,20,4809.2477,2.0,45.083699999999226
8935,1,86,20,4850.6694,0.0,41.42169999999987
9009,1,87,19,4891.6576,-1.0,40.98819999999978
9083,1,88,19,4932.5595,0.0,40.90190000000075
9162,1,89,21,4975.361,2.0,42.80149999999958
9232,1,90,21,5016.6341,0.0,41.27310000000034
9307,1,91,20,5056.9098,-1.0,40.27570000000014
9383,1,92,20,5098.7382,0.0,41.82839999999942
9456,1,93,20,5139.5884,0.0,40.85019999999986
9532,1,94,20,5180.1744,0.0,40.58600000000024
9609,1,95,20,5221.1261,0.0,40.95170000000053
9685,1,96,20,5263.1115,0.0,41.98539999999957
9759,1,97,20,5303.7781,0.0,40.66660000000047
9834,1,98,20,5344.3888,0.0,40.61069999999927
9911,1,99,20,5384.9943,0.0,40.605500000000575
9989,1,100,21,5426.727,1.0,41.73269999999957
10069,1,101,21,5467.4975,0.0,40.77050000000054
