,target,eventid,car_number,stageid,firststage,pit_in_caution,start_position,start_rank,start_rank_ratio,top_pack,bottom_pack,average_rank,average_rank_all,change_in_rank,change_in_rank_all,rate_of_change,rate_of_change_all,laptime_green_mean_prev,laptime_green_std_prev,laptime_green_mean_all,laptime_green_std_all,laptime_mean_prev,laptime_std_prev,laptime_mean_all,laptime_std_all,laps_prev,laps_after_last_pitstop,pittime_prev,prev_nb0_change_in_rank,prev_nb1_change_in_rank,prev_nb2_change_in_rank,follow_nb0_change_in_rank,follow_nb1_change_in_rank,follow_nb2_change_in_rank
0,0,0,1,0,0,0,7,7,0.30434782608695654,0,0,7.0,7.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
1,-5,0,1,1,1,1,7,7,0.30434782608695654,0,0,7.0256410256410255,7.0256410256410255,0,0.0,0,0.0,22.588235897435897,2.9480485662498483,22.588235897435897,2.9480485662498483,22.588235897435897,2.9480485662498483,22.588235897435897,2.9480485662498483,39,39,31.7661,-2,-1,1,3,0,-1
2,3,0,1,2,1,0,7,2,0.08695652173913043,1,0,2.3289473684210527,3.9217391304347826,-5,-2.5,0,0.0,22.67405373134328,1.9675223005300584,22.642479245283017,2.3761726372910603,25.738298684210527,9.062432849645859,24.670016521739132,7.710187978680973,76,72,59.63585,1,0,0,-5,-5,1
3,-4,0,1,3,1,0,7,5,0.21739130434782608,1,0,5.7368421052631575,4.523255813953488,3,-0.6666666666666666,8,1.5,23.293552631578944,3.680771052856412,22.870155214723926,2.9164752064284842,23.293552631578944,3.680771052856412,24.21386279069768,6.682522872372249,57,53,40.4385,-1,-2,-3,-6,-8,-5
4,0,0,1,4,1,1,7,1,0.043478260869565216,1,0,3.0714285714285716,4.166666666666667,-4,-1.5,-7,-1.3333333333333333,23.021626785714286,3.492479692163633,22.908887671232872,3.074762053545129,23.021626785714286,3.492479692163633,23.921032894736843,6.07841864802978,56,52,39.5124,0,0,0,-1,-2,-3
5,-1,0,4,0,0,0,16,16,0.6956521739130435,0,0,16.0,16.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
6,-3,0,4,1,1,1,16,15,0.6521739130434783,0,0,15.025641025641026,15.025641025641026,-1,-1.0,0,0.0,22.55506153846154,1.745669139447148,22.55506153846154,1.745669139447148,22.55506153846154,1.745669139447148,22.55506153846154,1.745669139447148,39,39,28.408700000000003,1,1,-2,-2,-3,1
7,3,0,4,2,1,1,16,12,0.5217391304347826,0,0,14.5,14.976744186046512,-3,-2.0,0,0.0,22.3712,0.0,22.550465,1.7239491652235575,33.7338,13.781467069945782,23.59494418604651,5.565510230075123,4,43,28.408700000000003,1,-1,0,-2,1,-3
8,7,0,4,3,1,0,16,15,0.6521739130434783,0,0,16.887323943661972,16.166666666666668,3,-0.3333333333333333,6,2.0,22.650114062500002,0.8937294833077271,22.6117875,1.279440273780169,25.416905633802816,8.978086431627348,24.72967456140351,7.916144471920519,71,67,48.167500000000004,-6,3,-7,-4,-2,-3
9,-1,0,4,4,1,0,16,22,0.9565217391304348,0,1,10.6,15.932773109243698,7,1.5,4,2.6666666666666665,25.104240000000004,3.7859283187086374,22.726120183486234,1.578373424309059,25.104240000000004,3.7859283187086374,24.745412605042016,7.787183730638122,5,1,126.4048,-3,3,-2,0,0,0
10,-1,0,4,5,1,0,16,21,0.9130434782608695,0,1,21.660377358490567,17.697674418604652,-1,1.0,-8,0.0,26.986364150943388,26.92011863908292,24.11990370370371,15.580831027912364,26.986364150943388,26.92011863908292,25.435938372093027,16.319671733347615,53,49,35.7087,-3,4,-2,0,0,0
11,-1,0,4,6,1,1,16,20,0.8695652173913043,0,1,20.041666666666668,18.20909090909091,-1,0.6666666666666666,0,0.0,23.21472978723404,4.354916414905669,23.916347846889952,13.877231686836927,23.209320833333333,4.309473482435641,24.95013090909091,14.598651640805395,48,44,41.837,-3,-1,0,0,0,0
12,3,0,5,0,0,0,5,5,0.21739130434782608,1,0,5.0,5.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
13,-3,0,5,1,1,1,5,8,0.34782608695652173,0,0,7.897435897435898,7.897435897435898,3,3.0,0,0.0,22.646512820512818,3.1883227441093327,22.646512820512818,3.1883227441093327,22.646512820512818,3.1883227441093327,22.646512820512818,3.1883227441093327,39,39,32.62165,0,-2,-1,0,-1,0
14,-3,0,5,2,1,0,5,5,0.21739130434782608,1,0,5.112676056338028,6.1,-3,0.0,0,0.0,22.626137096774194,1.9044008262895222,22.63400495049505,2.480255994787324,25.929818309859154,9.357422465845637,24.76573727272727,7.911252793686392,71,67,59.79625,-2,-1,0,-1,0,1
15,4,0,5,3,1,0,5,2,0.08695652173913043,1,0,3.0476190476190474,4.988439306358382,-3,-1.0,0,-3.0,23.239104761904766,3.4020135638629494,22.866451829268293,2.884639223510234,23.239104761904766,3.4020135638629494,24.20979595375723,6.674588658489856,63,59,40.25205,-2,0,0,-2,-1,3
16,-1,0,6,0,0,0,6,6,0.2608695652173913,0,0,6.0,6.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
17,-2,0,6,1,1,1,6,5,0.21739130434782608,1,0,5.0256410256410255,5.0256410256410255,-1,-1.0,0,0.0,22.591297435897435,3.1002075530591027,22.591297435897435,3.1002075530591027,22.591297435897435,3.1002075530591027,22.591297435897435,3.1002075530591027,39,39,31.878500000000003,1,-1,0,-2,0,3
18,-2,0,6,2,1,0,6,3,0.13043478260869565,1,0,3.138888888888889,3.8018018018018016,-2,-1.5,0,0.0,22.641250793650794,1.9933657419624555,22.62215098039216,2.4758267308368915,25.897131944444443,9.367291766801985,24.73562252252252,7.923636621915432,72,68,60.5349,0,1,0,-2,-3,-1
19,1,0,6,3,1,0,6,1,0.043478260869565216,1,0,2.8253968253968256,3.4482758620689653,-2,-1.6666666666666667,0,-0.5,23.24973333333333,3.5151258961851917,22.861773333333332,2.9325810452028143,23.24973333333333,3.5151258961851917,24.197628160919542,6.710856813964988,63,59,40.6449,0,0,0,-3,-2,-1
20,1,0,9,0,0,0,17,17,0.7391304347826086,0,0,17.0,17.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
21,-8,0,9,1,1,1,17,18,0.782608695652174,0,1,17.974358974358974,17.974358974358974,1,1.0,0,0.0,22.713723076923078,1.6067845912880756,22.713723076923078,1.6067845912880756,22.713723076923078,1.6067845912880756,22.713723076923078,1.6067845912880756,39,39,28.219,-3,-2,-1,0,-3,6
22,-3,0,9,2,1,0,17,10,0.43478260869565216,0,0,11.301369863013699,13.625,-8,-3.5,0,0.0,22.585785714285716,1.3424665578710957,22.634702941176467,1.4505658956215564,25.709671232876712,8.960939993110731,24.666439285714283,7.4346163452671705,73,69,57.75045,-6,1,1,0,-2,-3
23,-2,0,9,3,1,0,17,7,0.30434782608695654,0,0,8.62295081967213,11.861271676300579,-3,-3.3333333333333335,5,-2.0,23.250231147540987,3.4461842805136436,22.86505398773006,2.4186546331097456,23.250231147540987,3.4461842805136436,24.16708265895954,6.358412215574537,61,57,40.34565,-6,3,-1,4,2,-12
24,-1,0,9,4,1,1,17,5,0.21739130434782608,1,0,6.5636363636363635,10.583333333333334,-2,-3.0,1,-1.0,23.026814545454545,3.6995617447779945,22.90586513761468,2.7985741907731656,23.026814545454545,3.6995617447779945,23.892017982456142,5.849471364605055,55,51,40.2631,-3,-2,-1,-11,6,0
25,-1,0,10,0,0,0,11,11,0.4782608695652174,0,0,11.0,11.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
26,-5,0,10,1,1,1,11,10,0.43478260869565216,0,0,10.051282051282051,10.051282051282051,-1,-1.0,0,0.0,22.54528974358974,2.4651395280420374,22.54528974358974,2.4651395280420374,22.54528974358974,2.4651395280420374,22.54528974358974,2.4651395280420374,39,39,30.514200000000002,0,3,0,0,-2,1
27,-1,0,10,2,1,0,11,5,0.21739130434782608,1,0,6.162162162162162,7.504424778761062,-5,-3.0,0,0.0,22.642944615384618,1.787012779346563,22.606324038461537,2.0680816272154248,25.808427027027022,9.11928962329818,24.68221150442478,7.678781300691534,74,70,59.28685,-3,-2,0,0,1,1
28,15,0,10,3,1,0,11,4,0.17391304347826086,1,0,4.758620689655173,6.573099415204679,-1,-2.3333333333333335,4,0.0,23.24846896551724,3.619035784056057,22.83622777777778,2.7440261113749282,23.24846896551724,3.619035784056057,24.195912865497075,6.623250342627933,58,54,40.63575,-2,-3,-2,-5,-6,-8
29,1,0,12,0,0,0,3,3,0.13043478260869565,1,0,3.0,3.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
30,-3,0,12,1,1,1,3,4,0.17391304347826086,1,0,3.948717948717949,3.948717948717949,1,1.0,0,0.0,22.64864615384615,3.4632061980450306,22.64864615384615,3.4632061980450306,22.64864615384615,3.4632061980450306,22.64864615384615,3.4632061980450306,39,39,32.92015,-1,0,0,-1,-2,0
31,4,0,12,2,1,0,3,1,0.043478260869565216,1,0,1.1851851851851851,2.0833333333333335,-3,-1.0,0,0.0,22.65972916666667,1.9836627095853028,22.65583513513514,2.6012389193983223,25.54443333333333,8.929248498883588,24.603302499999998,7.717274103965968,81,77,60.50315,0,0,0,1,1,2
32,0,0,12,3,1,0,3,5,0.21739130434782608,1,0,4.586206896551724,2.5704697986577183,4,0.6666666666666666,7,1.5,23.617544827586205,5.102871811832087,22.85504642857143,3.3031162306959843,23.617544827586205,5.102871811832087,24.41144362416107,7.292817665423773,29,25,40.32645,-5,-2,-3,-5,-6,-8
33,17,0,12,4,1,0,3,5,0.21739130434782608,1,0,5.0,2.5866666666666664,0,0.5,-4,-0.3333333333333333,23.0267,0.0,22.85626382978723,3.2914137304729127,23.0267,0.0,24.402212,7.269341082995257,1,26,40.32645,-5,-2,-3,-5,-6,-8
34,0,0,14,0,0,0,9,9,0.391304347826087,0,0,9.0,9.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
35,-5,0,14,1,1,1,9,9,0.391304347826087,0,0,9.0,9.0,0,0.0,0,0.0,22.576889743589742,2.7704323412295606,22.576889743589742,2.7704323412295606,22.576889743589742,2.7704323412295606,22.576889743589742,2.7704323412295606,39,39,31.35575,3,0,-2,-1,0,-2
36,4,0,14,2,1,0,9,4,0.17391304347826086,1,0,7.078947368421052,7.730434782608696,-5,-2.5,0,0.0,22.646135820895523,1.6005369978239896,22.620658490566036,2.108137585323673,25.75666052631579,9.103882149305417,24.67830347826087,7.722843584822891,76,72,60.39495,-5,-5,1,1,1,-8
37,0,0,14,3,1,0,9,8,0.34782608695652173,0,0,8.741379310344827,8.06936416184971,4,-0.3333333333333333,9,2.0,23.304074137931032,3.7711987706993457,22.86235426829268,2.8300126494880318,23.304074137931032,3.7711987706993457,24.217579190751444,6.695935150653978,58,54,41.0791,-3,-6,3,2,-12,-11
38,0,0,14,4,1,1,9,8,0.34782608695652173,0,0,8.763636363636364,8.236842105263158,0,-0.25,-4,0.0,23.043325454545457,3.741362790370676,22.90780365296804,3.0853157891830274,23.043325454545457,3.741362790370676,23.934316228070177,6.135878162206872,55,51,40.4583,6,-11,-2,5,0,9
39,1,0,15,0,0,0,12,12,0.5217391304347826,0,0,12.0,12.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
40,-12,0,15,1,1,1,12,13,0.5652173913043478,0,0,12.974358974358974,12.974358974358974,1,1.0,0,0.0,22.590464102564102,2.1248352490568414,22.590464102564102,2.1248352490568414,22.590464102564102,2.1248352490568414,22.590464102564102,2.1248352490568414,39,39,29.647599999999997,-2,0,-1,1,-1,-2
41,1,0,15,2,1,0,12,1,0.043478260869565216,1,0,7.764705882352941,9.403225806451612,-12,-5.5,0,0.0,22.614666666666665,1.449291086412787,22.606386842105266,1.7107258310033076,25.372390588235287,8.558817309688138,24.497429838709674,7.300858123226379,85,81,59.1838,0,0,0,-11,-3,-3
42,9,0,15,3,1,0,12,2,0.08695652173913043,1,0,8.466666666666667,9.097826086956522,1,-3.3333333333333335,13,0.0,23.40576833333334,3.2625808343749205,22.882035632183907,2.3942174143863872,23.40576833333334,3.2625808343749205,24.141453260869564,6.297155497670134,60,56,40.38845,-2,0,0,-11,-4,3
43,-2,0,15,4,1,1,12,11,0.4782608695652174,0,0,10.227272727272727,9.31578947368421,9,-0.25,8,2.6666666666666665,23.088418181818184,3.56516035424602,22.923690825688073,2.6734922628213034,23.088418181818184,3.56516035424602,23.938235964912277,5.884486768020196,44,40,39.169250000000005,0,5,0,10,-8,3
44,0,0,18,0,0,0,1,1,0.043478260869565216,1,0,1.0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
45,12,0,18,1,1,1,1,1,0.043478260869565216,1,0,1.0,1.0,0,0.0,0,0.0,22.6808358974359,3.831755940550252,22.6808358974359,3.831755940550252,22.6808358974359,3.831755940550252,22.6808358974359,3.831755940550252,39,39,33.619350000000004,0,0,0,0,-1,1
46,-4,0,18,2,1,0,1,13,0.5652173913043478,0,0,6.333333333333333,2.0,12,6.0,0,0.0,23.0637,0.08699999999999974,22.699512195121955,3.738089367199285,44.98598888888889,16.059979859572568,26.863052083333333,11.66550494572548,9,5,66.20384999999999,0,-2,1,-3,-2,-3
47,-8,0,18,3,1,0,1,9,0.391304347826087,0,0,20.233766233766232,13.232,-4,2.6666666666666665,-16,-2.0,23.006375999999996,2.274624183278929,22.897915517241383,2.8819378503075113,23.583263636363636,4.189961430746734,24.842702400000004,8.100316251598713,77,73,34.67415,-5,-3,-5,-6,-8,-5
48,11,0,18,4,1,0,1,1,0.043478260869565216,1,0,12.558441558441558,12.975247524752476,-8,0.0,-4,-2.6666666666666665,22.969144155844152,3.396242493196815,22.926333160621763,3.0975789373137874,22.969144155844152,3.396242493196815,24.128524257425745,6.769654506566267,77,73,41.2076,0,0,0,3,-1,-2
49,1,0,18,5,1,1,1,12,0.5217391304347826,0,0,12.212121212121213,12.86808510638298,11,2.2,19,2.75,23.724215384615384,5.21923450235114,23.021058904109594,3.4287740621629412,27.757039393939394,9.703072486555854,24.638060425531915,7.362269495278932,33,29,40.020700000000005,10,0,9,1,-1,1
50,3,0,19,0,0,0,10,10,0.43478260869565216,0,0,10.0,10.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
51,-2,0,20,0,0,0,18,18,0.782608695652174,0,1,18.0,18.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
52,-6,0,20,1,1,1,18,16,0.6956521739130435,0,0,16.102564102564102,16.102564102564102,-2,-2.0,0,0.0,22.597520512820513,1.6467308310211588,22.597520512820513,1.6467308310211588,22.597520512820513,1.6467308310211588,22.597520512820513,1.6467308310211588,39,39,28.20615,-1,1,1,-3,1,0
53,-6,0,20,2,1,0,18,10,0.43478260869565216,0,0,10.450704225352112,12.454545454545455,-6,-4.0,0,0.0,22.54879180327869,1.3236972567916474,22.567796,1.4584111351001134,25.83998309859155,9.240420962348225,24.69038272727272,7.647206378384904,71,67,59.18755,1,1,0,1,0,-3
54,5,0,20,3,1,0,18,4,0.17391304347826086,1,0,8.075757575757576,10.8125,-6,-4.666666666666667,0,-2.0,23.241869696969694,3.3575292923639144,22.835801204819273,2.423255830911532,23.241869696969694,3.3575292923639144,24.147190340909095,6.424094703374014,66,62,40.6404,-3,-2,-2,-3,4,2
55,-2,0,20,4,1,1,18,9,0.391304347826087,0,0,8.903846153846153,10.37719298245614,5,-2.25,11,2.3333333333333335,23.071119230769227,3.765639125599473,22.891932110091748,2.804268234051484,23.071119230769227,3.765639125599473,23.90177061403509,5.940931604973231,52,48,40.420249999999996,0,6,-11,0,9,10
56,6,0,21,0,0,0,15,15,0.6521739130434783,0,0,15.0,15.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
57,-4,0,21,1,1,1,15,21,0.9130434782608695,0,1,20.512820512820515,20.512820512820515,6,6.0,0,0.0,22.91005641025641,1.7953689002820377,22.91005641025641,1.7953689002820377,22.91005641025641,1.7953689002820377,22.91005641025641,1.7953689002820377,39,39,29.14795,-3,0,1,0,0,0
58,0,0,21,2,1,0,15,17,0.7391304347826086,0,0,18.16216216216216,18.97345132743363,-4,1.0,0,0.0,22.776801562499998,0.8925168224066189,22.827257281553397,1.3113487234469,25.81458378378378,8.63155654862838,24.81213628318584,7.1978675398762295,74,70,59.7214,-2,-3,3,-2,-3,16
59,-1,0,21,3,1,0,15,17,0.7391304347826086,0,0,16.483870967741936,18.091428571428573,0,0.6666666666666666,4,-3.0,23.438641935483876,3.810914965258994,23.056989696969698,2.5726060645007367,23.438641935483876,3.810914965258994,24.32552685714285,6.24747045556555,62,58,41.937200000000004,-4,-2,1,-1,-3,-1
60,0,0,21,4,1,1,15,16,0.6956521739130435,0,0,16.894736842105264,17.79741379310345,-1,0.25,-1,-2.3333333333333335,23.30347115384616,4.426655575007483,23.116054377880182,3.120747052222511,24.89393157894737,7.199412004868515,24.465178017241378,6.498903704265704,57,53,43.15955,3,-2,1,0,3,-1
61,-2,0,21,5,1,1,15,16,0.6956521739130435,0,0,16.0,17.77446808510638,0,0.2,1,-1.5,,,23.116054377880182,3.120747052222511,39.94123333333334,7.570391648315754,24.662744680851063,6.741418042197294,3,56,43.15955,1,-1,1,-1,-1,-1
62,0,0,22,0,0,0,2,2,0.08695652173913043,1,0,2.0,2.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
63,2,0,22,1,1,1,2,2,0.08695652173913043,1,0,2.0,2.0,0,0.0,0,0.0,22.651130769230768,3.56152637798803,22.651130769230768,3.56152637798803,22.651130769230768,3.56152637798803,22.651130769230768,3.56152637798803,39,39,32.96855,0,0,0,-1,1,-1
64,-2,0,22,2,1,0,2,4,0.17391304347826086,1,0,11.05,8.084033613445378,2,1.0,0,0.0,22.628253521126762,1.2230712287747658,22.636364545454544,2.3372801588243304,25.676781249999998,9.370726200995495,24.685181512605038,8.07504394763873,80,76,65.05945,1,1,1,-5,-5,-5
65,10,0,22,3,1,0,2,2,0.08695652173913043,1,0,9.26984126984127,8.494505494505495,-2,0.0,-4,-1.0,23.316734920634914,3.6435510777592883,22.884129479768788,2.900880683077924,23.316734920634914,3.6435510777592883,24.211488461538465,6.903195115492475,63,59,41.119150000000005,-3,0,0,-12,-5,-4
66,-2,0,22,4,1,1,2,12,0.5217391304347826,0,0,11.304347826086957,9.06140350877193,10,2.5,12,3.3333333333333335,23.078002173913045,4.226416138047908,22.924851598173515,3.225794246161789,23.078002173913045,4.226416138047908,23.982802631578945,6.469192388082778,46,42,40.8244,9,0,5,-8,3,1
67,-1,0,23,0,0,0,22,22,0.9565217391304348,0,1,22.0,22.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
68,-2,0,23,1,1,1,22,21,0.9130434782608695,0,1,22.023255813953487,22.023255813953487,-1,-1.0,0,0.0,22.8614675,1.2065511428007312,22.8614675,1.2065511428007312,24.551537209302328,6.994943921314623,24.551537209302328,6.994943921314623,43,43,26.9093,-2,1,6,1,0,0
