,target,eventid,car_number,stageid,firststage,pit_in_caution,start_position,start_rank,start_rank_ratio,top_pack,bottom_pack,average_rank,average_rank_all,change_in_rank,change_in_rank_all,rate_of_change,rate_of_change_all,laptime_green_mean_prev,laptime_green_std_prev,laptime_green_mean_all,laptime_green_std_all,laptime_mean_prev,laptime_std_prev,laptime_mean_all,laptime_std_all,laps_prev,laps_after_last_pitstop,pittime_prev,prev_nb0_change_in_rank,prev_nb1_change_in_rank,prev_nb2_change_in_rank,follow_nb0_change_in_rank,follow_nb1_change_in_rank,follow_nb2_change_in_rank
0,0,0,1,0,0,0,7,7,0.30434782608695654,0,0,7.0,7.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
1,-2,0,1,1,1,1,7,7,0.30434782608695654,0,0,7.023255813953488,7.023255813953488,0,0.0,0,0.0,21.653448780487803,3.4807161440113785,21.653448780487803,3.4807161440113785,22.714030232558137,6.431794412192741,22.714030232558137,6.431794412192741,43,43,11.54325,-2,-1,1,3,0,-1
2,6,0,1,2,1,0,7,5,0.21739130434782608,1,0,2.0657894736842106,3.857142857142857,-2,-1.0,0,0.0,22.673615942028984,1.935848697272442,22.293371818181818,2.666415621702731,25.16469342105263,8.306324116905644,24.279159663865546,7.771622412906661,76,76,59.635850000000005,0,-2,7,-3,18,2
3,-7,0,1,3,1,0,7,11,0.4782608695652174,0,0,5.9298245614035086,4.528409090909091,6,1.3333333333333333,8,3.0,23.3134298245614,3.680356253301541,22.641535329341316,3.088715582463147,23.3134298245614,3.680356253301541,23.96639488636363,6.740053886968204,57,57,40.438499999999976,-12,-9,-18,-6,-7,4
4,-3,0,1,4,1,1,7,4,0.17391304347826086,1,0,2.8035714285714284,4.112068965517241,-7,-0.75,-13,-2.3333333333333335,22.982750943396223,3.588209485829575,22.723737272727274,3.2194576061775413,23.774894642857152,5.478078953344737,23.920170689655176,6.458577207214814,56,56,39.51240000000007,-8,-2,-2,-4,2,-3
5,-4,0,4,0,0,0,16,16,0.6956521739130435,0,0,16.0,16.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
6,8,0,4,1,1,1,16,12,0.5217391304347826,0,0,14.976744186046512,14.976744186046512,-4,-4.0,0,0.0,21.73182,3.5236751392686583,21.73182,3.5236751392686583,22.83341395348837,6.433862432711863,22.83341395348837,6.433862432711863,43,43,12.0358,-2,-1,0,-5,-3,-5
7,-13,0,4,2,1,1,16,20,0.8695652173913043,0,1,18.0,15.23404255319149,8,2.0,0,0.0,,,21.73182,3.5236751392686583,54.15445,11.877612420537254,25.49903404255319,11.236667902883495,4,4,63.711200000000076,-1,3,-3,0,0,0
8,15,0,4,3,1,0,16,7,0.30434782608695654,0,0,16.52112676056338,16.008474576271187,-13,-3.0,-21,-4.5,22.683247058823532,0.8784462517406857,22.330866666666672,2.3012131248780787,23.673746478873245,4.834110308514067,24.40076779661017,8.071574934990466,71,71,48.16750000000002,0,-2,7,18,2,4
9,-2,0,4,4,1,0,16,22,0.9565217391304348,0,1,19.0,16.130081300813007,15,1.5,28,6.333333333333333,63.95631999999996,78.19585575093869,24.172700884955752,18.678684559577373,63.95631999999996,78.19585575093869,26.008717073170732,19.28938568519771,5,5,126.40480000000002,0,2,-12,0,0,0
10,0,0,4,5,1,0,16,20,0.8695652173913043,0,1,21.547169811320753,17.761363636363637,-2,0.8,-17,0.5,23.256688679245272,2.6872807598971273,23.880239156626505,15.491534588154815,23.256688679245272,2.6872807598971273,25.17998125,16.241983021896345,53,53,35.70869999999991,0,-2,5,0,0,0
11,-1,0,4,6,1,1,16,20,0.8695652173913043,0,1,20.0,18.241071428571427,0,0.6666666666666666,2,0.8,23.294213953488377,4.54418581212904,23.759669377990427,13.96126079067656,24.433643750000005,6.024960694751033,25.020051785714283,14.667835477575728,48,48,41.837000000000444,-3,-1,4,0,0,0
12,3,0,5,0,0,0,5,5,0.21739130434782608,1,0,5.0,5.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
13,2,0,5,1,1,1,5,8,0.34782608695652173,0,0,7.906976744186046,7.906976744186046,3,3.0,0,0.0,21.66599512195122,3.4715550651988676,21.66599512195122,3.4715550651988676,22.733660465116277,6.424248529255877,22.733660465116277,6.424248529255877,43,43,11.5826,0,-2,-1,0,-1,-2
14,-2,0,5,2,1,0,5,10,0.43478260869565216,0,0,4.915492957746479,6.043859649122807,2,2.5,0,0.0,22.6278296875,1.8709009923930737,22.25225619047619,2.6569874158858857,25.31177605633803,8.587249379207197,24.339328947368422,7.940709519015927,71,71,59.79625000000004,0,-3,-2,-5,-6,6
15,-2,0,5,3,1,0,5,8,0.34782608695652173,0,0,2.9047619047619047,4.926553672316384,-2,1.0,-4,-2.5,23.275165079365085,3.4044396297700765,22.635847023809525,3.000633903542126,23.275165079365085,3.4044396297700765,23.960558757062152,6.707946412446504,63,63,40.252050000000054,-12,-9,-18,-1,4,-6
16,-1,0,6,0,0,0,6,6,0.2608695652173913,0,0,6.0,6.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
17,4,0,6,1,1,1,6,5,0.21739130434782608,1,0,5.023255813953488,5.023255813953488,-1,-1.0,0,0.0,21.64072195121951,3.4969590702189275,21.64072195121951,3.4969590702189275,22.683418604651163,6.385397507112609,22.683418604651163,6.385397507112609,43,43,11.234449999999999,1,-1,0,-2,0,3
18,-2,0,6,2,1,0,6,9,0.391304347826087,0,0,3.0277777777777777,3.773913043478261,4,1.5,0,0.0,22.64108,1.9571738963028642,22.25414905660377,2.70485513273871,25.30204861111111,8.627294600439695,24.322908695652174,7.965597552033865,72,72,60.53489999999999,0,-3,-2,-5,-6,8
19,-5,0,6,3,1,0,6,7,0.30434782608695654,0,0,2.6984126984126986,3.393258426966292,-2,0.3333333333333333,-6,-0.5,23.2684873015873,3.5160145773436184,22.632275147928993,3.072117617454958,23.2684873015873,3.5160145773436184,23.94971460674157,6.754489613093074,63,63,40.64490000000001,-12,-9,-18,-6,-9,4
20,-3,0,9,0,0,0,17,17,0.7391304347826086,0,0,17.0,17.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
21,-4,0,9,1,1,1,17,14,0.6086956521739131,0,0,17.930232558139537,17.930232558139537,-3,-3.0,0,0.0,21.9124575,3.5557423846425866,21.9124575,3.5557423846425866,22.892030232558138,6.2192341995314,22.892030232558138,6.2192341995314,43,43,12.24695,-5,-4,-2,-5,-3,-6
22,-1,0,9,2,1,0,17,10,0.43478260869565216,0,0,10.821917808219178,13.456896551724139,-4,-3.5,0,0.0,22.612537878787876,1.316098847117242,22.34835660377358,2.4422739176191466,25.1845205479452,8.225119217355745,24.334718103448274,7.624849537369059,73,73,57.75045,-6,-5,0,8,3,0
23,-4,0,9,3,1,0,17,9,0.391304347826087,0,0,8.459016393442623,11.734463276836157,-1,-2.6666666666666665,3,1.0,23.2907,3.4476679275545563,22.692565868263472,2.8867985451797127,23.2907,3.4476679275545563,23.974915254237285,6.514951043487036,61,61,40.34564999999998,-2,-12,-9,4,-6,-7
24,-1,0,9,4,1,1,17,5,0.21739130434782608,1,0,6.418181818181818,10.474137931034482,-4,-3.0,-3,-0.3333333333333333,22.970836538461544,3.800121948095337,22.75863926940639,3.130138427783671,23.790076363636366,5.640059882885324,23.93109568965517,6.31899527223948,55,55,40.26310000000012,-7,-8,-2,2,-3,3
25,-1,0,10,0,0,0,11,11,0.4782608695652174,0,0,11.0,11.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
26,-3,0,10,1,1,1,11,10,0.43478260869565216,0,0,10.046511627906977,10.046511627906977,-1,-1.0,0,0.0,21.673163414634143,3.4712852026904395,21.673163414634143,3.4712852026904395,22.759337209302323,6.422144868870145,22.759337209302323,6.422144868870145,43,43,11.7983,0,3,0,-2,-4,-5
27,5,0,10,2,1,0,11,7,0.30434782608695654,0,0,5.824324324324325,7.3760683760683765,-3,-2.0,0,0.0,22.641691044776117,1.7570948166068525,22.27400925925926,2.5905037301701332,25.202347297297298,8.357324094715628,24.304488888888887,7.792351618134661,74,74,59.286850000000015,0,-2,7,8,-6,-7
28,7,0,10,3,1,0,11,12,0.5217391304347826,0,0,4.775862068965517,6.514285714285714,5,0.3333333333333333,8,3.0,23.276079310344826,3.618783849999897,22.624130120481926,3.0281734944262557,23.276079310344826,3.618783849999897,23.963644571428567,6.7209197254765005,58,58,40.635749999999916,-12,-9,-18,-6,-7,4
29,1,0,12,0,0,0,3,3,0.13043478260869565,1,0,3.0,3.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
30,-1,0,12,1,1,1,3,4,0.17391304347826086,1,0,3.953488372093023,3.953488372093023,1,1.0,0,0.0,21.62710975609756,3.4984045347394157,21.62710975609756,3.4984045347394157,22.663534883720928,6.461818243572706,22.663534883720928,6.461818243572706,43,43,11.12755,-1,0,0,-1,-2,0
31,13,0,12,2,1,0,3,3,0.13043478260869565,1,0,1.037037037037037,2.0483870967741935,-1,0.0,0,0.0,22.630925675675673,1.9494864119959707,22.273043478260867,2.6533216992104274,24.993414814814813,8.194536414220034,24.18547258064516,7.718394846219736,81,81,60.50315000000006,-2,7,0,2,4,6
32,6,0,12,3,1,0,3,16,0.6956521739130435,0,0,5.068965517241379,2.6209150326797386,13,4.333333333333333,14,6.0,23.652489655172413,5.0970772996069496,22.550848611111107,3.340730374608418,23.652489655172413,5.0970772996069496,24.084449673202613,7.297251278241276,29,29,40.32645000000002,-12,4,-7,-6,-9,-2
33,0,0,12,4,1,0,3,22,0.9565217391304348,0,1,16.0,2.707792207792208,6,4.75,-7,1.6666666666666667,47.54390000000012,0.0,22.72321448275862,3.919406805398488,47.54390000000012,0.0,24.236783766233764,7.513625370847134,1,1,139.72325,15,0,2,0,0,0
34,0,0,14,0,0,0,9,9,0.391304347826087,0,0,9.0,9.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
