,lap_distance,start_lap,caution_distance,eventid,car_number,stageid,pit_in_caution,yellowflag_raised,start_position,start_rank,end_rank
0,81,0,1,3,1,0,0,0,2,2,1
1,63,80,4,3,1,1,1,1,2,1,1
2,83,142,1,3,1,2,0,1,2,1,3
3,74,224,4,3,1,3,1,1,2,3,2
4,77,0,1,3,5,0,0,0,11,11,6
5,67,76,5,3,5,1,1,1,11,6,4
6,82,142,1,3,5,2,0,1,11,4,7
7,80,0,1,3,6,0,0,0,7,7,3
8,68,79,10,3,6,1,1,1,7,3,6
9,79,146,1,3,6,2,0,1,7,6,4
10,74,224,5,3,6,3,1,1,7,4,5
11,81,0,1,3,9,0,0,0,6,6,6
12,66,80,10,3,9,1,1,1,6,6,12
13,82,145,1,3,9,2,0,1,6,12,8
14,36,226,1,3,9,3,0,0,6,8,11
15,56,0,1,3,10,0,0,0,8,8,17
16,46,55,1,3,10,1,0,0,8,17,13
17,46,100,10,3,10,2,1,1,8,13,14
18,39,145,1,3,10,3,0,1,8,14,13
19,58,183,1,3,10,4,0,0,8,13,12
20,80,0,1,3,12,0,0,0,1,1,2
21,68,79,10,3,12,1,1,1,1,2,7
22,77,146,1,3,12,2,0,1,1,7,9
23,45,0,1,3,14,0,0,0,13,13,21
24,57,44,1,3,14,1,0,0,13,21,20
25,43,100,10,3,14,2,1,1,13,20,20
26,76,142,1,3,14,3,0,1,13,20,18
27,69,0,1,3,15,0,0,0,12,12,17
28,79,68,10,3,15,1,1,1,12,17,9
29,80,146,1,3,15,2,0,1,12,9,3
30,72,225,4,3,15,3,1,1,12,3,7
31,94,0,1,3,18,0,0,0,15,15,16
32,52,93,10,3,18,1,1,1,15,16,15
33,92,144,1,3,18,2,0,1,15,15,13
34,81,0,1,3,19,0,0,0,20,20,17
35,35,80,1,3,19,1,0,0,20,17,19
36,30,114,10,3,19,2,1,1,20,19,19
37,36,143,1,3,19,3,0,1,20,19,19
38,62,178,1,3,19,4,0,0,20,19,19
39,51,239,6,3,19,5,1,1,20,19,18
40,70,0,1,3,20,0,0,0,9,9,16
41,78,69,10,3,20,1,1,1,9,16,8
42,79,146,1,3,20,2,0,1,9,8,7
43,72,224,4,3,20,3,1,1,9,7,9
44,74,0,1,3,21,0,0,0,18,18,10
45,70,73,5,3,21,1,1,1,18,10,2
46,81,142,1,3,21,2,0,1,18,2,6
47,70,0,1,3,22,0,0,0,4,4,14
48,78,69,9,3,22,1,1,1,4,14,10
49,80,146,1,3,22,2,0,1,4,10,2
50,72,225,5,3,22,3,1,1,4,2,8
51,80,0,1,3,23,0,0,0,17,17,18
52,66,79,10,3,23,1,1,1,17,18,17
53,79,144,1,3,23,2,0,1,17,17,15
54,75,0,1,3,26,0,0,0,14,14,10
55,68,74,5,3,26,1,1,1,14,10,11
56,5,141,9,3,26,2,1,1,14,11,11
57,70,145,1,3,26,3,0,1,14,11,20
58,64,214,5,3,26,4,1,1,14,20,20
59,81,0,1,3,27,0,0,0,5,5,3
60,66,80,10,3,27,1,1,1,5,3,13
61,79,145,1,3,27,2,0,1,5,13,11
62,74,223,6,3,27,3,1,1,5,11,9
63,75,0,1,3,28,0,0,0,3,3,6
64,73,74,10,3,28,1,1,1,3,6,5
65,76,146,1,3,28,2,0,1,3,5,10
66,2,221,1,3,28,3,0,0,3,10,12
67,50,222,1,3,28,4,0,0,3,12,15
68,10,271,1,3,28,5,0,0,3,15,16
69,4,280,3,3,28,6,1,1,3,16,19
70,76,0,1,3,30,0,0,0,10,10,5
71,68,75,5,3,30,1,1,1,10,5,3
72,85,142,1,3,30,2,0,1,10,3,1
73,85,0,1,3,59,0,0,0,21,21,17
74,61,84,10,3,59,1,1,1,21,17,18
75,68,144,1,3,59,2,0,1,21,18,17
76,81,211,5,3,59,3,1,1,21,17,15
77,2,291,6,3,59,4,1,1,21,15,15
78,85,0,1,3,88,0,0,0,16,16,21
79,76,0,1,3,98,0,0,0,19,19,16
80,70,75,10,3,98,1,1,1,19,16,16
81,85,144,1,3,98,2,0,1,19,16,17
82,64,228,6,3,98,3,1,1,19,17,16
83,44,0,3,0,1,0,1,1,7,7,7
84,77,43,1,0,1,1,0,1,7,7,5
85,58,119,1,0,1,2,0,0,7,5,11
86,57,176,4,0,1,3,1,1,7,11,4
87,44,0,4,0,4,0,1,1,16,16,12
88,5,43,8,0,4,1,1,1,16,12,20
89,72,47,1,0,4,2,0,1,16,20,7
90,6,118,1,0,4,3,0,0,16,7,22
91,54,123,1,0,4,4,0,0,16,22,20
92,49,176,6,0,4,5,1,1,16,20,20
93,44,0,3,0,5,0,1,1,5,5,8
94,72,43,1,0,5,1,0,1,5,8,10
95,64,114,1,0,5,2,0,0,5,10,8
96,44,0,3,0,6,0,1,1,6,6,5
97,73,43,1,0,6,1,0,1,6,5,9
98,64,115,1,0,6,2,0,0,6,9,7
99,44,0,4,0,9,0,1,1,17,17,14
100,74,43,1,0,9,1,0,1,17,14,10
101,62,116,1,0,9,2,0,0,17,10,9
102,56,177,4,0,9,3,1,1,17,9,5
103,44,0,3,0,10,0,1,1,11,11,10
104,75,43,1,0,10,1,0,1,11,10,7
105,59,117,1,0,10,2,0,0,11,7,12
106,44,0,3,0,12,0,1,1,3,3,4
107,82,43,1,0,12,1,0,1,3,4,3
108,30,124,1,0,12,2,0,0,3,3,16
109,44,0,3,0,14,0,1,1,9,9,9
110,77,43,1,0,14,1,0,1,9,9,6
111,59,119,1,0,14,2,0,0,9,6,10
112,56,177,4,0,14,3,1,1,9,10,7
113,44,0,4,0,15,0,1,1,12,12,19
114,86,43,1,0,15,1,0,1,12,19,1
115,61,128,1,0,15,2,0,0,12,1,2
116,45,188,4,0,15,3,1,1,12,2,11
117,44,0,3,0,18,0,1,1,1,1,1
118,10,43,1,0,18,1,0,1,1,1,22
119,78,52,1,0,18,2,0,0,1,22,13
120,78,129,1,0,18,3,0,0,1,13,11
121,34,206,12,0,18,4,1,1,1,11,13
122,44,0,4,0,20,0,1,1,18,18,13
123,72,43,1,0,20,1,0,1,18,13,14
124,67,114,1,0,20,2,0,0,18,14,5
125,53,180,4,0,20,3,1,1,18,5,8
126,44,0,4,0,21,0,1,1,15,15,18
127,75,43,1,0,21,1,0,1,15,18,12
128,63,117,1,0,21,2,0,0,15,12,16
129,58,179,10,0,21,3,1,1,15,16,16
130,4,236,13,0,21,4,1,1,15,16,16
131,44,0,3,0,22,0,1,1,2,2,2
132,81,43,1,0,22,1,0,1,2,2,4
133,64,123,1,0,22,2,0,0,2,4,3
134,47,186,4,0,22,3,1,1,2,3,10
135,48,0,8,0,23,0,1,1,22,22,22
136,70,47,1,0,23,1,0,1,22,22,20
137,62,116,1,0,23,2,0,0,22,20,19
138,54,177,5,0,23,3,1,1,22,19,17
139,9,230,13,0,23,4,1,1,22,17,17
140,44,0,4,0,26,0,1,1,23,23,17
141,75,43,1,0,26,1,0,1,23,17,10
142,62,117,1,0,26,2,0,0,23,10,14
143,63,178,13,0,26,3,1,1,23,14,12
144,44,0,3,0,27,0,1,1,4,4,3
145,11,43,1,0,27,1,0,1,4,3,21
146,68,53,1,0,27,2,0,0,4,21,9
147,69,120,1,0,27,3,0,0,4,9,1
148,44,0,3,0,28,0,1,1,8,8,6
149,70,43,1,0,28,1,0,1,8,6,12
150,72,112,1,0,28,2,0,0,8,12,4
151,50,183,4,0,28,3,1,1,8,4,6
152,44,0,4,0,30,0,1,1,13,13,11
153,84,43,1,0,30,1,0,1,13,11,2
154,54,126,1,0,30,2,0,0,13,2,6
155,54,179,4,0,30,3,1,1,13,6,9
156,44,0,3,0,32,0,1,1,14,14,20
157,73,43,1,0,32,1,0,1,14,20,22
158,48,0,9,0,59,0,1,1,21,21,21
159,71,47,1,0,59,1,0,1,21,21,21
160,71,117,1,0,59,2,0,0,21,21,18
161,43,187,4,0,59,3,1,1,21,18,18
162,9,229,12,0,59,4,1,1,21,18,18
163,44,0,4,0,88,0,1,1,19,19,16
164,72,43,1,0,88,1,0,1,19,16,20
165,66,114,1,0,88,2,0,0,19,20,15
166,61,179,13,0,88,3,1,1,19,15,14
167,44,0,4,0,98,0,1,1,20,20,15
168,75,43,1,0,98,1,0,1,20,15,9
169,65,117,1,0,98,2,0,0,20,9,8
170,51,181,4,0,98,3,1,1,20,8,15
171,9,231,12,0,98,4,1,1,20,15,15
172,33,0,1,1,1,0,0,0,4,4,3
173,19,32,3,1,1,1,1,1,4,3,3
174,21,50,3,1,1,2,1,1,4,3,9
175,32,70,1,1,1,3,0,1,4,9,9
176,35,101,1,1,1,4,0,0,4,9,8
177,36,135,1,1,1,5,0,1,4,8,17
178,32,0,1,1,3,0,0,0,8,8,11
179,20,31,3,1,3,1,1,1,8,11,5
180,45,50,1,1,3,2,0,1,8,5,2
181,35,94,1,1,3,3,0,0,8,2,5
182,34,0,1,1,4,0,0,0,11,11,3
183,18,33,4,1,4,1,1,1,11,3,14
184,44,50,1,1,4,2,0,1,11,14,21
185,35,93,1,1,4,3,0,0,11,21,15
186,46,127,1,1,4,4,0,1,11,15,14
187,34,0,1,1,6,0,0,0,18,18,25
188,18,33,4,1,6,1,1,1,18,25,16
189,21,50,3,1,6,2,1,1,18,16,22
190,37,70,1,1,6,3,0,1,18,22,11
191,32,106,1,1,6,4,0,0,18,11,16
192,44,137,1,1,6,5,0,1,18,16,11
193,12,180,4,1,6,6,1,1,18,11,19
194,37,0,1,1,7,0,0,0,28,28,24
195,18,36,8,1,7,1,1,1,28,24,29
196,8,53,3,1,7,2,1,1,28,29,29
197,30,60,1,1,7,3,0,1,28,29,29
198,8,89,1,1,7,4,0,0,28,29,29
199,12,96,1,1,7,5,0,0,28,29,29
200,14,107,1,1,7,6,0,0,28,29,28
201,19,120,6,1,7,7,1,1,28,28,27
202,43,138,1,1,7,8,0,1,28,27,25
203,6,180,5,1,7,9,1,1,28,25,25
204,33,0,1,1,9,0,0,0,9,9,6
205,19,32,4,1,9,1,1,1,9,6,9
206,46,50,1,1,9,2,0,1,9,9,11
207,36,95,1,1,9,3,0,0,9,11,9
208,31,130,7,1,9,4,1,1,9,9,11
209,35,0,1,1,10,0,0,0,29,29,26
210,20,34,7,1,10,1,1,1,29,26,25
211,33,0,1,1,12,0,0,0,3,3,4
212,19,32,3,1,12,1,1,1,3,4,6
213,45,50,1,1,12,2,0,1,3,6,1
214,36,94,1,1,12,3,0,0,3,1,2
215,43,129,1,1,12,4,0,1,3,2,8
216,30,0,1,1,13,0,0,0,7,7,21
217,22,29,4,1,13,1,1,1,7,21,13
218,31,0,1,1,14,0,0,0,10,10,11
219,21,30,3,1,14,1,1,1,10,11,2
220,41,50,1,1,14,2,0,1,10,2,7
221,9,90,1,1,14,3,0,0,10,7,19
222,33,98,1,1,14,4,0,0,10,19,20
223,14,130,6,1,14,5,1,1,10,20,22
224,30,143,1,1,14,6,0,1,10,22,10
225,36,0,1,1,15,0,0,0,30,30,16
226,16,35,4,1,15,1,1,1,30,16,17
227,21,50,3,1,15,2,1,1,30,17,24
228,37,70,1,1,15,3,0,1,30,24,8
229,33,106,1,1,15,4,1,1,30,8,14
230,36,138,1,1,15,5,0,1,30,14,11
231,35,0,1,1,17,0,0,0,33,33,28
232,20,34,8,1,17,1,1,1,33,28,30
233,18,53,3,1,17,2,1,1,33,30,28
234,34,70,1,1,17,3,0,1,33,28,23
235,34,103,1,1,17,4,0,0,33,23,26
236,5,136,4,1,17,5,1,1,33,26,26
237,3,140,6,1,17,6,1,1,33,26,26
238,46,142,1,1,17,7,1,1,33,26,21
239,5,187,5,1,17,8,1,1,33,21,20
240,33,0,1,1,18,0,0,0,5,5,5
241,19,32,4,1,18,1,1,1,5,5,8
242,48,50,1,1,18,2,0,1,5,8,9
243,37,97,1,1,18,3,0,0,5,9,5
244,35,0,1,1,19,0,0,0,13,13,8
245,37,34,3,1,19,1,1,1,13,8,12
246,39,70,1,1,19,2,0,1,13,12,7
247,34,108,3,1,19,3,1,1,13,7,4
248,12,141,7,1,19,4,1,1,13,4,21
249,46,152,1,1,19,5,0,1,13,21,16
250,32,0,1,1,20,0,0,0,1,1,8
251,20,31,3,1,20,1,1,1,1,8,1
252,43,50,1,1,20,2,0,1,1,1,5
253,36,92,1,1,20,3,0,0,1,5,5
254,47,127,1,1,20,4,0,1,1,5,4
255,35,0,1,1,21,0,0,0,6,6,1
256,17,34,3,1,21,1,1,1,6,1,7
257,45,50,1,1,21,2,0,1,6,7,16
258,3,94,1,1,21,3,0,0,6,16,27
259,34,96,1,1,21,4,0,0,6,27,26
260,49,129,1,1,21,5,0,1,6,26,23
261,14,177,4,1,21,6,1,1,6,23,22
262,2,190,5,1,21,7,1,1,6,22,22
263,32,0,1,1,22,0,0,0,2,2,9
264,20,31,3,1,22,1,1,1,2,9,4
265,44,50,1,1,22,2,0,1,2,4,4
266,36,93,1,1,22,3,0,0,2,4,3
267,48,128,1,1,22,4,0,1,2,3,2
268,32,0,1,1,23,0,0,0,15,15,19
269,20,31,4,1,23,1,1,1,15,19,12
270,42,50,1,1,23,2,0,1,15,12,25
271,31,91,1,1,23,3,0,0,15,25,19
272,21,121,4,1,23,4,1,1,15,19,8
273,17,141,4,1,23,5,1,1,15,8,17
274,4,157,7,1,23,6,1,1,15,17,20
275,36,160,1,1,23,7,0,1,15,20,19
276,33,0,1,1,24,0,0,0,24,24,30
277,19,32,4,1,24,1,1,1,24,30,20
278,44,50,1,1,24,2,0,1,24,20,24
279,33,93,1,1,24,3,0,0,24,24,21
280,35,0,1,1,25,0,0,0,23,23,19
281,17,34,4,1,25,1,1,1,23,19,21
282,21,50,3,1,25,2,1,1,23,21,26
283,37,70,1,1,25,3,0,1,23,26,20
284,36,106,3,1,25,4,1,1,23,20,21
285,17,141,4,1,25,5,1,1,23,21,19
286,40,157,1,1,25,6,0,1,23,19,17
287,32,0,1,1,26,0,0,0,25,25,32
288,23,31,7,1,26,1,1,1,25,32,28
289,2,53,8,1,26,2,1,1,25,28,30
290,17,54,3,1,26,3,1,1,25,30,27
291,32,70,1,1,26,4,0,1,25,27,24
292,34,101,1,1,26,5,0,0,25,24,26
293,17,134,6,1,26,6,1,1,25,26,25
294,7,150,4,1,26,7,1,1,25,25,24
295,25,156,1,1,26,8,0,1,25,24,23
296,11,180,4,1,26,9,1,1,25,23,23
297,35,0,1,1,27,0,0,0,32,32,20
298,17,34,4,1,27,1,1,1,32,20,22
299,46,50,1,1,27,2,0,1,32,22,22
300,36,95,1,1,27,3,0,0,32,22,18
301,45,130,1,1,27,4,0,1,32,18,9
302,33,0,1,1,28,0,0,0,14,14,16
303,19,32,4,1,28,1,1,1,14,16,15
304,45,50,1,1,28,2,0,1,14,15,12
305,37,94,1,1,28,3,0,0,14,12,5
306,43,130,1,1,28,4,0,1,14,5,13
307,35,0,1,1,29,0,0,0,21,21,18
308,17,34,4,1,29,1,1,1,21,18,18
309,21,50,3,1,29,2,1,1,21,18,23
310,37,70,1,1,29,3,0,1,21,23,14
311,36,106,3,1,29,4,1,1,21,14,19
312,36,141,1,1,29,5,0,1,21,19,7
313,34,0,1,1,30,0,0,0,16,16,12
314,35,0,1,1,32,0,0,0,17,17,32
315,2,34,1,1,32,1,0,0,17,32,33
316,18,35,8,1,32,2,1,1,17,33,31
317,9,52,4,1,32,3,1,1,17,31,30
318,39,60,1,1,32,4,0,1,17,30,28
319,32,0,1,1,33,0,0,0,19,19,31
320,31,0,1,1,59,0,0,0,20,20,33
321,24,30,8,1,59,1,1,1,20,33,23
322,8,53,3,1,59,2,1,1,20,23,27
323,3,60,5,1,59,3,1,1,20,27,29
324,37,62,1,1,59,4,0,1,20,29,16
325,32,98,1,1,59,5,0,0,20,16,23
326,28,129,4,1,59,6,1,1,20,23,22
327,3,156,6,1,59,7,1,1,20,22,24
328,33,158,4,1,59,8,1,1,20,24,20
